testdate,county,newpositives,cumulativepositives,newtests,cumulativetests
2020-05-29,Albany County,9,1843,521,24004
2020-05-29,Allegany County,0,45,64,1784
2020-05-29,Bronx County,142,45116,4817,184411
2020-05-29,Broome County,4,561,531,14501
2020-05-29,Cattaraugus County,1,87,189,4482
2020-05-29,Cayuga County,1,90,374,4306
2020-05-29,Chautauqua County,1,83,272,4711
2020-05-29,Chemung County,0,137,451,6183
2020-05-29,Chenango County,2,132,199,3890
2020-05-29,Clinton County,0,95,441,3692
2020-05-29,Columbia County,1,383,125,4124
2020-05-29,Cortland County,2,41,188,3706
2020-05-29,Delaware County,0,79,123,2790
2020-05-29,Dutchess County,12,3899,1265,31090
2020-05-29,Erie County,79,6014,2434,60160
2020-05-29,Essex County,0,36,95,2616
2020-05-29,Franklin County,1,22,129,3139
2020-05-29,Fulton County,1,207,146,3210
2020-05-29,Genesee County,1,200,135,3748
2020-05-29,Greene County,1,238,110,2796
2020-05-29,Hamilton County,0,5,3,422
2020-05-29,Herkimer County,0,107,332,3947
2020-05-29,Jefferson County,0,74,227,5822
2020-05-29,Kings County,281,55727,9619,268269
2020-05-29,Lewis County,0,20,77,2052
2020-05-29,Livingston County,0,118,107,3559
2020-05-29,Madison County,1,311,187,4287
2020-05-29,Monroe County,49,2909,1322,50626
2020-05-29,Montgomery County,5,89,222,3148
2020-05-29,Nassau County,81,40307,4710,173234
2020-05-29,New York County,96,26576,5678,167826
2020-05-29,Niagara County,12,1020,447,13308
2020-05-29,Oneida County,18,1006,757,17766
2020-05-29,Onondaga County,41,2133,2101,37590
2020-05-29,Ontario County,1,206,126,6069
2020-05-29,Orange County,28,10389,776,47921
2020-05-29,Orleans County,12,228,83,2307
2020-05-29,Oswego County,0,108,317,5879
2020-05-29,Otsego County,0,71,127,3652
2020-05-29,Putnam County,7,1248,312,8995
2020-05-29,Queens County,183,61827,7088,254860
2020-05-29,Rensselaer County,8,486,337,9815
2020-05-29,Richmond County,50,13505,1376,59217
2020-05-29,Rockland County,28,13128,807,51970
2020-05-29,Saratoga County,4,477,518,12784
2020-05-29,Schenectady County,6,686,477,12246
2020-05-29,Schoharie County,1,50,32,1437
2020-05-29,Schuyler County,0,11,64,1437
2020-05-29,Seneca County,1,58,68,2033
2020-05-29,St. Lawrence County,0,202,136,8854
2020-05-29,Steuben County,0,241,133,5489
2020-05-29,Suffolk County,87,39532,4388,176896
2020-05-29,Sullivan County,11,1375,254,7879
2020-05-29,Tioga County,2,128,141,3066
2020-05-29,Tompkins County,4,161,264,10008
2020-05-29,Ulster County,15,1678,746,18863
2020-05-29,Warren County,1,255,235,4746
2020-05-29,Washington County,3,235,240,3746
2020-05-29,Wayne County,0,113,299,5226
2020-05-29,Westchester County,80,33429,3388,155242
2020-05-29,Wyoming County,2,84,90,2284
2020-05-29,Yates County,0,39,31,1261
2020-05-28,Albany County,20,1834,416,23483
2020-05-28,Allegany County,0,45,60,1720
2020-05-28,Bronx County,221,44974,5781,179594
2020-05-28,Broome County,12,557,614,13970
2020-05-28,Cattaraugus County,1,86,147,4293
2020-05-28,Cayuga County,5,89,383,3932
2020-05-28,Chautauqua County,1,82,637,4439
2020-05-28,Chemung County,1,137,99,5732
2020-05-28,Chenango County,4,130,168,3691
2020-05-28,Clinton County,0,95,226,3251
2020-05-28,Columbia County,2,382,159,3999
2020-05-28,Cortland County,0,39,207,3518
2020-05-28,Delaware County,1,79,156,2667
2020-05-28,Dutchess County,20,3887,1257,29825
2020-05-28,Erie County,49,5935,1944,57726
2020-05-28,Essex County,0,36,151,2521
2020-05-28,Franklin County,1,21,118,3010
2020-05-28,Fulton County,6,206,202,3064
2020-05-28,Genesee County,2,199,119,3613
2020-05-28,Greene County,1,237,92,2686
2020-05-28,Hamilton County,0,5,4,419
2020-05-28,Herkimer County,1,107,154,3615
2020-05-28,Jefferson County,2,74,400,5595
2020-05-28,Kings County,299,55446,10686,258650
2020-05-28,Lewis County,0,20,148,1975
2020-05-28,Livingston County,0,118,122,3452
2020-05-28,Madison County,0,310,141,4100
2020-05-28,Monroe County,36,2860,1127,49304
2020-05-28,Montgomery County,2,84,182,2926
2020-05-28,Nassau County,86,40226,4760,168524
2020-05-28,New York County,133,26480,7418,162148
2020-05-28,Niagara County,24,1008,583,12861
2020-05-28,Oneida County,29,988,1284,17009
2020-05-28,Onondaga County,38,2092,1731,35489
2020-05-28,Ontario County,4,205,209,5943
2020-05-28,Orange County,36,10361,868,47145
2020-05-28,Orleans County,4,216,112,2224
2020-05-28,Oswego County,1,108,252,5562
2020-05-28,Otsego County,1,71,128,3525
2020-05-28,Putnam County,5,1241,194,8683
2020-05-28,Queens County,244,61644,8480,247772
2020-05-28,Rensselaer County,9,478,319,9478
2020-05-28,Richmond County,51,13455,1731,57841
2020-05-28,Rockland County,24,13100,1097,51163
2020-05-28,Saratoga County,5,473,511,12266
2020-05-28,Schenectady County,4,680,792,11769
2020-05-28,Schoharie County,0,49,32,1405
2020-05-28,Schuyler County,0,11,52,1373
2020-05-28,Seneca County,1,57,140,1965
2020-05-28,St. Lawrence County,1,202,447,8718
2020-05-28,Steuben County,0,241,98,5356
2020-05-28,Suffolk County,86,39445,4591,172508
2020-05-28,Sullivan County,13,1364,160,7625
2020-05-28,Tioga County,0,126,110,2925
2020-05-28,Tompkins County,1,157,425,9744
2020-05-28,Ulster County,5,1663,683,18117
2020-05-28,Warren County,1,254,205,4511
2020-05-28,Washington County,1,232,340,3506
2020-05-28,Wayne County,1,113,290,4927
2020-05-28,Westchester County,56,33349,3203,151854
2020-05-28,Wyoming County,0,82,66,2194
2020-05-28,Yates County,0,39,130,1230
2020-05-27,Albany County,18,1814,666,23067
2020-05-27,Allegany County,0,45,98,1660
2020-05-27,Bronx County,250,44753,5657,173813
2020-05-27,Broome County,17,545,523,13356
2020-05-27,Cattaraugus County,3,85,286,4146
2020-05-27,Cayuga County,4,84,101,3549
2020-05-27,Chautauqua County,3,81,129,3802
2020-05-27,Chemung County,0,136,63,5633
2020-05-27,Chenango County,1,126,139,3523
2020-05-27,Clinton County,0,95,201,3025
2020-05-27,Columbia County,0,380,145,3840
2020-05-27,Cortland County,0,39,34,3311
2020-05-27,Delaware County,0,78,213,2511
