testdate,newpositives,cumulativepositives,newtests,cumulativetests
2020-03-12,102,353,762,2836
2020-03-10,44,195,425,1521
2020-03-07,24,60,200,388
2020-04-06,8174,138863,19247,340058
2020-05-28,1551,368284,67341,1944130
2020-05-03,2538,318953,21399,1007310
2020-03-20,3254,10356,13087,45724
2020-05-26,1129,364965,37416,1811544
2020-03-03,0,1,9,10
2020-03-19,2950,7102,10124,32637
2020-05-23,1589,361515,47765,1699826
2020-03-30,9298,75795,18648,205233
2020-05-11,1430,338485,20463,1225113
2020-04-25,5902,288045,27782,805350
2020-04-17,7090,236732,23309,596532
2020-05-21,1696,358154,45738,1600793
2020-04-11,8236,188694,20621,461601
2020-04-20,4178,251690,15464,649325
2020-05-04,2239,321192,21589,1028899
2020-05-05,2786,323978,27022,1055921
2020-03-13,164,517,1290,4126
2020-04-12,6337,195031,16756,478357
2020-05-01,4663,312977,31579,959017
2020-03-08,28,88,307,695
2020-05-22,1772,359926,51268,1652061
2020-03-11,56,251,553,2074
2020-05-19,1525,354370,38097,1505836
2020-05-08,2715,333122,32225,1153768
2020-03-09,63,151,401,1096
2020-03-27,7681,52318,17444,156069
2020-04-22,6244,263460,25938,695920
2020-03-31,7917,83712,15701,220934
2020-04-19,4726,247512,16306,633861
2020-05-12,2176,340661,33794,1258907
2020-03-17,1009,2383,4553,14815
2020-05-25,1072,363836,34679,1774128
2020-03-29,6984,66497,14115,186585
2020-05-15,2419,348232,40669,1378717
2020-03-05,22,25,92,122
2020-04-01,8669,92381,18031,238965
2020-05-14,2762,345813,39291,1338048
2020-03-14,131,648,1293,5419
2020-04-24,10553,282143,46912,777568
2020-04-18,6054,242786,21023,617555
2020-04-26,3951,291996,20745,826095
2020-04-29,4681,304372,28155,900636
2020-03-23,4790,25665,12952,91517
2020-04-13,7177,202208,20786,499143
2020-04-23,8130,271590,34736,730656
2020-05-29,1376,369660,61251,2005381
2020-03-24,5145,30810,12142,103659
2020-05-24,1249,362764,39623,1739449
2020-05-10,1660,337055,21652,1204650
2020-04-05,8658,130689,18531,320811
2020-05-06,3491,327469,33995,1089916
2020-04-15,8505,222284,24567,550579
2020-03-18,1769,4152,7698,22513
2020-05-07,2938,330407,31627,1121543
2020-05-17,1250,351371,26161,1439557
2020-04-14,11571,213779,26869,526012
2020-05-13,2390,343051,39850,1298757
2020-04-02,10482,102863,21555,260520
2020-04-07,10453,149316,25095,365153
2020-04-28,4585,299691,27487,872481
2020-05-18,1474,352845,28182,1467739
2020-05-20,2088,356458,49219,1555055
2020-04-04,8327,122031,18659,302280
2020-04-16,7358,229642,22644,573223
2020-05-02,3438,316415,26894,985911
2020-03-15,294,942,1936,7355
2020-04-21,5526,257216,20657,669982
2020-03-28,7195,59513,16401,172470
2020-04-30,3942,308314,26802,927438
2020-03-02,1,1,1,1
2020-03-06,11,36,66,188
2020-05-27,1768,366733,65245,1876789
2020-03-04,2,3,20,30
2020-04-09,10575,170512,26336,417885
2020-04-10,9946,180458,23095,440980
2020-05-09,2273,335395,29230,1182998
2020-03-16,432,1374,2907,10262
2020-03-21,4812,15168,16029,61753
2020-04-03,10841,113704,23101,283621
2020-05-16,1889,350121,34679,1413396
2020-04-27,3110,295106,18899,844994
2020-03-22,5707,20875,16812,78565
2020-04-08,10621,159937,26396,391549
2020-03-25,6448,37258,18651,122310
2020-03-26,7379,44637,16315,138625
