id,County,asian,black,hispanic,native_american,other,pacific_islander,white,overall,tablereferenceid,censusnotes
0500000US36041,Hamilton County,,,,,,,115546,,B19013D,median income
0500000US36095,Schoharie County,96429,63750,63438,,99167,,107570,,B19013D,median income
0500000US36067,Onondaga County,46613,31623,36629,39747,73268,,130387,,B19013D,median income
0500000US36019,Clinton County,40729,50208,57019,,88564,,111166,,B19013D,median income
0500000US36099,Seneca County,,36094,35172,,60636,,111715,,B19013D,median income
0500000US36079,Putnam County,122083,98875,77240,55739,166938,,209129,,B19013D,median income
0500000US36033,Franklin County,175313,,46354,46747,90625,,105009,,B19013D,median income
0500000US36069,Ontario County,85905,32037,35773,75850,70891,,130107,,B19013D,median income
0500000US36081,Queens County,62230,66562,57281,52410,124856,56585,143947,563871,B19013D,median income
0500000US36101,Steuben County,95446,45045,58125,37813,,,102846,,B19013D,median income
0500000US36115,Washington County,83224,,42679,,128118,,108114,,B19013D,median income
0500000US36013,Chautauqua County,,19898,22873,,55872,,93553,,B19013D,median income
0500000US36047,Kings County,60756,45326,40539,43401,97004,72941,148438,508405,B19013D,median income
0500000US36061,New York County,79838,35596,37966,41650,92383,76833,233676,597942,B19013D,median income
0500000US36107,Tioga County,37629,71477,65556,90265,80753,,122204,,B19013D,median income
0500000US36011,Cayuga County,94464,29821,33125,41875,80637,,114945,,B19013D,median income
0500000US36073,Orleans County,108000,45938,22475,,,,105555,,B19013D,median income
0500000US36091,Saratoga County,104057,68675,87311,108125,178403,,159835,,B19013D,median income
0500000US36087,Rockland County,119367,76649,67301,150341,139044,,190154,,B19013D,median income
0500000US36021,Columbia County,52426,36029,56250,103750,74997,,129972,,B19013D,median income
0500000US36049,Lewis County,35583,,38929,73500,,,105618,,B19013D,median income
0500000US36063,Niagara County,39044,26330,31758,38456,62830,,115046,,B19013D,median income
0500000US36119,Westchester County,127005,59181,59511,56745,141431,103523,223275,770671,B19013D,median income
0500000US36025,Delaware County,55469,25658,39732,31375,80436,,98413,,B19013D,median income
0500000US36031,Essex County,51250,,,,,,113254,,B19013D,median income
0500000US36057,Montgomery County,35982,35517,26819,,,,98071,,B19013D,median income
0500000US36059,Nassau County,134979,94498,85256,64260,157340,,233821,,B19013D,median income
0500000US36085,Richmond County,80016,46065,58677,70294,119939,,174124,,B19013D,median income
0500000US36097,Schuyler County,,,,44643,,,102975,,B19013D,median income
0500000US36109,Tompkins County,31236,29674,40216,90313,,,128894,,B19013D,median income
0500000US36017,Chenango County,,71613,69375,86034,92000,,100703,,B19013D,median income
0500000US36023,Cortland County,,,32841,,68355,,110212,,B19013D,median income
0500000US36045,Jefferson County,45509,50945,45430,43977,84891,44112,106676,421540,B19013D,median income
0500000US36065,Oneida County,35767,27389,27135,36576,56816,,113316,,B19013D,median income
0500000US36103,Suffolk County,106250,76115,81481,77232,167372,92100,200271,800821,B19013D,median income
0500000US36121,Wyoming County,,47639,36250,,,,116259,,B19013D,median income
0500000US36015,Chemung County,120729,29871,23167,,95212,,109008,,B19013D,median income
0500000US36075,Oswego County,63875,,24792,,,,108291,,B19013D,median income
0500000US36077,Otsego County,53750,42772,51146,53125,,,106718,,B19013D,median income
0500000US36117,Wayne County,89205,27692,50195,52159,95595,,112414,,B19013D,median income
0500000US36001,Albany County,81778,32005,38522,46902,75142,,145173,,B19013D,median income
0500000US36007,Broome County,40927,22036,29909,18534,53516,,106948,,B19013D,median income
0500000US36029,Erie County,50505,30686,28629,24135,57938,39464,126235,357592,B19013D,median income
0500000US36053,Madison County,110625,63500,75208,48152,,,120028,,B19013D,median income
0500000US36105,Sullivan County,95625,40198,41589,63300,81569,,119100,,B19013D,median income
0500000US36037,Genesee County,159196,28750,31926,43971,63477,,125026,,B19013D,median income
0500000US36071,Orange County,95757,66549,64366,67917,120061,,164116,,B19013D,median income
0500000US36005,Bronx County,52028,40681,32257,30884,72045,,108682,,B19013D,median income
0500000US36035,Fulton County,77500,,26373,,,,100894,,B19013D,median income
0500000US36083,Rensselaer County,65538,31610,36953,33450,81058,,138542,,B19013D,median income
0500000US36027,Dutchess County,123918,50765,63255,68977,98214,,162882,,B19013D,median income
0500000US36043,Herkimer County,,,58005,,113761,,104763,,B19013D,median income
0500000US36089,St. Lawrence County,48583,75500,56042,,91445,,98684,,B19013D,median income
0500000US36113,Warren County,61653,74028,,45476,49189,,120479,,B19013D,median income
0500000US36055,Monroe County,62159,30034,31331,26174,72362,,130878,,B19013D,median income
0500000US36111,Ulster County,64554,32085,47837,,90834,,131935,,B19013D,median income
0500000US36051,Livingston County,59583,21333,44531,41471,,,114003,,B19013D,median income
0500000US36039,Greene County,98462,64026,41641,,,,106510,,B19013D,median income
0500000US36003,Allegany County,,41406,19141,34239,,,94491,,B19013D,median income
0500000US36009,Cattaraugus County,66316,,34375,28625,65391,,96416,,B19013D,median income
0500000US36093,Schenectady County,66726,31813,40604,54135,82169,,138807,,B19013D,median income
0500000US36123,Yates County,33438,,,,100938,,109816,,B19013D,median income
