id,County,Tot,TotLocal government workers,"TotCar, truck, or van - drove alone","TotCar, truck, or van - drove aloneLocal government workers","TotCar, truck, or van - carpooled","TotCar, truck, or van - carpooledLocal government workers",TotPublic transportation (excluding taxicab),TotPublic transportation (excluding taxicab)Local government workers,TotPublic transportation (excluding taxicab)State government workers,TotPublic transportation (excluding taxicab)Federal government workers,TotPublic transportation (excluding taxicab)Self-employed in own not incorporated business workers,TotPublic transportation (excluding taxicab)Unpaid family workers,TotWalked,TotWalkedPrivate for-profit wage and salary workers,TotWalkedPrivate for-profit wage and salary workersEmployee of private company workers,TotWalkedPrivate for-profit wage and salary workersSelf-employed in own incorporated business workers,TotWalkedPrivate not-for-profit wage and salary workers,TotWalkedLocal government workers,TotWalkedState government workers,TotWalkedFederal government workers,TotWalkedSelf-employed in own not incorporated business workers,TotWalkedUnpaid family workers,"TotTaxicab, motorcycle, bicycle, or other means","TotTaxicab, motorcycle, bicycle, or other meansPrivate for-profit wage and salary workers","TotTaxicab, motorcycle, bicycle, or other meansPrivate for-profit wage and salary workersEmployee of private company workers","TotTaxicab, motorcycle, bicycle, or other meansPrivate for-profit wage and salary workersSelf-employed in own incorporated business workers","TotTaxicab, motorcycle, bicycle, or other meansPrivate not-for-profit wage and salary workers","TotTaxicab, motorcycle, bicycle, or other meansLocal government workers","TotTaxicab, motorcycle, bicycle, or other meansState government workers","TotTaxicab, motorcycle, bicycle, or other meansFederal government workers","TotTaxicab, motorcycle, bicycle, or other meansSelf-employed in own not incorporated business workers","TotTaxicab, motorcycle, bicycle, or other meansUnpaid family workers",TotWorked at home,TotWorked at homePrivate for-profit wage and salary workers,TotWorked at homePrivate for-profit wage and salary workersEmployee of private company workers,TotWorked at homePrivate for-profit wage and salary workersSelf-employed in own incorporated business workers,TotWorked at homePrivate not-for-profit wage and salary workers,TotWorked at homeLocal government workers,TotWorked at homeState government workers,TotWorked at homeFederal government workers,TotWorked at homeSelf-employed in own not incorporated business workers,TotWorked at homeUnpaid family workers,TableReferenceId,CensusNotes 
0500000US36095,"Schoharie, New York",10796,1549,8255,1216,932,210,37,3,0,0,0,0,806,507,474,33,60,46,84,0,102,7,103,41,41,0,6,4,0,0,45,7,663,269,167,102,21,70,20,3,264,16,B08528,Means of Transportation to Work
0500000US36067,"Onondaga, New York",247319,17211,200523,15007,19490,1165,7001,325,233,106,123,0,8789,5809,5670,139,1445,458,523,73,470,11,2476,2005,1923,82,247,74,72,11,58,9,9040,4843,3978,865,942,182,166,112,2756,39,B08528,Means of Transportation to Work
0500000US36019,"Clinton, New York",34981,3038,28139,2530,3189,283,268,10,56,0,0,0,1343,714,642,72,43,130,363,0,92,1,1087,801,801,0,137,49,60,3,37,0,955,491,338,153,24,36,63,12,329,0,B08528,Means of Transportation to Work
0500000US36099,"Seneca, New York",14247,1092,11411,972,1123,53,71,0,0,0,0,0,554,333,294,39,36,28,3,8,146,0,439,353,353,0,9,32,15,0,30,0,649,263,151,112,46,7,26,15,285,7,B08528,Means of Transportation to Work
0500000US36079,"Putnam, New York",28155,3074,21759,2846,2549,127,522,10,2,0,29,0,450,368,339,29,52,0,24,0,0,6,316,250,250,0,34,14,0,0,18,0,2559,1691,1295,396,159,77,8,27,566,31,B08528,Means of Transportation to Work
0500000US36033,"Franklin, New York",19704,2409,15281,2013,2188,289,64,3,21,0,0,0,858,469,403,66,200,43,42,1,71,32,222,160,110,50,16,34,0,0,10,2,1091,321,265,56,126,27,52,12,537,16,B08528,Means of Transportation to Work
0500000US36069,"Ontario, New York",53393,3963,43895,3615,4477,212,376,32,0,0,23,0,1764,1192,1150,42,291,65,45,18,141,12,402,282,271,11,68,9,0,8,35,0,2479,1367,1134,233,277,30,29,4,738,34,B08528,Means of Transportation to Work
0500000US36081,"Queens, New York",733136,94138,325854,53927,53867,6886,249905,26808,6283,4758,11684,238,59529,44499,42457,2042,5272,4339,960,633,3746,80,15558,11343,10659,684,960,1230,350,228,1390,57,28423,17511,12631,4880,1614,948,246,320,7620,164,B08528,Means of Transportation to Work
0500000US36101,"Steuben, New York",41451,3433,33669,2874,3873,384,160,24,0,0,2,0,1626,986,916,70,180,124,11,6,308,11,656,446,401,45,69,14,3,4,92,28,1467,594,468,126,90,13,18,18,715,19,B08528,Means of Transportation to Work
0500000US36041,"Hamilton, New York",1580,374,1246,304,107,23,3,1,0,0,0,0,80,45,38,7,27,7,0,0,1,0,80,38,34,4,0,39,0,0,3,0,64,13,11,2,10,0,0,0,38,3,B08528,Means of Transportation to Work
