,County,overall_population,white_population,black_population,native_american_population,asian_population,pacific_islander_population,other_population,hispanic_latino_population,County_median_income,asian_median_income,black_median_income,hispanic_median_income,native_american_median_income,other_median_income,pacific_islander_median_income,white_median_income,identified_county,covid_date,covid_deaths,covid_cases,covid%ofpopulation,covid_death_%,covid_cases_%
0,Albany,307426,232402,38407,516,19928,133,16040,307426,Albany,81778.0,32005.0,38522.0,46902.0,75142.0,,145173.0,Albany,5/22/2020,94.0,1756.0,2.0,0.0,0.0
1,Allegany,47025,44860,652,133,525,12,843,47025,Allegany,,41406.0,19141.0,34239.0,,,94491.0,Allegany,5/22/2020,2.0,44.0,0.0,0.0,0.0
2,Bronx,1437872,306423,490823,9596,52388,1128,577514,1437872,Bronx,52028.0,40681.0,32257.0,30884.0,72045.0,,108682.0,Bronx,5/22/2020,4201.0,43766.0,7.0,15.0,12.0
3,Broome,194402,167041,11177,392,8238,89,7465,194402,Broome,40927.0,22036.0,29909.0,18534.0,53516.0,,106948.0,Broome,5/22/2020,40.0,468.0,1.0,0.0,0.0
4,Cattaraugus,77686,71439,1247,2380,648,0,1972,77686,Cattaraugus,66316.0,,34375.0,28625.0,65391.0,,96416.0,Cattaraugus,5/22/2020,2.0,74.0,0.0,0.0,0.0
5,Cayuga,77868,71522,3361,235,399,0,2351,77868,Cayuga,94464.0,29821.0,33125.0,41875.0,80637.0,,114945.0,Cayuga,5/22/2020,2.0,73.0,0.0,0.0,0.0
6,Chautauqua,129656,119857,3326,425,694,68,5286,129656,Chautauqua,,19898.0,22873.0,,55872.0,,93553.0,Chautauqua,5/22/2020,2.0,63.0,1.0,0.0,0.0
7,Chemung,85740,75443,5262,294,1333,10,3398,85740,Chemung,120729.0,29871.0,23167.0,,95212.0,,109008.0,Chemung,5/22/2020,3.0,135.0,0.0,0.0,0.0
8,Chenango,48348,46395,472,166,206,10,1099,48348,Chenango,,71613.0,69375.0,86034.0,92000.0,,100703.0,Chenango,5/22/2020,4.0,118.0,0.0,0.0,0.0
9,Clinton,80794,73391,3475,208,1183,26,2511,80794,Clinton,40729.0,50208.0,57019.0,,88564.0,,111166.0,Clinton,5/22/2020,4.0,94.0,0.0,0.0,0.0
10,Columbia,60919,54318,2688,33,1127,0,2753,60919,Columbia,52426.0,36029.0,56250.0,103750.0,74997.0,,129972.0,Columbia,5/22/2020,36.0,356.0,0.0,0.0,0.0
11,Cortland,48123,45625,712,111,387,9,1279,48123,Cortland,,,32841.0,,68355.0,,110212.0,Cortland,5/22/2020,1.0,37.0,0.0,0.0,0.0
12,Delaware,45502,43108,839,70,363,8,1114,45502,Delaware,55469.0,25658.0,39732.0,31375.0,80436.0,,98413.0,Delaware,5/22/2020,2.0,72.0,0.0,0.0,0.0
13,Dutchess,293894,230158,30830,1061,10664,117,21064,293894,Dutchess,123918.0,50765.0,63255.0,68977.0,98214.0,,162882.0,Dutchess,5/22/2020,133.0,3767.0,2.0,0.0,1.0
14,Erie,919866,716987,123475,4558,31800,309,42737,919866,Erie,50505.0,30686.0,28629.0,24135.0,57938.0,39464.0,126235.0,Erie,5/22/2020,454.0,5397.0,5.0,2.0,2.0
15,Essex,37751,35186,1185,78,134,8,1160,37751,Essex,51250.0,,,,,,113254.0,Essex,5/22/2020,0.0,36.0,0.0,0.0,0.0
16,Franklin,50692,41778,2965,3618,255,94,1982,50692,Franklin,175313.0,,46354.0,46747.0,90625.0,,105009.0,Franklin,5/22/2020,0.0,19.0,0.0,0.0,0.0
17,Fulton,53743,50849,1085,192,382,15,1220,53743,Fulton,77500.0,,26373.0,,,,100894.0,Fulton,5/22/2020,18.0,189.0,0.0,0.0,0.0
18,Genesee,58112,53404,1304,510,477,0,2417,58112,Genesee,159196.0,28750.0,31926.0,43971.0,63477.0,,125026.0,Genesee,5/22/2020,4.0,189.0,0.0,0.0,0.0
19,Greene,47617,42731,2936,281,516,5,1148,47617,Greene,98462.0,64026.0,41641.0,,,,106510.0,Greene,5/22/2020,12.0,215.0,0.0,0.0,0.0
20,Hamilton,4575,4420,37,16,1,1,100,4575,Hamilton,,,,,,,115546.0,Hamilton,5/22/2020,1.0,5.0,0.0,0.0,0.0
21,Herkimer,62505,59916,849,150,331,93,1166,62505,Herkimer,,,58005.0,,113761.0,,104763.0,Herkimer,5/22/2020,3.0,95.0,0.0,0.0,0.0
