id,County,Tot,"TotLess than $10,000","Tot$10,000 to $14,999","Tot$15,000 to $19,999","Tot$20,000 to $24,999","Tot$25,000 to $29,999","Tot$30,000 to $34,999","Tot$35,000 to $39,999","Tot$40,000 to $44,999","Tot$45,000 to $49,999","Tot$50,000 to $59,999","Tot$60,000 to $74,999","Tot$75,000 to $99,999","Tot$100,000 to $124,999","Tot$125,000 to $149,999","Tot$150,000 to $199,999","Tot$200,000 or more",TableReferenceId,CensusNotes 
0500000US36095,"Schoharie County, New York",62,2,0,6,0,0,1,0,0,0,9,5,28,0,6,0,5,B19001D,TBD
0500000US36067,"Onondaga County, New York",4655,788,154,209,302,224,189,194,203,193,338,327,448,164,186,358,378,B19001D,TBD
0500000US36019,"Clinton County, New York",358,84,27,0,9,0,21,31,44,0,41,14,54,15,0,18,0,B19001D,TBD
0500000US36099,"Seneca County, New York",89,51,0,8,0,0,0,0,0,0,4,5,0,14,0,1,6,B19001D,TBD
0500000US36079,"Putnam County, New York",584,16,0,10,19,22,10,0,0,17,20,54,74,78,35,52,177,B19001D,TBD
0500000US36033,"Franklin County, New York",49,2,0,0,0,0,0,2,0,0,0,3,0,17,0,25,0,B19001D,TBD
0500000US36069,"Ontario County, New York",285,13,39,0,0,0,0,22,0,23,7,28,61,23,7,0,62,B19001D,TBD
0500000US36081,"Queens County, New York",178933,12781,7298,7712,8470,8979,8419,7471,7430,5845,12210,17050,20753,16945,11511,13115,12944,B19001D,TBD
0500000US36101,"Steuben County, New York",525,14,0,0,0,0,15,10,35,18,10,45,137,35,101,2,103,B19001D,TBD
0500000US36041,"Hamilton County, New York",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B19001D,TBD
0500000US36115,"Washington County, New York",99,5,0,0,0,0,6,11,0,0,11,5,40,12,0,0,9,B19001D,TBD
0500000US36013,"Chautauqua County, New York",223,36,14,45,13,0,16,0,0,11,0,23,26,11,2,0,26,B19001D,TBD
0500000US36047,"Kings County, New York",91065,6234,4882,4671,5186,4249,4154,3841,3230,2692,6023,7517,9787,8168,5489,6485,8457,B19001D,TBD
0500000US36061,"New York County, New York",89322,8972,5570,3134,3795,2375,3070,2287,2137,1745,4016,6055,7972,7242,5175,8218,17559,B19001D,TBD
0500000US36107,"Tioga County, New York",113,0,0,0,0,0,30,54,0,0,14,12,0,3,0,0,0,B19001D,TBD
0500000US36011,"Cayuga County, New York",97,0,0,0,0,0,12,0,8,0,5,0,25,40,3,0,4,B19001D,TBD
0500000US36073,"Orleans County, New York",84,0,3,2,12,0,0,0,0,0,6,3,0,47,0,6,5,B19001D,TBD
0500000US36091,"Saratoga County, New York",1947,37,42,9,8,55,81,60,18,8,106,77,360,427,158,174,327,B19001D,TBD
0500000US36087,"Rockland County, New York",5812,87,114,108,98,38,73,67,152,153,294,317,746,848,524,788,1405,B19001D,TBD
0500000US36021,"Columbia County, New York",289,52,5,0,6,24,20,0,12,9,37,18,20,21,2,8,55,B19001D,TBD
0500000US36049,"Lewis County, New York",35,5,0,0,0,9,0,15,0,0,6,0,0,0,0,0,0,B19001D,TBD
0500000US36063,"Niagara County, New York",649,36,48,47,48,46,28,78,0,35,31,20,104,62,36,19,11,B19001D,TBD
0500000US36119,"Westchester County, New York",18720,836,381,373,320,431,403,302,230,375,741,779,1832,2203,1668,2295,5551,B19001D,TBD
0500000US36025,"Delaware County, New York",136,44,0,9,0,0,5,0,0,0,42,5,17,0,7,4,3,B19001D,TBD
0500000US36031,"Essex County, New York",29,0,0,1,3,0,0,2,4,0,13,0,0,1,4,1,0,B19001D,TBD
0500000US36057,"Montgomery County, New York",131,19,0,0,13,0,28,18,0,0,16,18,8,11,0,0,0,B19001D,TBD
0500000US36059,"Nassau County, New York",34267,782,413,416,397,447,426,456,811,602,1225,2126,3445,4064,3859,5606,9192,B19001D,TBD
0500000US36085,"Richmond County, New York",12733,798,319,631,397,362,497,508,430,243,644,1188,1390,1296,860,1490,1680,B19001D,TBD
0500000US36097,"Schuyler County, New York",21,6,0,0,0,0,7,0,0,0,0,3,2,0,0,3,0,B19001D,TBD
0500000US36109,"Tompkins County, New York",4262,1251,291,135,142,222,209,194,196,51,251,340,367,128,144,74,267,B19001D,TBD
0500000US36017,"Chenango County, New York",55,0,5,4,0,0,0,5,11,0,4,0,14,0,0,12,0,B19001D,TBD
0500000US36023,"Cortland County, New York",58,7,6,0,0,11,7,0,0,0,0,0,12,0,15,0,0,B19001D,TBD
0500000US36045,"Jefferson County, New York",656,94,26,19,45,61,0,62,10,54,11,48,58,61,50,8,49,B19001D,TBD
0500000US36065,"Oneida County, New York",2364,141,335,128,249,152,154,115,109,52,135,241,225,79,18,133,98,B19001D,TBD
0500000US36103,"Suffolk County, New York",14840,630,184,263,269,223,542,400,363,264,699,1033,2017,1788,1320,1897,2948,B19001D,TBD
0500000US36121,"Wyoming County, New York",30,20,0,0,0,3,0,0,0,1,0,0,6,0,0,0,0,B19001D,TBD
0500000US36015,"Chemung County, New York",427,18,0,0,0,0,25,23,0,0,12,9,77,58,45,30,130,B19001D,TBD
0500000US36075,"Oswego County, New York",185,5,0,5,9,7,5,11,14,0,31,27,26,0,0,6,39,B19001D,TBD
0500000US36077,"Otsego County, New York",168,14,0,15,0,0,13,9,12,16,24,0,26,2,4,4,29,B19001D,TBD
0500000US36117,"Wayne County, New York",143,4,4,0,5,0,0,0,0,0,0,47,25,19,11,0,28,B19001D,TBD
0500000US36001,"Albany County, New York",5964,499,177,75,185,231,195,151,184,152,419,489,889,677,378,690,573,B19001D,TBD
0500000US36007,"Broome County, New York",2323,598,58,140,165,67,62,60,60,40,217,158,192,183,95,64,164,B19001D,TBD
0500000US36029,"Erie County, New York",9113,1442,402,475,448,377,297,357,342,347,720,650,779,669,365,470,973,B19001D,TBD
0500000US36053,"Madison County, New York",80,2,0,3,2,0,6,0,0,0,3,5,13,18,18,0,10,B19001D,TBD
0500000US36105,"Sullivan County, New York",230,27,0,2,4,0,11,0,7,22,7,14,31,19,8,52,26,B19001D,TBD
0500000US36037,"Genesee County, New York",129,3,6,0,0,0,0,0,12,8,16,0,7,0,3,31,43,B19001D,TBD
0500000US36071,"Orange County, New York",2851,60,5,38,39,33,124,152,99,141,242,360,184,301,230,271,572,B19001D,TBD
0500000US36005,"Bronx County, New York",14868,1068,903,1020,831,843,793,602,607,445,1200,1198,1499,1011,926,961,961,B19001D,TBD
0500000US36035,"Fulton County, New York",110,0,0,0,0,0,5,0,8,0,7,19,46,0,0,0,25,B19001D,TBD
0500000US36083,"Rensselaer County, New York",1218,99,22,15,20,49,134,31,132,50,39,147,86,140,116,123,15,B19001D,TBD
0500000US36027,"Dutchess County, New York",3214,53,44,55,38,54,67,73,82,64,173,187,362,397,289,495,781,B19001D,TBD
0500000US36043,"Herkimer County, New York",105,0,20,50,0,3,0,0,0,0,0,0,0,0,5,12,15,B19001D,TBD
0500000US36089,"St. Lawrence County, New York",293,34,12,0,34,21,25,0,14,15,12,38,32,37,0,6,13,B19001D,TBD
0500000US36113,"Warren County, New York",223,15,0,31,27,0,0,18,0,0,0,40,30,18,0,14,30,B19001D,TBD
