id,County,Tot,"TotLess than $10,000","Tot$10,000 to $14,999","Tot$15,000 to $19,999","Tot$20,000 to $24,999","Tot$25,000 to $29,999","Tot$30,000 to $34,999","Tot$35,000 to $39,999","Tot$40,000 to $44,999","Tot$45,000 to $49,999","Tot$50,000 to $59,999","Tot$60,000 to $74,999","Tot$75,000 to $99,999","Tot$100,000 to $124,999","Tot$125,000 to $149,999","Tot$150,000 to $199,999","Tot$200,000 or more",TableReferenceId,CensusNotes 
0500000US36095,"Schoharie County, New York",74,13,5,0,0,2,4,0,0,0,0,16,14,18,2,0,0,B19001B,TBD
0500000US36067,"Onondaga County, New York",18814,2980,2075,1516,1040,1304,1367,1096,834,1043,1208,1041,1459,810,443,410,188,B19001B,TBD
0500000US36019,"Clinton County, New York",221,6,12,0,0,0,27,18,18,29,20,41,10,12,15,13,0,B19001B,TBD
0500000US36099,"Seneca County, New York",137,0,4,0,35,5,21,12,3,17,5,0,18,14,0,0,3,B19001B,TBD
0500000US36079,"Putnam County, New York",831,30,0,0,0,95,0,0,27,42,26,85,115,97,47,68,199,B19001B,TBD
0500000US36033,"Franklin County, New York",171,48,50,0,0,0,0,0,19,0,9,10,13,22,0,0,0,B19001B,TBD
0500000US36069,"Ontario County, New York",938,92,97,92,108,58,27,82,62,107,28,92,46,12,0,35,0,B19001B,TBD
0500000US36081,"Queens County, New York",137307,8414,6526,5269,5531,4916,5249,5524,5820,5215,9946,13750,19851,13395,9910,10971,7020,B19001B,TBD
0500000US36101,"Steuben County, New York",471,40,65,27,20,23,3,52,5,28,5,42,24,88,25,23,1,B19001B,TBD
0500000US36041,"Hamilton County, New York",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B19001B,TBD
0500000US36115,"Washington County, New York",149,0,87,0,0,7,30,0,0,0,0,25,0,0,0,0,0,B19001B,TBD
0500000US36013,"Chautauqua County, New York",850,162,133,135,93,3,67,29,3,16,105,48,8,14,17,17,0,B19001B,TBD
0500000US36047,"Kings County, New York",318326,41280,22032,17412,16347,15114,16315,15016,14819,12261,21773,28979,35184,22552,14111,14250,10881,B19001B,TBD
0500000US36061,"New York County, New York",100834,15164,11738,7243,5662,4937,5206,4123,3946,2975,7001,7062,9278,5390,3378,3662,4069,B19001B,TBD
0500000US36107,"Tioga County, New York",80,2,0,2,0,0,0,7,0,0,5,33,18,0,13,0,0,B19001B,TBD
0500000US36011,"Cayuga County, New York",535,71,110,25,0,64,63,42,0,45,42,59,7,0,7,0,0,B19001B,TBD
0500000US36073,"Orleans County, New York",625,106,43,0,38,32,74,8,7,12,75,59,40,116,0,15,0,B19001B,TBD
0500000US36091,"Saratoga County, New York",1381,102,48,58,99,19,61,12,0,63,107,169,222,153,157,10,101,B19001B,TBD
0500000US36087,"Rockland County, New York",11272,630,307,409,450,454,366,437,499,281,618,1061,1402,959,916,1066,1417,B19001B,TBD
0500000US36021,"Columbia County, New York",876,97,90,74,33,37,93,53,103,27,51,78,71,23,0,39,7,B19001B,TBD
0500000US36049,"Lewis County, New York",35,14,0,0,0,0,0,0,0,0,5,0,16,0,0,0,0,B19001B,TBD
0500000US36063,"Niagara County, New York",5939,883,812,590,526,441,294,375,174,271,326,408,253,376,114,64,32,B19001B,TBD
0500000US36119,"Westchester County, New York",50654,4095,2701,2459,2641,2416,2173,1965,1682,1831,3648,4506,5465,4647,3276,3589,3560,B19001B,TBD
0500000US36025,"Delaware County, New York",162,47,14,12,3,19,9,0,23,6,1,5,0,2,12,9,0,B19001B,TBD
0500000US36031,"Essex County, New York",4,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,B19001B,TBD
0500000US36057,"Montgomery County, New York",367,86,42,0,0,5,29,128,28,9,0,0,33,0,0,7,0,B19001B,TBD
0500000US36059,"Nassau County, New York",46028,2225,1295,1034,1140,1329,1403,1217,1556,1158,2120,3733,6227,4923,4500,6334,5834,B19001B,TBD
0500000US36085,"Richmond County, New York",16755,3515,1070,903,610,497,506,512,577,717,1217,970,1774,933,1112,1264,578,B19001B,TBD
0500000US36097,"Schuyler County, New York",18,0,0,11,0,0,0,0,0,0,0,0,7,0,0,0,0,B19001B,TBD
0500000US36109,"Tompkins County, New York",1124,221,171,92,45,36,44,9,108,70,81,39,71,36,50,18,33,B19001B,TBD
0500000US36017,"Chenango County, New York",198,31,0,4,0,7,19,0,0,18,0,35,8,6,22,0,48,B19001B,TBD
0500000US36023,"Cortland County, New York",265,0,25,0,87,22,18,0,6,0,17,0,57,0,33,0,0,B19001B,TBD
0500000US36045,"Jefferson County, New York",2131,133,51,49,112,141,184,109,71,155,453,142,470,45,0,16,0,B19001B,TBD
0500000US36065,"Oneida County, New York",4473,958,394,419,325,316,248,298,95,135,325,270,188,274,32,93,103,B19001B,TBD
0500000US36103,"Suffolk County, New York",31864,2250,995,1205,1028,1217,831,1132,1184,961,2218,2696,4145,3496,2243,3743,2520,B19001B,TBD
0500000US36121,"Wyoming County, New York",33,4,0,0,0,0,12,0,0,9,0,0,8,0,0,0,0,B19001B,TBD
0500000US36015,"Chemung County, New York",1626,300,277,37,39,165,272,96,24,56,131,104,19,35,44,24,3,B19001B,TBD
0500000US36075,"Oswego County, New York",214,86,15,5,1,26,8,11,0,0,4,11,9,0,38,0,0,B19001B,TBD
0500000US36077,"Otsego County, New York",310,37,54,30,4,17,3,0,51,0,24,32,8,17,0,0,33,B19001B,TBD
0500000US36117,"Wayne County, New York",708,152,67,58,64,37,21,57,28,14,37,30,109,18,0,0,16,B19001B,TBD
0500000US36001,"Albany County, New York",15021,1833,1500,1276,1143,943,1502,548,774,646,971,1298,1195,624,294,265,209,B19001B,TBD
0500000US36007,"Broome County, New York",3759,648,421,615,366,180,168,147,169,89,273,178,253,138,63,51,0,B19001B,TBD
0500000US36029,"Erie County, New York",52002,8850,5760,3733,3871,3281,3500,2608,2689,1873,3769,3382,4141,1994,927,970,654,B19001B,TBD
0500000US36053,"Madison County, New York",236,8,0,0,22,0,0,30,0,0,0,145,0,0,31,0,0,B19001B,TBD
0500000US36105,"Sullivan County, New York",1710,117,104,174,96,156,149,54,63,75,133,174,233,108,9,63,2,B19001B,TBD
0500000US36037,"Genesee County, New York",665,106,98,26,32,77,65,39,6,0,38,56,72,41,9,0,0,B19001B,TBD
0500000US36071,"Orange County, New York",13887,914,703,626,466,640,792,337,599,308,870,1605,1630,1360,1133,1215,689,B19001B,TBD
0500000US36005,"Bronx County, New York",175887,23979,15871,10685,8653,9738,8889,8615,9336,6319,13518,15602,17931,11125,6365,5674,3587,B19001B,TBD
0500000US36035,"Fulton County, New York",202,37,34,0,41,0,0,0,0,0,0,37,11,36,0,0,6,B19001B,TBD
0500000US36083,"Rensselaer County, New York",3874,622,392,381,197,202,275,74,124,266,361,196,393,109,177,77,28,B19001B,TBD
0500000US36027,"Dutchess County, New York",9590,803,760,458,304,545,499,527,474,384,660,629,1200,826,517,584,420,B19001B,TBD
0500000US36043,"Herkimer County, New York",163,79,0,12,0,0,0,0,0,2,16,12,30,0,12,0,0,B19001B,TBD
0500000US36089,"St. Lawrence County, New York",122,20,0,9,0,0,9,0,0,19,0,1,53,0,11,0,0,B19001B,TBD
0500000US36113,"Warren County, New York",219,0,4,9,21,0,47,0,19,4,0,9,37,6,0,15,48,B19001B,TBD
0500000US36055,"Monroe County, New York",41928,6340,5048,3277,3539,2740,2597,2273,1853,1830,2755,3373,2770,1636,727,686,484,B19001B,TBD
0500000US36111,"Ulster County, New York",2951,350,186,133,398,225,225,182,98,85,191,232,209,107,36,147,147,B19001B,TBD
0500000US36051,"Livingston County, New York",282,62,33,30,30,6,20,9,11,0,20,10,38,0,13,0,0,B19001B,TBD
0500000US36039,"Greene County, New York",262,38,4,16,0,0,4,0,0,0,15,97,45,16,23,4,0,B19001B,TBD
0500000US36003,"Allegany County, New York",32,2,0,5,0,0,0,0,19,0,0,1,4,0,0,1,0,B19001B,TBD
0500000US36009,"Cattaraugus County, New York",279,98,5,37,0,5,39,4,13,0,2,5,18,45,8,0,0,B19001B,TBD
0500000US36093,"Schenectady County, New York",4867,754,387,393,358,321,428,304,290,66,219,288,463,263,136,197,0,B19001B,TBD
0500000US36123,"Yates County, New York",45,0,19,6,0,0,3,0,0,17,0,0,0,0,0,0,0,B19001B,TBD
