id,County,Tot,"TotLess than $10,000","Tot$10,000 to $14,999","Tot$15,000 to $19,999","Tot$20,000 to $24,999","Tot$25,000 to $29,999","Tot$30,000 to $34,999","Tot$35,000 to $39,999","Tot$40,000 to $44,999","Tot$45,000 to $49,999","Tot$50,000 to $59,999","Tot$60,000 to $74,999","Tot$75,000 to $99,999","Tot$100,000 to $124,999","Tot$125,000 to $149,999","Tot$150,000 to $199,999","Tot$200,000 or more",TableReferenceId,CensusNotes 
0500000US36095,"Schoharie County, New York",12559,619,768,575,690,565,739,702,682,467,1014,1326,1722,1143,610,565,372,B19001,TBD
0500000US36067,"Onondaga County, New York",185624,12558,9080,8940,8207,8731,8231,8054,7438,7754,14893,18152,23948,16886,11980,11293,9479,B19001,TBD
0500000US36019,"Clinton County, New York",31395,2100,1576,1503,1566,1624,1511,1465,1473,1277,2633,3673,4239,2976,1419,1603,757,B19001,TBD
0500000US36099,"Seneca County, New York",13522,688,622,770,759,690,835,555,557,674,1189,1631,1961,1133,593,484,381,B19001,TBD
0500000US36079,"Putnam County, New York",34847,654,741,917,927,893,942,1072,685,830,1860,3056,4412,4102,3513,4529,5714,B19001,TBD
0500000US36033,"Franklin County, New York",19088,1478,1505,987,956,962,784,832,985,840,1602,2081,2581,1481,806,711,497,B19001,TBD
0500000US36069,"Ontario County, New York",44286,1802,1633,1904,2126,1983,2068,2067,2236,1874,3344,4568,6321,4315,3154,2354,2537,B19001,TBD
0500000US36081,"Queens County, New York",779234,45630,33236,33213,34493,33502,33572,31367,32065,27211,56827,77265,101438,74312,52971,61120,51012,B19001,TBD
0500000US36101,"Steuben County, New York",40183,2398,2366,2147,2260,2206,2357,1880,2033,1867,3600,4285,5076,3182,1886,1471,1169,B19001,TBD
0500000US36041,"Hamilton County, New York",1124,62,44,54,68,38,74,52,60,41,116,153,150,91,46,42,33,B19001,TBD
0500000US36115,"Washington County, New York",24009,1161,1404,1251,1231,1367,962,1008,1223,1460,2051,2694,3372,2003,1140,1087,595,B19001,TBD
0500000US36013,"Chautauqua County, New York",52572,3879,3953,3626,3421,2907,2954,2739,2631,2540,4409,4966,6463,3938,1915,1326,905,B19001,TBD
0500000US36047,"Kings County, New York",950856,88547,65443,48689,46641,41235,40751,37753,36458,31335,59846,78493,104354,76171,53047,62876,79217,B19001,TBD
0500000US36061,"New York County, New York",758133,62522,42637,29678,27657,23284,22850,20506,20991,15629,37545,52334,71877,60320,46031,62992,161280,B19001,TBD
0500000US36107,"Tioga County, New York",20045,821,1201,1019,902,844,1240,881,668,680,1597,2188,2790,2155,1202,1085,772,B19001,TBD
0500000US36011,"Cayuga County, New York",31251,1597,1532,1547,1376,1735,1560,1622,1749,1267,2453,3665,4176,3025,1786,1304,857,B19001,TBD
0500000US36073,"Orleans County, New York",16333,812,849,864,923,1039,798,897,929,779,1689,1847,1913,1437,696,536,325,B19001,TBD
0500000US36091,"Saratoga County, New York",93876,2888,2457,3049,2987,2744,3325,2947,3636,3422,6859,9170,13909,11574,8136,8826,7947,B19001,TBD
0500000US36087,"Rockland County, New York",100005,3638,3244,3919,3352,3458,2941,2977,3061,2901,5694,7502,11381,10031,8162,11460,16284,B19001,TBD
0500000US36021,"Columbia County, New York",25243,1316,959,1307,1131,1072,1272,1068,1011,1003,2038,2542,3747,2338,1394,1589,1456,B19001,TBD
0500000US36049,"Lewis County, New York",10242,442,674,450,372,619,651,659,478,539,912,1084,1424,821,488,375,254,B19001,TBD
0500000US36063,"Niagara County, New York",88211,5594,5031,4937,4599,4276,4397,4474,4220,3758,6705,8943,11414,7804,4919,4569,2571,B19001,TBD
0500000US36119,"Westchester County, New York",347332,16308,11298,10933,12113,11359,10774,10229,9649,9284,20246,25493,34986,31771,25483,34655,72751,B19001,TBD
0500000US36025,"Delaware County, New York",19030,1193,1315,1241,1263,1061,982,821,1052,815,1746,2110,2239,1360,888,514,430,B19001,TBD
0500000US36031,"Essex County, New York",15425,669,835,872,656,868,719,726,739,619,1507,1693,2179,1299,926,673,445,B19001,TBD
0500000US36057,"Montgomery County, New York",19665,1470,1278,1248,1401,1357,963,1034,968,754,1676,2112,2123,1395,710,789,387,B19001,TBD
0500000US36059,"Nassau County, New York",445517,12755,9462,10320,11355,11463,10598,10356,11600,9455,20290,31779,51197,46444,41069,61971,95403,B19001,TBD
0500000US36085,"Richmond County, New York",166152,13395,6336,5827,5589,5583,5121,4558,5133,4849,9620,13138,20844,17320,14181,18179,16479,B19001,TBD
0500000US36097,"Schuyler County, New York",7304,361,394,571,412,256,389,382,357,417,497,796,1168,659,325,221,99,B19001,TBD
0500000US36109,"Tompkins County, New York",39326,3934,1926,1546,1598,1763,2090,1356,1614,1246,3050,3988,4836,3086,2221,2306,2766,B19001,TBD
0500000US36017,"Chenango County, New York",20616,1161,1353,1305,1241,1151,1083,1054,1017,814,1782,2465,2693,1592,758,697,450,B19001,TBD
0500000US36023,"Cortland County, New York",17685,812,1148,763,939,786,917,853,846,1047,1501,1846,2556,1348,937,847,539,B19001,TBD
