id,County,Tot,"TotLess than $10,000","Tot$10,000 to $14,999","Tot$15,000 to $19,999","Tot$20,000 to $24,999","Tot$25,000 to $29,999","Tot$30,000 to $34,999","Tot$35,000 to $39,999","Tot$40,000 to $44,999","Tot$45,000 to $49,999","Tot$50,000 to $59,999","Tot$60,000 to $74,999","Tot$75,000 to $99,999","Tot$100,000 to $124,999","Tot$125,000 to $149,999","Tot$150,000 to $199,999","Tot$200,000 or more",TableReferenceId,CensusNotes 
0500000US36095,"Schoharie County, New York",222,3,17,4,7,12,13,15,0,0,28,37,43,24,7,12,0,B19001I,TBD
0500000US36067,"Onondaga County, New York",6320,1098,623,353,401,356,228,270,109,250,557,661,549,243,304,203,115,B19001I,TBD
0500000US36019,"Clinton County, New York",225,0,17,18,11,15,2,0,25,12,29,22,32,11,14,17,0,B19001I,TBD
0500000US36099,"Seneca County, New York",237,44,25,14,22,0,10,51,4,7,1,17,37,2,0,0,3,B19001I,TBD
0500000US36079,"Putnam County, New York",3729,91,35,191,244,125,149,184,84,53,345,256,533,396,356,380,307,B19001I,TBD
0500000US36033,"Franklin County, New York",161,32,0,12,16,2,11,1,0,12,36,0,19,11,9,0,0,B19001I,TBD
0500000US36069,"Ontario County, New York",1364,135,65,139,88,115,123,129,57,47,64,138,116,80,42,17,9,B19001I,TBD
0500000US36081,"Queens County, New York",188480,11063,8422,8455,9026,9497,9648,9340,9029,7860,16469,19884,24689,15584,11283,11539,6692,B19001I,TBD
0500000US36101,"Steuben County, New York",426,62,36,6,50,6,15,9,10,0,49,29,85,15,21,0,33,B19001I,TBD
0500000US36041,"Hamilton County, New York",3,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,B19001I,TBD
0500000US36115,"Washington County, New York",215,9,27,0,24,10,17,16,11,11,17,6,16,27,0,8,16,B19001I,TBD
0500000US36013,"Chautauqua County, New York",2555,466,524,177,199,102,81,186,111,159,129,204,116,48,18,14,21,B19001I,TBD
0500000US36047,"Kings County, New York",164562,20886,14967,10637,10046,9053,7649,8161,7079,6170,11842,13893,15524,10355,6691,5832,5777,B19001I,TBD
0500000US36061,"New York County, New York",152444,20992,16337,10778,9129,7716,6968,6582,5831,4193,9593,11934,13461,8836,5821,5744,8529,B19001I,TBD
0500000US36107,"Tioga County, New York",188,9,0,2,5,25,0,8,8,0,34,16,12,23,23,23,0,B19001I,TBD
0500000US36011,"Cayuga County, New York",423,39,19,32,28,67,28,60,13,3,20,24,37,30,8,15,0,B19001I,TBD
0500000US36073,"Orleans County, New York",567,99,5,130,50,26,0,38,9,34,67,39,32,38,0,0,0,B19001I,TBD
0500000US36091,"Saratoga County, New York",2024,140,14,0,43,152,109,42,44,32,74,189,322,329,189,209,136,B19001I,TBD
0500000US36087,"Rockland County, New York",13889,677,729,557,603,610,563,583,597,334,1200,978,1562,1368,1165,1170,1193,B19001I,TBD
0500000US36021,"Columbia County, New York",782,71,41,35,65,63,28,42,3,31,43,98,133,62,13,12,42,B19001I,TBD
0500000US36049,"Lewis County, New York",72,0,0,11,0,21,0,7,0,5,0,15,6,3,4,0,0,B19001I,TBD
0500000US36063,"Niagara County, New York",1638,261,232,126,42,94,96,93,76,138,68,91,120,82,40,79,0,B19001I,TBD
0500000US36119,"Westchester County, New York",67825,4178,3224,3032,3593,3350,2936,2974,2692,2590,5609,6585,7363,5830,4260,4588,5021,B19001I,TBD
0500000US36025,"Delaware County, New York",434,30,13,47,70,8,0,52,46,30,7,32,20,47,19,0,13,B19001I,TBD
0500000US36031,"Essex County, New York",120,29,17,13,0,0,12,8,0,0,22,8,0,0,0,0,11,B19001I,TBD
0500000US36057,"Montgomery County, New York",2209,506,225,168,124,181,65,131,66,56,151,177,122,123,80,23,11,B19001I,TBD
0500000US36059,"Nassau County, New York",54041,1800,1468,1586,1940,2009,1707,1776,2043,1527,3481,4935,7214,5541,4396,6403,6215,B19001I,TBD
0500000US36085,"Richmond County, New York",25545,3837,1252,780,871,929,817,881,823,974,1789,2021,3236,2421,1683,1945,1286,B19001I,TBD
0500000US36097,"Schuyler County, New York",47,0,7,0,10,0,0,0,0,0,7,0,7,0,7,9,0,B19001I,TBD
0500000US36109,"Tompkins County, New York",1163,225,36,69,6,52,182,9,48,56,75,124,141,54,13,39,34,B19001I,TBD
