id,County,Tot,"TotLess than $10,000","Tot$10,000 to $14,999","Tot$15,000 to $19,999","Tot$20,000 to $24,999","Tot$25,000 to $29,999","Tot$30,000 to $34,999","Tot$35,000 to $39,999","Tot$40,000 to $44,999","Tot$45,000 to $49,999","Tot$50,000 to $59,999","Tot$60,000 to $74,999","Tot$75,000 to $99,999","Tot$100,000 to $124,999","Tot$125,000 to $149,999","Tot$150,000 to $199,999","Tot$200,000 or more",TableReferenceId,CensusNotes 
0500000US36095,"Schoharie County, New York",59,0,0,22,4,0,12,0,5,4,0,0,5,7,0,0,0,B19001G,TBD
0500000US36067,"Onondaga County, New York",3075,328,206,144,206,169,174,107,108,106,280,289,254,230,188,103,183,B19001G,TBD
0500000US36019,"Clinton County, New York",253,32,20,14,2,0,5,40,0,19,17,49,24,10,7,2,12,B19001G,TBD
0500000US36099,"Seneca County, New York",199,73,0,16,11,19,30,6,0,0,19,17,8,0,0,0,0,B19001G,TBD
0500000US36079,"Putnam County, New York",430,6,0,9,13,8,54,0,22,0,6,44,60,46,72,46,44,B19001G,TBD
0500000US36033,"Franklin County, New York",153,33,11,19,2,2,2,15,3,9,11,20,5,20,0,1,0,B19001G,TBD
0500000US36069,"Ontario County, New York",332,52,18,15,3,42,16,39,15,9,0,22,29,31,21,4,16,B19001G,TBD
0500000US36081,"Queens County, New York",21338,1397,750,905,904,888,706,545,1039,661,1538,1793,2789,2151,1768,1776,1728,B19001G,TBD
0500000US36101,"Steuben County, New York",318,44,27,14,1,9,29,27,8,20,43,21,29,7,22,17,0,B19001G,TBD
0500000US36041,"Hamilton County, New York",4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,B19001G,TBD
0500000US36115,"Washington County, New York",207,18,7,13,24,15,0,5,0,0,6,69,13,18,14,5,0,B19001G,TBD
0500000US36013,"Chautauqua County, New York",382,57,18,22,54,5,58,13,18,0,40,69,0,14,8,6,0,B19001G,TBD
0500000US36047,"Kings County, New York",22692,2275,1225,1115,1082,924,770,920,987,537,1449,1834,2273,1994,1240,1650,2417,B19001G,TBD
0500000US36061,"New York County, New York",26374,2689,1878,1223,1239,987,1067,1070,973,620,1767,2016,2601,2305,1744,1432,2763,B19001G,TBD
0500000US36107,"Tioga County, New York",241,6,0,19,0,0,13,0,11,0,134,37,0,16,0,0,5,B19001G,TBD
0500000US36011,"Cayuga County, New York",215,3,2,13,3,10,47,20,4,0,14,51,25,23,0,0,0,B19001G,TBD
0500000US36073,"Orleans County, New York",118,23,15,0,12,0,7,0,0,0,23,15,13,6,4,0,0,B19001G,TBD
0500000US36091,"Saratoga County, New York",979,86,24,7,67,17,33,0,14,72,63,37,141,76,54,160,128,B19001G,TBD
0500000US36087,"Rockland County, New York",1941,77,33,80,53,74,38,70,38,213,66,115,306,205,104,226,243,B19001G,TBD
0500000US36021,"Columbia County, New York",453,41,10,45,16,40,55,0,0,71,24,15,58,62,9,7,0,B19001G,TBD
0500000US36049,"Lewis County, New York",68,8,33,5,0,0,1,0,0,3,0,11,2,5,0,0,0,B19001G,TBD
0500000US36063,"Niagara County, New York",985,184,15,52,105,68,55,83,31,26,81,36,126,95,28,0,0,B19001G,TBD
0500000US36119,"Westchester County, New York",5976,381,202,236,247,157,71,317,178,119,309,490,531,581,434,751,972,B19001G,TBD
