id,County,Tot,"TotLess than $10,000","Tot$10,000 to $14,999","Tot$15,000 to $19,999","Tot$20,000 to $24,999","Tot$25,000 to $29,999","Tot$30,000 to $34,999","Tot$35,000 to $39,999","Tot$40,000 to $44,999","Tot$45,000 to $49,999","Tot$50,000 to $59,999","Tot$60,000 to $74,999","Tot$75,000 to $99,999","Tot$100,000 to $124,999","Tot$125,000 to $149,999","Tot$150,000 to $199,999","Tot$200,000 or more",TableReferenceId,CensusNotes 
0500000US36095,"Schoharie County, New York",5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B19001C,TBD
0500000US36067,"Onondaga County, New York",1172,141,163,80,22,38,23,129,47,11,130,101,78,91,28,25,65,B19001C,TBD
0500000US36019,"Clinton County, New York",123,25,0,29,0,0,0,0,0,7,10,8,44,0,0,0,0,B19001C,TBD
0500000US36099,"Seneca County, New York",42,10,0,8,3,0,0,0,0,0,3,13,4,1,0,0,0,B19001C,TBD
0500000US36079,"Putnam County, New York",94,0,4,0,12,8,10,0,0,0,44,0,16,0,0,0,0,B19001C,TBD
0500000US36033,"Franklin County, New York",1237,121,145,81,87,37,0,52,41,104,98,117,242,10,3,96,3,B19001C,TBD
0500000US36069,"Ontario County, New York",165,28,0,33,0,0,0,0,10,0,0,3,91,0,0,0,0,B19001C,TBD
0500000US36081,"Queens County, New York",3237,102,250,200,125,300,230,92,105,94,309,340,460,251,80,202,97,B19001C,TBD
0500000US36101,"Steuben County, New York",28,0,2,6,0,2,0,11,0,0,0,4,3,0,0,0,0,B19001C,TBD
0500000US36041,"Hamilton County, New York",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,B19001C,TBD
0500000US36115,"Washington County, New York",62,2,19,0,0,0,0,0,0,0,4,9,0,0,20,8,0,B19001C,TBD
0500000US36013,"Chautauqua County, New York",223,47,64,0,0,12,16,0,5,32,10,0,37,0,0,0,0,B19001C,TBD
0500000US36047,"Kings County, New York",3048,414,337,160,99,145,147,143,166,43,244,223,277,240,130,112,168,B19001C,TBD
0500000US36061,"New York County, New York",2785,283,237,207,357,98,34,127,129,87,84,370,319,100,74,81,198,B19001C,TBD
0500000US36107,"Tioga County, New York",59,0,11,3,0,0,0,0,8,0,2,0,35,0,0,0,0,B19001C,TBD
0500000US36011,"Cayuga County, New York",58,8,0,1,0,14,0,3,16,0,3,13,0,0,0,0,0,B19001C,TBD
0500000US36073,"Orleans County, New York",44,9,0,3,5,0,0,4,0,0,0,7,3,0,13,0,0,B19001C,TBD
0500000US36091,"Saratoga County, New York",123,14,0,17,0,0,0,0,0,0,0,19,1,30,42,0,0,B19001C,TBD
0500000US36087,"Rockland County, New York",165,11,0,0,0,0,0,0,0,0,0,21,0,15,34,46,38,B19001C,TBD
0500000US36021,"Columbia County, New York",21,5,0,0,0,0,0,0,0,0,0,0,2,7,2,5,0,B19001C,TBD
0500000US36049,"Lewis County, New York",18,0,3,0,0,2,0,0,0,0,0,10,3,0,0,0,0,B19001C,TBD
0500000US36063,"Niagara County, New York",755,69,115,24,52,50,34,44,82,0,38,102,93,11,5,11,25,B19001C,TBD
0500000US36119,"Westchester County, New York",1148,39,106,48,33,23,59,92,58,79,91,58,275,10,87,20,70,B19001C,TBD
0500000US36025,"Delaware County, New York",27,3,1,2,0,2,10,0,0,0,2,5,2,0,0,0,0,B19001C,TBD
0500000US36031,"Essex County, New York",27,3,8,0,2,0,0,0,9,0,0,2,0,0,0,0,3,B19001C,TBD
0500000US36057,"Montgomery County, New York",16,0,7,0,0,0,0,9,0,0,0,0,0,0,0,0,0,B19001C,TBD
0500000US36059,"Nassau County, New York",963,110,19,74,39,41,7,34,90,0,13,92,75,73,67,104,125,B19001C,TBD
0500000US36085,"Richmond County, New York",340,7,5,0,11,9,0,0,32,10,51,93,8,35,23,28,28,B19001C,TBD
0500000US36097,"Schuyler County, New York",14,0,0,0,1,0,0,0,7,0,0,5,0,0,0,1,0,B19001C,TBD
0500000US36109,"Tompkins County, New York",61,0,0,19,0,0,0,0,0,0,10,0,12,11,0,0,9,B19001C,TBD
0500000US36017,"Chenango County, New York",66,0,0,0,0,0,0,0,5,0,6,10,29,16,0,0,0,B19001C,TBD
0500000US36023,"Cortland County, New York",5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,B19001C,TBD
0500000US36045,"Jefferson County, New York",130,18,0,7,26,0,0,1,22,0,7,16,4,3,0,21,5,B19001C,TBD
0500000US36065,"Oneida County, New York",155,17,0,18,7,7,14,26,0,2,20,0,18,4,0,22,0,B19001C,TBD
0500000US36103,"Suffolk County, New York",912,91,84,30,3,21,94,18,8,12,7,63,130,112,89,21,129,B19001C,TBD
0500000US36121,"Wyoming County, New York",87,21,0,0,0,13,14,0,0,0,0,0,0,23,0,16,0,B19001C,TBD
0500000US36015,"Chemung County, New York",60,36,0,2,0,0,0,0,0,0,0,0,22,0,0,0,0,B19001C,TBD
0500000US36075,"Oswego County, New York",90,7,3,20,0,12,2,0,0,0,5,17,5,8,1,10,0,B19001C,TBD
0500000US36077,"Otsego County, New York",31,0,0,0,7,2,0,0,0,6,4,0,6,0,0,6,0,B19001C,TBD
0500000US36117,"Wayne County, New York",75,7,14,0,0,0,3,0,0,4,15,20,8,0,4,0,0,B19001C,TBD
0500000US36001,"Albany County, New York",255,37,7,17,13,13,23,0,0,40,27,13,52,0,0,13,0,B19001C,TBD
0500000US36007,"Broome County, New York",188,30,30,51,5,26,0,0,0,10,0,14,0,5,8,0,9,B19001C,TBD
0500000US36029,"Erie County, New York",1779,390,211,102,209,119,76,76,18,30,175,170,91,79,9,24,0,B19001C,TBD
0500000US36053,"Madison County, New York",212,21,8,13,0,39,13,3,0,26,8,54,11,0,0,16,0,B19001C,TBD
0500000US36105,"Sullivan County, New York",40,8,0,0,0,0,0,4,0,0,0,25,0,0,0,3,0,B19001C,TBD
0500000US36037,"Genesee County, New York",296,6,38,34,13,26,11,7,20,0,57,34,50,0,0,0,0,B19001C,TBD
0500000US36071,"Orange County, New York",463,72,0,23,0,9,46,40,0,13,9,42,111,0,13,76,9,B19001C,TBD
0500000US36005,"Bronx County, New York",3923,729,450,302,254,189,181,187,255,138,419,226,219,124,15,164,71,B19001C,TBD
0500000US36035,"Fulton County, New York",51,0,0,0,40,0,0,0,0,0,0,11,0,0,0,0,0,B19001C,TBD
0500000US36083,"Rensselaer County, New York",106,0,7,10,2,0,65,0,0,0,3,0,19,0,0,0,0,B19001C,TBD
0500000US36027,"Dutchess County, New York",307,0,0,0,0,109,15,0,11,0,6,17,37,10,14,88,0,B19001C,TBD
0500000US36043,"Herkimer County, New York",25,8,0,5,0,0,0,0,0,0,0,9,0,0,0,0,3,B19001C,TBD
0500000US36089,"St. Lawrence County, New York",256,21,25,30,12,8,34,0,4,2,72,15,24,2,0,5,2,B19001C,TBD
0500000US36113,"Warren County, New York",48,0,0,0,0,0,0,20,0,21,0,0,0,3,0,0,4,B19001C,TBD
0500000US36055,"Monroe County, New York",1224,185,185,89,99,133,79,56,45,79,58,100,20,14,36,34,12,B19001C,TBD
0500000US36111,"Ulster County, New York",121,30,33,8,0,0,29,0,0,0,7,0,0,5,0,5,4,B19001C,TBD
0500000US36051,"Livingston County, New York",44,8,0,0,0,0,0,4,17,4,0,0,0,0,0,0,11,B19001C,TBD
0500000US36039,"Greene County, New York",53,0,37,0,0,0,0,0,0,0,0,0,14,0,2,0,0,B19001C,TBD
0500000US36003,"Allegany County, New York",60,4,0,0,10,0,23,0,3,0,20,0,0,0,0,0,0,B19001C,TBD
0500000US36009,"Cattaraugus County, New York",854,109,101,105,71,52,34,52,55,17,61,74,54,30,12,17,10,B19001C,TBD
0500000US36093,"Schenectady County, New York",119,12,27,0,0,0,0,0,12,0,13,18,26,0,11,0,0,B19001C,TBD
0500000US36123,"Yates County, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B19001C,TBD
