id,County,Tot,"TotLess than $10,000","Tot$10,000 to $14,999","Tot$15,000 to $19,999","Tot$20,000 to $24,999","Tot$25,000 to $29,999","Tot$30,000 to $34,999","Tot$35,000 to $39,999","Tot$40,000 to $44,999","Tot$45,000 to $49,999","Tot$50,000 to $59,999","Tot$60,000 to $74,999","Tot$75,000 to $99,999","Tot$100,000 to $124,999","Tot$125,000 to $149,999","Tot$150,000 to $199,999","Tot$200,000 or more",TableReferenceId,CensusNotes 
0500000US36095,"Schoharie County, New York",19,0,0,0,3,0,0,0,0,0,5,8,0,0,3,0,0,B19001F,TBD
0500000US36067,"Onondaga County, New York",1528,398,149,118,93,52,55,47,13,93,118,141,131,43,41,36,0,B19001F,TBD
0500000US36019,"Clinton County, New York",150,43,0,9,9,2,0,0,36,10,0,4,27,0,1,9,0,B19001F,TBD
0500000US36099,"Seneca County, New York",68,0,25,0,0,0,0,30,0,3,0,0,9,1,0,0,0,B19001F,TBD
0500000US36079,"Putnam County, New York",1282,46,28,70,113,40,12,89,29,19,160,52,174,158,109,116,67,B19001F,TBD
0500000US36033,"Franklin County, New York",55,0,0,0,0,0,11,0,0,0,33,0,5,3,1,2,0,B19001F,TBD
0500000US36069,"Ontario County, New York",494,39,50,3,70,69,20,19,25,29,39,33,67,31,0,0,0,B19001F,TBD
0500000US36081,"Queens County, New York",86963,4796,3851,4497,4476,4669,4514,5221,4291,3831,8100,9107,10806,7490,4279,4529,2506,B19001F,TBD
0500000US36101,"Steuben County, New York",65,6,10,0,0,9,10,0,4,0,10,0,5,3,4,4,0,B19001F,TBD
0500000US36041,"Hamilton County, New York",2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,B19001F,TBD
0500000US36115,"Washington County, New York",47,0,0,0,0,0,0,0,7,10,6,17,4,3,0,0,0,B19001F,TBD
0500000US36013,"Chautauqua County, New York",706,126,138,54,93,14,63,39,19,54,30,43,8,25,0,0,0,B19001F,TBD
0500000US36047,"Kings County, New York",71805,8833,7273,5000,5552,4571,3391,3684,3137,2975,5351,5913,6627,3980,2345,1748,1425,B19001F,TBD
0500000US36061,"New York County, New York",63781,9141,7598,4491,4190,3298,3400,3243,2513,2066,5049,5014,5273,3147,2032,1552,1774,B19001F,TBD
0500000US36107,"Tioga County, New York",36,0,0,0,0,25,0,1,2,0,8,0,0,0,0,0,0,B19001F,TBD
0500000US36011,"Cayuga County, New York",120,13,32,0,19,3,27,6,0,0,0,9,2,9,0,0,0,B19001F,TBD
0500000US36073,"Orleans County, New York",286,62,5,124,50,19,0,13,0,0,0,0,13,0,0,0,0,B19001F,TBD
