id,County,Tot,"TotLess than $10,000","Tot$10,000 to $14,999","Tot$15,000 to $19,999","Tot$20,000 to $24,999","Tot$25,000 to $29,999","Tot$30,000 to $34,999","Tot$35,000 to $39,999","Tot$40,000 to $44,999","Tot$45,000 to $49,999","Tot$50,000 to $59,999","Tot$60,000 to $74,999","Tot$75,000 to $99,999","Tot$100,000 to $124,999","Tot$125,000 to $149,999","Tot$150,000 to $199,999","Tot$200,000 or more",TableReferenceId,CensusNotes 
0500000US36095,"Schoharie County, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B19001E,TBD
0500000US36067,"Onondaga County, New York",50,12,0,0,0,0,6,0,0,0,12,0,0,0,9,11,0,B19001E,TBD
0500000US36019,"Clinton County, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B19001E,TBD
0500000US36099,"Seneca County, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B19001E,TBD
0500000US36079,"Putnam County, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B19001E,TBD
0500000US36033,"Franklin County, New York",59,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,B19001E,TBD
0500000US36069,"Ontario County, New York",24,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,B19001E,TBD
0500000US36081,"Queens County, New York",456,32,14,0,22,86,28,0,0,20,79,54,0,50,0,36,35,B19001E,TBD
0500000US36101,"Steuben County, New York",10,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,B19001E,TBD
0500000US36041,"Hamilton County, New York",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B19001E,TBD
0500000US36115,"Washington County, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B19001E,TBD
0500000US36013,"Chautauqua County, New York",5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,B19001E,TBD
0500000US36047,"Kings County, New York",308,45,0,12,54,0,0,0,5,0,9,57,42,36,16,32,0,B19001E,TBD
0500000US36061,"New York County, New York",272,67,0,0,24,0,0,0,0,0,12,22,46,0,51,19,31,B19001E,TBD
0500000US36107,"Tioga County, New York",6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,B19001E,TBD
0500000US36011,"Cayuga County, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B19001E,TBD
0500000US36073,"Orleans County, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B19001E,TBD
0500000US36091,"Saratoga County, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B19001E,TBD
0500000US36087,"Rockland County, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B19001E,TBD
0500000US36021,"Columbia County, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B19001E,TBD
0500000US36049,"Lewis County, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B19001E,TBD
0500000US36063,"Niagara County, New York",4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B19001E,TBD
0500000US36119,"Westchester County, New York",77,0,0,0,0,0,12,0,0,0,0,0,22,21,7,15,0,B19001E,TBD
0500000US36025,"Delaware County, New York",8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,B19001E,TBD
0500000US36031,"Essex County, New York",4,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,B19001E,TBD
0500000US36057,"Montgomery County, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B19001E,TBD
0500000US36059,"Nassau County, New York",83,0,0,24,11,0,0,0,0,0,6,8,0,20,7,7,0,B19001E,TBD
