id,County,Tot,"TotLess than $10,000","Tot$10,000 to $14,999","Tot$15,000 to $19,999","Tot$20,000 to $24,999","Tot$25,000 to $29,999","Tot$30,000 to $34,999","Tot$35,000 to $39,999","Tot$40,000 to $44,999","Tot$45,000 to $49,999","Tot$50,000 to $59,999","Tot$60,000 to $74,999","Tot$75,000 to $99,999","Tot$100,000 to $124,999","Tot$125,000 to $149,999","Tot$150,000 to $199,999","Tot$200,000 or more",TableReferenceId,CensusNotes 
0500000US36095,"Schoharie County, New York",12340,599,763,547,683,563,722,702,677,463,1000,1297,1675,1118,599,565,367,B19001A,TBD
0500000US36067,"Onondaga County, New York",156330,7911,6333,6873,6544,6944,6417,6481,6233,6308,12807,16253,21578,15548,11085,10350,8665,B19001A,TBD
0500000US36019,"Clinton County, New York",30290,1910,1517,1451,1546,1622,1458,1376,1375,1212,2545,3557,4080,2939,1396,1561,745,B19001A,TBD
0500000US36099,"Seneca County, New York",12987,554,593,738,710,666,784,507,554,654,1158,1596,1922,1103,593,483,372,B19001A,TBD
0500000US36079,"Putnam County, New York",31626,556,709,828,770,720,856,983,607,752,1604,2821,3973,3723,3250,4247,5227,B19001A,TBD
0500000US36033,"Franklin County, New York",17364,1274,1299,887,867,923,771,763,863,727,1451,1931,2316,1409,802,587,494,B19001A,TBD
0500000US36069,"Ontario County, New York",42048,1578,1429,1761,1945,1814,2005,1905,2124,1706,3270,4366,6027,4218,3126,2315,2459,B19001A,TBD
0500000US36081,"Queens County, New York",351000,18108,14547,14630,14965,13664,14426,12514,13380,11545,24645,35171,46779,34030,25423,30491,26682,B19001A,TBD
0500000US36101,"Steuben County, New York",38766,2294,2259,2100,2239,2163,2300,1780,1981,1801,3532,4166,4878,3049,1734,1425,1065,B19001A,TBD
0500000US36041,"Hamilton County, New York",1114,58,42,53,68,38,72,52,60,41,116,153,150,91,45,42,33,B19001A,TBD
0500000US36115,"Washington County, New York",23445,1136,1291,1238,1207,1345,926,992,1216,1450,2024,2569,3315,1970,1106,1074,586,B19001A,TBD
0500000US36013,"Chautauqua County, New York",50183,3451,3586,3370,3168,2873,2734,2658,2586,2427,4224,4783,6379,3874,1888,1303,879,B19001A,TBD
0500000US36047,"Kings County, New York",443612,29466,29694,20319,18321,16232,15974,14149,14114,12827,24997,33970,50164,39201,29716,38599,55869,B19001A,TBD
0500000US36061,"New York County, New York",474765,26206,15616,13380,12390,11589,10073,9656,11293,8136,19616,31795,46388,42136,33577,48028,134886,B19001A,TBD
0500000US36107,"Tioga County, New York",19510,813,1190,995,902,819,1197,819,647,680,1434,2100,2737,2136,1189,1085,767,B19001A,TBD
0500000US36011,"Cayuga County, New York",30226,1502,1388,1508,1354,1644,1411,1551,1721,1222,2389,3533,4117,2953,1776,1304,853,B19001A,TBD
0500000US36073,"Orleans County, New York",15176,612,783,735,806,988,717,872,922,767,1585,1763,1844,1268,679,515,320,B19001A,TBD
0500000US36091,"Saratoga County, New York",89073,2649,2329,2958,2813,2653,3150,2875,3604,3256,6571,8836,12981,10859,7711,8449,7379,B19001A,TBD
0500000US36087,"Rockland County, New York",74346,2563,2355,3075,2435,2521,2132,2078,2040,2089,4100,5585,7867,7423,6156,9029,12898,B19001A,TBD
0500000US36021,"Columbia County, New York",23374,1113,821,1176,1035,942,1104,982,896,896,1914,2386,3588,2223,1381,1530,1387,B19001A,TBD
0500000US36049,"Lewis County, New York",10053,415,638,431,372,589,650,644,478,536,901,1063,1403,816,488,375,254,B19001A,TBD
0500000US36063,"Niagara County, New York",79434,4387,3872,4224,3863,3639,3982,3863,3909,3426,6221,8363,10792,7234,4727,4429,2503,B19001A,TBD
0500000US36119,"Westchester County, New York",240737,9364,6544,6383,7061,6448,6537,5874,6311,5510,12524,16329,23367,22208,18271,26584,61422,B19001A,TBD
0500000US36025,"Delaware County, New York",18435,1084,1287,1188,1188,1040,939,821,1029,809,1683,2081,2177,1339,850,493,427,B19001A,TBD
0500000US36031,"Essex County, New York",15138,623,813,860,632,857,707,724,724,614,1451,1654,2174,1294,919,669,423,B19001A,TBD
0500000US36057,"Montgomery County, New York",17778,1104,1033,1140,1345,1188,870,802,909,733,1558,1969,2014,1305,658,763,387,B19001A,TBD
0500000US36059,"Nassau County, New York",333036,8376,6728,7945,8451,8323,7673,7557,7757,6764,14734,22444,37162,34176,30134,46733,78079,B19001A,TBD
0500000US36085,"Richmond County, New York",128344,7802,4552,3826,4314,4290,3874,3385,3755,3636,7215,10267,16668,14531,11567,14851,13811,B19001A,TBD
0500000US36097,"Schuyler County, New York",7217,353,394,560,405,256,380,382,347,417,488,788,1159,655,325,217,91,B19001A,TBD
0500000US36109,"Tompkins County, New York",32785,2178,1387,1248,1365,1446,1759,1117,1284,1031,2643,3511,4287,2857,2017,2214,2441,B19001A,TBD
0500000US36017,"Chenango County, New York",19963,1111,1338,1237,1224,1116,1041,1039,994,792,1739,2348,2632,1551,736,673,392,B19001A,TBD
0500000US36023,"Cortland County, New York",16994,793,1056,728,791,753,892,844,835,987,1479,1817,2454,1311,889,826,539,B19001A,TBD
0500000US36045,"Jefferson County, New York",38879,2382,1975,1794,1961,2020,2184,1930,2107,1943,3356,4517,5407,3222,1937,1230,914,B19001A,TBD
0500000US36065,"Oneida County, New York",81119,4322,4428,3972,4207,4252,4225,3856,3544,3134,7113,9026,11213,6636,4554,3819,2818,B19001A,TBD
0500000US36103,"Suffolk County, New York",420217,13186,10086,11133,11805,11253,11878,10323,11664,11200,23064,33670,52478,47973,38609,55044,66851,B19001A,TBD
0500000US36121,"Wyoming County, New York",15435,681,717,716,860,721,670,709,787,649,1528,1900,2497,1476,736,514,274,B19001A,TBD
0500000US36015,"Chemung County, New York",31407,2058,1506,1684,1704,1640,1527,1270,1434,1492,2613,3656,4176,2739,1800,1148,960,B19001A,TBD
0500000US36075,"Oswego County, New York",44806,2894,2307,2197,2004,2245,2290,2262,2413,2178,3769,4741,5933,3965,2588,1729,1291,B19001A,TBD
0500000US36077,"Otsego County, New York",22703,1524,1133,1097,1258,1207,1188,1076,1143,988,2011,2551,2771,2048,1084,1012,612,B19001A,TBD
0500000US36117,"Wayne County, New York",35021,1419,1677,1380,1562,1936,2054,2037,1673,1434,3350,4094,4935,3035,1947,1570,918,B19001A,TBD
0500000US36001,"Albany County, New York",100436,4043,3741,3652,4226,3317,3781,3951,4515,3717,7388,9866,13736,10674,7698,8165,7966,B19001A,TBD
0500000US36007,"Broome County, New York",70726,4443,4291,3615,3553,3997,3640,3476,3192,3318,5876,7353,9117,5872,3773,3075,2135,B19001A,TBD
