id,County,Median household income in the past 12 months (in 2018 inflation-adjusted dollars),TableReferenceId,CensusNotes 
0500000US36095,"Schoharie County, New York",63750,B19013B,TBD
0500000US36067,"Onondaga County, New York",31623,B19013B,TBD
0500000US36019,"Clinton County, New York",50208,B19013B,TBD
0500000US36099,"Seneca County, New York",36094,B19013B,TBD
0500000US36079,"Putnam County, New York",98875,B19013B,TBD
0500000US36033,"Franklin County, New York",-,B19013B,TBD
0500000US36069,"Ontario County, New York",32037,B19013B,TBD
0500000US36081,"Queens County, New York",66562,B19013B,TBD
0500000US36101,"Steuben County, New York",45045,B19013B,TBD
0500000US36041,"Hamilton County, New York",-,B19013B,TBD
0500000US36115,"Washington County, New York",-,B19013B,TBD
0500000US36013,"Chautauqua County, New York",19898,B19013B,TBD
0500000US36047,"Kings County, New York",45326,B19013B,TBD
0500000US36061,"New York County, New York",35596,B19013B,TBD
0500000US36107,"Tioga County, New York",71477,B19013B,TBD
0500000US36011,"Cayuga County, New York",29821,B19013B,TBD
0500000US36073,"Orleans County, New York",45938,B19013B,TBD
0500000US36091,"Saratoga County, New York",68675,B19013B,TBD
0500000US36087,"Rockland County, New York",76649,B19013B,TBD
0500000US36021,"Columbia County, New York",36029,B19013B,TBD
0500000US36049,"Lewis County, New York",-,B19013B,TBD
0500000US36063,"Niagara County, New York",26330,B19013B,TBD
0500000US36119,"Westchester County, New York",59181,B19013B,TBD
0500000US36025,"Delaware County, New York",25658,B19013B,TBD
0500000US36031,"Essex County, New York",-,B19013B,TBD
0500000US36057,"Montgomery County, New York",35517,B19013B,TBD
0500000US36059,"Nassau County, New York",94498,B19013B,TBD
0500000US36085,"Richmond County, New York",46065,B19013B,TBD
0500000US36097,"Schuyler County, New York",-,B19013B,TBD
0500000US36109,"Tompkins County, New York",29674,B19013B,TBD
0500000US36017,"Chenango County, New York",71613,B19013B,TBD
0500000US36023,"Cortland County, New York",-,B19013B,TBD
0500000US36045,"Jefferson County, New York",50945,B19013B,TBD
0500000US36065,"Oneida County, New York",27389,B19013B,TBD
0500000US36103,"Suffolk County, New York",76115,B19013B,TBD
0500000US36121,"Wyoming County, New York",47639,B19013B,TBD
0500000US36015,"Chemung County, New York",29871,B19013B,TBD
0500000US36075,"Oswego County, New York",-,B19013B,TBD
0500000US36077,"Otsego County, New York",42772,B19013B,TBD
0500000US36117,"Wayne County, New York",27692,B19013B,TBD
0500000US36001,"Albany County, New York",32005,B19013B,TBD
0500000US36007,"Broome County, New York",22036,B19013B,TBD
0500000US36029,"Erie County, New York",30686,B19013B,TBD
0500000US36053,"Madison County, New York",63500,B19013B,TBD
0500000US36105,"Sullivan County, New York",40198,B19013B,TBD
0500000US36037,"Genesee County, New York",28750,B19013B,TBD
0500000US36071,"Orange County, New York",66549,B19013B,TBD
0500000US36005,"Bronx County, New York",40681,B19013B,TBD
0500000US36035,"Fulton County, New York",-,B19013B,TBD
0500000US36083,"Rensselaer County, New York",31610,B19013B,TBD
0500000US36027,"Dutchess County, New York",50765,B19013B,TBD
0500000US36043,"Herkimer County, New York",-,B19013B,TBD
0500000US36089,"St. Lawrence County, New York",75500,B19013B,TBD
0500000US36113,"Warren County, New York",74028,B19013B,TBD
0500000US36055,"Monroe County, New York",30034,B19013B,TBD
0500000US36111,"Ulster County, New York",32085,B19013B,TBD
0500000US36051,"Livingston County, New York",21333,B19013B,TBD
0500000US36039,"Greene County, New York",64026,B19013B,TBD
0500000US36003,"Allegany County, New York",41406,B19013B,TBD
0500000US36009,"Cattaraugus County, New York",-,B19013B,TBD
0500000US36093,"Schenectady County, New York",31813,B19013B,TBD
0500000US36123,"Yates County, New York",-,B19013B,TBD
