id,County,Median household income in the past 12 months (in 2018 inflation-adjusted dollars),TableReferenceId,CensusNotes 
0500000US36095,"Schoharie County, New York",53701,B19013H,TBD
0500000US36067,"Onondaga County, New York",65511,B19013H,TBD
0500000US36019,"Clinton County, New York",55525,B19013H,TBD
0500000US36099,"Seneca County, New York",55968,B19013H,TBD
0500000US36079,"Putnam County, New York",105244,B19013H,TBD
0500000US36033,"Franklin County, New York",52509,B19013H,TBD
0500000US36069,"Ontario County, New York",65262,B19013H,TBD
0500000US36081,"Queens County, New York",74157,B19013H,TBD
0500000US36101,"Steuben County, New York",51375,B19013H,TBD
0500000US36041,"Hamilton County, New York",57786,B19013H,TBD
0500000US36115,"Washington County, New York",54032,B19013H,TBD
0500000US36013,"Chautauqua County, New York",47213,B19013H,TBD
0500000US36047,"Kings County, New York",77250,B19013H,TBD
0500000US36061,"New York County, New York",122852,B19013H,TBD
0500000US36107,"Tioga County, New York",61033,B19013H,TBD
0500000US36011,"Cayuga County, New York",57605,B19013H,TBD
0500000US36073,"Orleans County, New York",52935,B19013H,TBD
0500000US36091,"Saratoga County, New York",79828,B19013H,TBD
0500000US36087,"Rockland County, New York",95630,B19013H,TBD
0500000US36021,"Columbia County, New York",64987,B19013H,TBD
0500000US36049,"Lewis County, New York",52791,B19013H,TBD
0500000US36063,"Niagara County, New York",57741,B19013H,TBD
0500000US36119,"Westchester County, New York",115687,B19013H,TBD
0500000US36025,"Delaware County, New York",49285,B19013H,TBD
0500000US36031,"Essex County, New York",56676,B19013H,TBD
0500000US36057,"Montgomery County, New York",49543,B19013H,TBD
0500000US36059,"Nassau County, New York",117594,B19013H,TBD
0500000US36085,"Richmond County, New York",88906,B19013H,TBD
0500000US36097,"Schuyler County, New York",51444,B19013H,TBD
0500000US36109,"Tompkins County, New York",64672,B19013H,TBD
0500000US36017,"Chenango County, New York",50290,B19013H,TBD
0500000US36023,"Cortland County, New York",55240,B19013H,TBD
0500000US36045,"Jefferson County, New York",53460,B19013H,TBD
0500000US36065,"Oneida County, New York",56959,B19013H,TBD
0500000US36103,"Suffolk County, New York",101100,B19013H,TBD
0500000US36121,"Wyoming County, New York",58194,B19013H,TBD
0500000US36015,"Chemung County, New York",54541,B19013H,TBD
0500000US36075,"Oswego County, New York",54257,B19013H,TBD
0500000US36077,"Otsego County, New York",53310,B19013H,TBD
0500000US36117,"Wayne County, New York",56222,B19013H,TBD
0500000US36001,"Albany County, New York",73077,B19013H,TBD
0500000US36007,"Broome County, New York",53621,B19013H,TBD
0500000US36029,"Erie County, New York",63342,B19013H,TBD
0500000US36053,"Madison County, New York",60005,B19013H,TBD
0500000US36105,"Sullivan County, New York",60099,B19013H,TBD
0500000US36037,"Genesee County, New York",62709,B19013H,TBD
0500000US36071,"Orange County, New York",81929,B19013H,TBD
0500000US36005,"Bronx County, New York",62230,B19013H,TBD
0500000US36035,"Fulton County, New York",50449,B19013H,TBD
0500000US36083,"Rensselaer County, New York",69445,B19013H,TBD
0500000US36027,"Dutchess County, New York",81752,B19013H,TBD
0500000US36043,"Herkimer County, New York",52386,B19013H,TBD
0500000US36089,"St. Lawrence County, New York",49317,B19013H,TBD
0500000US36113,"Warren County, New York",60239,B19013H,TBD
0500000US36055,"Monroe County, New York",66410,B19013H,TBD
0500000US36111,"Ulster County, New York",66386,B19013H,TBD
0500000US36051,"Livingston County, New York",57130,B19013H,TBD
0500000US36039,"Greene County, New York",53579,B19013H,TBD
0500000US36003,"Allegany County, New York",47271,B19013H,TBD
0500000US36009,"Cattaraugus County, New York",48269,B19013H,TBD
0500000US36093,"Schenectady County, New York",69733,B19013H,TBD
0500000US36123,"Yates County, New York",55069,B19013H,TBD
