id,County,Median household income in the past 12 months (in 2018 inflation-adjusted dollars),TableReferenceId,CensusNotes 
0500000US36095,"Schoharie County, New York",63438,B19013I,TBD
0500000US36067,"Onondaga County, New York",36629,B19013I,TBD
0500000US36019,"Clinton County, New York",57019,B19013I,TBD
0500000US36099,"Seneca County, New York",35172,B19013I,TBD
0500000US36079,"Putnam County, New York",77240,B19013I,TBD
0500000US36033,"Franklin County, New York",46354,B19013I,TBD
0500000US36069,"Ontario County, New York",35773,B19013I,TBD
0500000US36081,"Queens County, New York",57281,B19013I,TBD
0500000US36101,"Steuben County, New York",58125,B19013I,TBD
0500000US36041,"Hamilton County, New York",-,B19013I,TBD
0500000US36115,"Washington County, New York",42679,B19013I,TBD
0500000US36013,"Chautauqua County, New York",22873,B19013I,TBD
0500000US36047,"Kings County, New York",40539,B19013I,TBD
0500000US36061,"New York County, New York",37966,B19013I,TBD
0500000US36107,"Tioga County, New York",65556,B19013I,TBD
0500000US36011,"Cayuga County, New York",33125,B19013I,TBD
0500000US36073,"Orleans County, New York",22475,B19013I,TBD
0500000US36091,"Saratoga County, New York",87311,B19013I,TBD
0500000US36087,"Rockland County, New York",67301,B19013I,TBD
0500000US36021,"Columbia County, New York",56250,B19013I,TBD
0500000US36049,"Lewis County, New York",38929,B19013I,TBD
0500000US36063,"Niagara County, New York",31758,B19013I,TBD
0500000US36119,"Westchester County, New York",59511,B19013I,TBD
0500000US36025,"Delaware County, New York",39732,B19013I,TBD
0500000US36031,"Essex County, New York",-,B19013I,TBD
0500000US36057,"Montgomery County, New York",26819,B19013I,TBD
0500000US36059,"Nassau County, New York",85256,B19013I,TBD
0500000US36085,"Richmond County, New York",58677,B19013I,TBD
0500000US36097,"Schuyler County, New York",-,B19013I,TBD
0500000US36109,"Tompkins County, New York",40216,B19013I,TBD
0500000US36017,"Chenango County, New York",69375,B19013I,TBD
0500000US36023,"Cortland County, New York",32841,B19013I,TBD
0500000US36045,"Jefferson County, New York",45430,B19013I,TBD
0500000US36065,"Oneida County, New York",27135,B19013I,TBD
0500000US36103,"Suffolk County, New York",81481,B19013I,TBD
0500000US36121,"Wyoming County, New York",36250,B19013I,TBD
0500000US36015,"Chemung County, New York",23167,B19013I,TBD
0500000US36075,"Oswego County, New York",24792,B19013I,TBD
0500000US36077,"Otsego County, New York",51146,B19013I,TBD
0500000US36117,"Wayne County, New York",50195,B19013I,TBD
0500000US36001,"Albany County, New York",38522,B19013I,TBD
0500000US36007,"Broome County, New York",29909,B19013I,TBD
0500000US36029,"Erie County, New York",28629,B19013I,TBD
0500000US36053,"Madison County, New York",75208,B19013I,TBD
0500000US36105,"Sullivan County, New York",41589,B19013I,TBD
0500000US36037,"Genesee County, New York",31926,B19013I,TBD
0500000US36071,"Orange County, New York",64366,B19013I,TBD
0500000US36005,"Bronx County, New York",32257,B19013I,TBD
0500000US36035,"Fulton County, New York",26373,B19013I,TBD
0500000US36083,"Rensselaer County, New York",36953,B19013I,TBD
0500000US36027,"Dutchess County, New York",63255,B19013I,TBD
0500000US36043,"Herkimer County, New York",58005,B19013I,TBD
0500000US36089,"St. Lawrence County, New York",56042,B19013I,TBD
0500000US36113,"Warren County, New York",-,B19013I,TBD
0500000US36055,"Monroe County, New York",31331,B19013I,TBD
0500000US36111,"Ulster County, New York",47837,B19013I,TBD
0500000US36051,"Livingston County, New York",44531,B19013I,TBD
0500000US36039,"Greene County, New York",41641,B19013I,TBD
0500000US36003,"Allegany County, New York",19141,B19013I,TBD
0500000US36009,"Cattaraugus County, New York",34375,B19013I,TBD
0500000US36093,"Schenectady County, New York",40604,B19013I,TBD
0500000US36123,"Yates County, New York",-,B19013I,TBD
