id,County,Median household income in the past 12 months (in 2018 inflation-adjusted dollars),TableReferenceId,CensusNotes 
0500000US36095,"Schoharie County, New York",30729,B19013G,TBD
0500000US36067,"Onondaga County, New York",47813,B19013G,TBD
0500000US36019,"Clinton County, New York",46985,B19013G,TBD
0500000US36099,"Seneca County, New York",24886,B19013G,TBD
0500000US36079,"Putnam County, New York",93056,B19013G,TBD
0500000US36033,"Franklin County, New York",36250,B19013G,TBD
0500000US36069,"Ontario County, New York",36724,B19013G,TBD
0500000US36081,"Queens County, New York",70921,B19013G,TBD
0500000US36101,"Steuben County, New York",45000,B19013G,TBD
0500000US36041,"Hamilton County, New York",-,B19013G,TBD
0500000US36115,"Washington County, New York",68044,B19013G,TBD
0500000US36013,"Chautauqua County, New York",32431,B19013G,TBD
0500000US36047,"Kings County, New York",60390,B19013G,TBD
0500000US36061,"New York County, New York",57767,B19013G,TBD
0500000US36107,"Tioga County, New York",51453,B19013G,TBD
0500000US36011,"Cayuga County, New York",56406,B19013G,TBD
0500000US36073,"Orleans County, New York",-,B19013G,TBD
0500000US36091,"Saratoga County, New York",87950,B19013G,TBD
0500000US36087,"Rockland County, New York",82668,B19013G,TBD
0500000US36021,"Columbia County, New York",48187,B19013G,TBD
0500000US36049,"Lewis County, New York",-,B19013G,TBD
0500000US36063,"Niagara County, New York",35527,B19013G,TBD
0500000US36119,"Westchester County, New York",87823,B19013G,TBD
0500000US36025,"Delaware County, New York",56875,B19013G,TBD
0500000US36031,"Essex County, New York",48750,B19013G,TBD
0500000US36057,"Montgomery County, New York",-,B19013G,TBD
0500000US36059,"Nassau County, New York",88963,B19013G,TBD
0500000US36085,"Richmond County, New York",68472,B19013G,TBD
0500000US36097,"Schuyler County, New York",53750,B19013G,TBD
0500000US36109,"Tompkins County, New York",40813,B19013G,TBD
0500000US36017,"Chenango County, New York",38000,B19013G,TBD
0500000US36023,"Cortland County, New York",46900,B19013G,TBD
0500000US36045,"Jefferson County, New York",41301,B19013G,TBD
0500000US36065,"Oneida County, New York",34828,B19013G,TBD
0500000US36103,"Suffolk County, New York",92237,B19013G,TBD
0500000US36121,"Wyoming County, New York",66518,B19013G,TBD
0500000US36015,"Chemung County, New York",37391,B19013G,TBD
0500000US36075,"Oswego County, New York",31484,B19013G,TBD
0500000US36077,"Otsego County, New York",51680,B19013G,TBD
0500000US36117,"Wayne County, New York",58047,B19013G,TBD
0500000US36001,"Albany County, New York",38833,B19013G,TBD
0500000US36007,"Broome County, New York",33388,B19013G,TBD
0500000US36029,"Erie County, New York",37561,B19013G,TBD
0500000US36053,"Madison County, New York",69844,B19013G,TBD
0500000US36105,"Sullivan County, New York",41200,B19013G,TBD
0500000US36037,"Genesee County, New York",31449,B19013G,TBD
0500000US36071,"Orange County, New York",66006,B19013G,TBD
0500000US36005,"Bronx County, New York",41255,B19013G,TBD
0500000US36035,"Fulton County, New York",-,B19013G,TBD
0500000US36083,"Rensselaer County, New York",44702,B19013G,TBD
0500000US36027,"Dutchess County, New York",51348,B19013G,TBD
0500000US36043,"Herkimer County, New York",32667,B19013G,TBD
0500000US36089,"St. Lawrence County, New York",35990,B19013G,TBD
0500000US36113,"Warren County, New York",35000,B19013G,TBD
0500000US36055,"Monroe County, New York",41198,B19013G,TBD
0500000US36111,"Ulster County, New York",52411,B19013G,TBD
0500000US36051,"Livingston County, New York",-,B19013G,TBD
0500000US36039,"Greene County, New York",-,B19013G,TBD
0500000US36003,"Allegany County, New York",35313,B19013G,TBD
0500000US36009,"Cattaraugus County, New York",32941,B19013G,TBD
0500000US36093,"Schenectady County, New York",34848,B19013G,TBD
0500000US36123,"Yates County, New York",44688,B19013G,TBD
