id,County,Median household income in the past 12 months (in 2018 inflation-adjusted dollars),TableReferenceId,CensusNotes 
0500000US36095,"Schoharie County, New York",-,B19013C,TBD
0500000US36067,"Onondaga County, New York",39747,B19013C,TBD
0500000US36019,"Clinton County, New York",-,B19013C,TBD
0500000US36099,"Seneca County, New York",-,B19013C,TBD
0500000US36079,"Putnam County, New York",55739,B19013C,TBD
0500000US36033,"Franklin County, New York",46747,B19013C,TBD
0500000US36069,"Ontario County, New York",75850,B19013C,TBD
0500000US36081,"Queens County, New York",52410,B19013C,TBD
0500000US36101,"Steuben County, New York",37813,B19013C,TBD
0500000US36041,"Hamilton County, New York",-,B19013C,TBD
0500000US36115,"Washington County, New York",-,B19013C,TBD
0500000US36013,"Chautauqua County, New York",-,B19013C,TBD
0500000US36047,"Kings County, New York",43401,B19013C,TBD
0500000US36061,"New York County, New York",41650,B19013C,TBD
0500000US36107,"Tioga County, New York",90265,B19013C,TBD
0500000US36011,"Cayuga County, New York",41875,B19013C,TBD
0500000US36073,"Orleans County, New York",-,B19013C,TBD
0500000US36091,"Saratoga County, New York",108125,B19013C,TBD
0500000US36087,"Rockland County, New York",150341,B19013C,TBD
0500000US36021,"Columbia County, New York",103750,B19013C,TBD
0500000US36049,"Lewis County, New York",73500,B19013C,TBD
0500000US36063,"Niagara County, New York",38456,B19013C,TBD
0500000US36119,"Westchester County, New York",56745,B19013C,TBD
0500000US36025,"Delaware County, New York",31375,B19013C,TBD
0500000US36031,"Essex County, New York",-,B19013C,TBD
0500000US36057,"Montgomery County, New York",-,B19013C,TBD
0500000US36059,"Nassau County, New York",64260,B19013C,TBD
0500000US36085,"Richmond County, New York",70294,B19013C,TBD
0500000US36097,"Schuyler County, New York",44643,B19013C,TBD
0500000US36109,"Tompkins County, New York",90313,B19013C,TBD
0500000US36017,"Chenango County, New York",86034,B19013C,TBD
0500000US36023,"Cortland County, New York",-,B19013C,TBD
0500000US36045,"Jefferson County, New York",43977,B19013C,TBD
0500000US36065,"Oneida County, New York",36576,B19013C,TBD
0500000US36103,"Suffolk County, New York",77232,B19013C,TBD
0500000US36121,"Wyoming County, New York",-,B19013C,TBD
0500000US36015,"Chemung County, New York",-,B19013C,TBD
0500000US36075,"Oswego County, New York",-,B19013C,TBD
0500000US36077,"Otsego County, New York",53125,B19013C,TBD
0500000US36117,"Wayne County, New York",52159,B19013C,TBD
0500000US36001,"Albany County, New York",46902,B19013C,TBD
0500000US36007,"Broome County, New York",18534,B19013C,TBD
0500000US36029,"Erie County, New York",24135,B19013C,TBD
0500000US36053,"Madison County, New York",48152,B19013C,TBD
0500000US36105,"Sullivan County, New York",63300,B19013C,TBD
0500000US36037,"Genesee County, New York",43971,B19013C,TBD
0500000US36071,"Orange County, New York",67917,B19013C,TBD
0500000US36005,"Bronx County, New York",30884,B19013C,TBD
0500000US36035,"Fulton County, New York",-,B19013C,TBD
0500000US36083,"Rensselaer County, New York",33450,B19013C,TBD
0500000US36027,"Dutchess County, New York",68977,B19013C,TBD
0500000US36043,"Herkimer County, New York",-,B19013C,TBD
0500000US36089,"St. Lawrence County, New York",-,B19013C,TBD
0500000US36113,"Warren County, New York",45476,B19013C,TBD
0500000US36055,"Monroe County, New York",26174,B19013C,TBD
0500000US36111,"Ulster County, New York",-,B19013C,TBD
0500000US36051,"Livingston County, New York",41471,B19013C,TBD
0500000US36039,"Greene County, New York",-,B19013C,TBD
0500000US36003,"Allegany County, New York",34239,B19013C,TBD
0500000US36009,"Cattaraugus County, New York",28625,B19013C,TBD
0500000US36093,"Schenectady County, New York",54135,B19013C,TBD
0500000US36123,"Yates County, New York",-,B19013C,TBD
