id,County,Median household income in the past 12 months (in 2018 inflation-adjusted dollars),TableReferenceId,CensusNotes 
0500000US36095,"Schoharie County, New York",53869,B19013A,TBD
0500000US36067,"Onondaga County, New York",64876,B19013A,TBD
0500000US36019,"Clinton County, New York",55641,B19013A,TBD
0500000US36099,"Seneca County, New York",55747,B19013A,TBD
0500000US36079,"Putnam County, New York",103885,B19013A,TBD
0500000US36033,"Franklin County, New York",52500,B19013A,TBD
0500000US36069,"Ontario County, New York",64845,B19013A,TBD
0500000US36081,"Queens County, New York",69790,B19013A,TBD
0500000US36101,"Steuben County, New York",51471,B19013A,TBD
0500000US36041,"Hamilton County, New York",57760,B19013A,TBD
0500000US36115,"Washington County, New York",54082,B19013A,TBD
0500000US36013,"Chautauqua County, New York",46340,B19013A,TBD
0500000US36047,"Kings County, New York",71188,B19013A,TBD
0500000US36061,"New York County, New York",110824,B19013A,TBD
0500000US36107,"Tioga County, New York",61171,B19013A,TBD
0500000US36011,"Cayuga County, New York",57340,B19013A,TBD
0500000US36073,"Orleans County, New York",52620,B19013A,TBD
0500000US36091,"Saratoga County, New York",80007,B19013A,TBD
0500000US36087,"Rockland County, New York",94524,B19013A,TBD
0500000US36021,"Columbia County, New York",64985,B19013A,TBD
0500000US36049,"Lewis County, New York",52827,B19013A,TBD
0500000US36063,"Niagara County, New York",57305,B19013A,TBD
0500000US36119,"Westchester County, New York",107588,B19013A,TBD
0500000US36025,"Delaware County, New York",49128,B19013A,TBD
0500000US36031,"Essex County, New York",56578,B19013A,TBD
0500000US36057,"Montgomery County, New York",48528,B19013A,TBD
0500000US36059,"Nassau County, New York",116227,B19013A,TBD
0500000US36085,"Richmond County, New York",85218,B19013A,TBD
0500000US36097,"Schuyler County, New York",51531,B19013A,TBD
0500000US36109,"Tompkins County, New York",64222,B19013A,TBD
0500000US36017,"Chenango County, New York",50413,B19013A,TBD
0500000US36023,"Cortland County, New York",54972,B19013A,TBD
0500000US36045,"Jefferson County, New York",53216,B19013A,TBD
0500000US36065,"Oneida County, New York",56357,B19013A,TBD
0500000US36103,"Suffolk County, New York",99171,B19013A,TBD
0500000US36121,"Wyoming County, New York",58065,B19013A,TBD
0500000US36015,"Chemung County, New York",54467,B19013A,TBD
0500000US36075,"Oswego County, New York",54034,B19013A,TBD
0500000US36077,"Otsego County, New York",53408,B19013A,TBD
0500000US36117,"Wayne County, New York",56192,B19013A,TBD
0500000US36001,"Albany County, New York",72096,B19013A,TBD
0500000US36007,"Broome County, New York",53327,B19013A,TBD
0500000US36029,"Erie County, New York",62893,B19013A,TBD
0500000US36053,"Madison County, New York",60023,B19013A,TBD
0500000US36105,"Sullivan County, New York",59001,B19013A,TBD
0500000US36037,"Genesee County, New York",62317,B19013A,TBD
0500000US36071,"Orange County, New York",82187,B19013A,TBD
0500000US36005,"Bronx County, New York",46452,B19013A,TBD
0500000US36035,"Fulton County, New York",50445,B19013A,TBD
0500000US36083,"Rensselaer County, New York",69097,B19013A,TBD
0500000US36027,"Dutchess County, New York",81130,B19013A,TBD
0500000US36043,"Herkimer County, New York",52377,B19013A,TBD
0500000US36089,"St. Lawrence County, New York",49367,B19013A,TBD
0500000US36113,"Warren County, New York",60240,B19013A,TBD
0500000US36055,"Monroe County, New York",64468,B19013A,TBD
0500000US36111,"Ulster County, New York",65549,B19013A,TBD
0500000US36051,"Livingston County, New York",56873,B19013A,TBD
0500000US36039,"Greene County, New York",52931,B19013A,TBD
0500000US36003,"Allegany County, New York",47220,B19013A,TBD
0500000US36009,"Cattaraugus County, New York",48147,B19013A,TBD
0500000US36093,"Schenectady County, New York",69074,B19013A,TBD
0500000US36123,"Yates County, New York",54747,B19013A,TBD
