id,County,Tot,TableReferenceId,CensusNotes 
0500000US36095,"Schoharie County, New York",31364,B01003,The following provides Demographic data for New York
0500000US36067,"Onondaga County, New York",464242,B01003,The following provides Demographic data for New York
0500000US36019,"Clinton County, New York",80794,B01003,The following provides Demographic data for New York
0500000US36099,"Seneca County, New York",34612,B01003,The following provides Demographic data for New York
0500000US36079,"Putnam County, New York",99070,B01003,The following provides Demographic data for New York
0500000US36033,"Franklin County, New York",50692,B01003,The following provides Demographic data for New York
0500000US36069,"Ontario County, New York",109472,B01003,The following provides Demographic data for New York
0500000US36081,"Queens County, New York",2298513,B01003,The following provides Demographic data for New York
0500000US36101,"Steuben County, New York",96927,B01003,The following provides Demographic data for New York
0500000US36041,"Hamilton County, New York",4575,B01003,The following provides Demographic data for New York
0500000US36115,"Washington County, New York",61828,B01003,The following provides Demographic data for New York
0500000US36013,"Chautauqua County, New York",129656,B01003,The following provides Demographic data for New York
0500000US36047,"Kings County, New York",2600747,B01003,The following provides Demographic data for New York
0500000US36061,"New York County, New York",1632480,B01003,The following provides Demographic data for New York
0500000US36107,"Tioga County, New York",49045,B01003,The following provides Demographic data for New York
0500000US36011,"Cayuga County, New York",77868,B01003,The following provides Demographic data for New York
0500000US36073,"Orleans County, New York",41175,B01003,The following provides Demographic data for New York
0500000US36091,"Saratoga County, New York",227377,B01003,The following provides Demographic data for New York
0500000US36087,"Rockland County, New York",323686,B01003,The following provides Demographic data for New York
0500000US36021,"Columbia County, New York",60919,B01003,The following provides Demographic data for New York
0500000US36049,"Lewis County, New York",26719,B01003,The following provides Demographic data for New York
0500000US36063,"Niagara County, New York",211704,B01003,The following provides Demographic data for New York
0500000US36119,"Westchester County, New York",968815,B01003,The following provides Demographic data for New York
0500000US36025,"Delaware County, New York",45502,B01003,The following provides Demographic data for New York
0500000US36031,"Essex County, New York",37751,B01003,The following provides Demographic data for New York
0500000US36057,"Montgomery County, New York",49426,B01003,The following provides Demographic data for New York
0500000US36059,"Nassau County, New York",1356564,B01003,The following provides Demographic data for New York
0500000US36085,"Richmond County, New York",474101,B01003,The following provides Demographic data for New York
0500000US36097,"Schuyler County, New York",17992,B01003,The following provides Demographic data for New York
0500000US36109,"Tompkins County, New York",102962,B01003,The following provides Demographic data for New York
0500000US36017,"Chenango County, New York",48348,B01003,The following provides Demographic data for New York
0500000US36023,"Cortland County, New York",48123,B01003,The following provides Demographic data for New York
0500000US36045,"Jefferson County, New York",114448,B01003,The following provides Demographic data for New York
0500000US36065,"Oneida County, New York",230782,B01003,The following provides Demographic data for New York
0500000US36103,"Suffolk County, New York",1487901,B01003,The following provides Demographic data for New York
0500000US36121,"Wyoming County, New York",40565,B01003,The following provides Demographic data for New York
0500000US36015,"Chemung County, New York",85740,B01003,The following provides Demographic data for New York
0500000US36075,"Oswego County, New York",119104,B01003,The following provides Demographic data for New York
0500000US36077,"Otsego County, New York",60244,B01003,The following provides Demographic data for New York
0500000US36117,"Wayne County, New York",90856,B01003,The following provides Demographic data for New York
0500000US36001,"Albany County, New York",307426,B01003,The following provides Demographic data for New York
0500000US36007,"Broome County, New York",194402,B01003,The following provides Demographic data for New York
0500000US36029,"Erie County, New York",919866,B01003,The following provides Demographic data for New York
0500000US36053,"Madison County, New York",71359,B01003,The following provides Demographic data for New York
0500000US36105,"Sullivan County, New York",75211,B01003,The following provides Demographic data for New York
0500000US36037,"Genesee County, New York",58112,B01003,The following provides Demographic data for New York
0500000US36071,"Orange County, New York",378227,B01003,The following provides Demographic data for New York
0500000US36005,"Bronx County, New York",1437872,B01003,The following provides Demographic data for New York
0500000US36035,"Fulton County, New York",53743,B01003,The following provides Demographic data for New York
0500000US36083,"Rensselaer County, New York",159431,B01003,The following provides Demographic data for New York
0500000US36027,"Dutchess County, New York",293894,B01003,The following provides Demographic data for New York
0500000US36043,"Herkimer County, New York",62505,B01003,The following provides Demographic data for New York
0500000US36089,"St. Lawrence County, New York",109558,B01003,The following provides Demographic data for New York
0500000US36113,"Warren County, New York",64480,B01003,The following provides Demographic data for New York
0500000US36055,"Monroe County, New York",744248,B01003,The following provides Demographic data for New York
0500000US36111,"Ulster County, New York",179303,B01003,The following provides Demographic data for New York
0500000US36051,"Livingston County, New York",63907,B01003,The following provides Demographic data for New York
0500000US36039,"Greene County, New York",47617,B01003,The following provides Demographic data for New York
0500000US36003,"Allegany County, New York",47025,B01003,The following provides Demographic data for New York
0500000US36009,"Cattaraugus County, New York",77686,B01003,The following provides Demographic data for New York
0500000US36093,"Schenectady County, New York",154883,B01003,The following provides Demographic data for New York
0500000US36123,"Yates County, New York",25009,B01003,The following provides Demographic data for New York
