id,County,overall,white,black,native_american,asian,pacific_islander,other,hispanic_latino,TableReferenceId,CensusNotes 
0500000US36001,"Albany",307426,232402,38407,516,19928,133,16040,307426,DP05,demographic data for New York: 
0500000US36003,"Allegany",47025,44860,652,133,525,12,843,47025,DP05,demographic data for New York: 
0500000US36005,"Bronx",1437872,306423,490823,9596,52388,1128,577514,1437872,DP05,demographic data for New York: 
0500000US36007,"Broome",194402,167041,11177,392,8238,89,7465,194402,DP05,demographic data for New York: 
0500000US36009,"Cattaraugus",77686,71439,1247,2380,648,0,1972,77686,DP05,demographic data for New York: 
0500000US36011,"Cayuga",77868,71522,3361,235,399,0,2351,77868,DP05,demographic data for New York: 
0500000US36013,"Chautauqua",129656,119857,3326,425,694,68,5286,129656,DP05,demographic data for New York: 
0500000US36015,"Chemung",85740,75443,5262,294,1333,10,3398,85740,DP05,demographic data for New York: 
0500000US36017,"Chenango",48348,46395,472,166,206,10,1099,48348,DP05,demographic data for New York: 
0500000US36019,"Clinton",80794,73391,3475,208,1183,26,2511,80794,DP05,demographic data for New York: 
0500000US36021,"Columbia",60919,54318,2688,33,1127,0,2753,60919,DP05,demographic data for New York: 
0500000US36023,"Cortland",48123,45625,712,111,387,9,1279,48123,DP05,demographic data for New York: 
0500000US36025,"Delaware",45502,43108,839,70,363,8,1114,45502,DP05,demographic data for New York: 
0500000US36027,"Dutchess",293894,230158,30830,1061,10664,117,21064,293894,DP05,demographic data for New York: 
0500000US36029,"Erie",919866,716987,123475,4558,31800,309,42737,919866,DP05,demographic data for New York: 
0500000US36031,"Essex",37751,35186,1185,78,134,8,1160,37751,DP05,demographic data for New York: 
0500000US36033,"Franklin",50692,41778,2965,3618,255,94,1982,50692,DP05,demographic data for New York: 
0500000US36035,"Fulton",53743,50849,1085,192,382,15,1220,53743,DP05,demographic data for New York: 
0500000US36037,"Genesee",58112,53404,1304,510,477,0,2417,58112,DP05,demographic data for New York: 
0500000US36039,"Greene",47617,42731,2936,281,516,5,1148,47617,DP05,demographic data for New York: 
0500000US36041,"Hamilton",4575,4420,37,16,1,1,100,4575,DP05,demographic data for New York: 
