"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"0500000US36095","Schoharie County, New York","31364","*****"
"0500000US36067","Onondaga County, New York","464242","*****"
"0500000US36019","Clinton County, New York","80794","*****"
"0500000US36099","Seneca County, New York","34612","*****"
"0500000US36079","Putnam County, New York","99070","*****"
"0500000US36033","Franklin County, New York","50692","*****"
"0500000US36069","Ontario County, New York","109472","*****"
"0500000US36081","Queens County, New York","2298513","*****"
"0500000US36101","Steuben County, New York","96927","*****"
"0500000US36041","Hamilton County, New York","4575","*****"
"0500000US36115","Washington County, New York","61828","*****"
"0500000US36013","Chautauqua County, New York","129656","*****"
"0500000US36047","Kings County, New York","2600747","*****"
"0500000US36061","New York County, New York","1632480","*****"
"0500000US36107","Tioga County, New York","49045","*****"
"0500000US36011","Cayuga County, New York","77868","*****"
"0500000US36073","Orleans County, New York","41175","*****"
"0500000US36091","Saratoga County, New York","227377","*****"
"0500000US36087","Rockland County, New York","323686","*****"
"0500000US36021","Columbia County, New York","60919","*****"
"0500000US36049","Lewis County, New York","26719","*****"
"0500000US36063","Niagara County, New York","211704","*****"
"0500000US36119","Westchester County, New York","968815","*****"
"0500000US36025","Delaware County, New York","45502","*****"
"0500000US36031","Essex County, New York","37751","*****"
"0500000US36057","Montgomery County, New York","49426","*****"
"0500000US36059","Nassau County, New York","1356564","*****"
"0500000US36085","Richmond County, New York","474101","*****"
"0500000US36097","Schuyler County, New York","17992","*****"
"0500000US36109","Tompkins County, New York","102962","*****"
"0500000US36017","Chenango County, New York","48348","*****"
"0500000US36023","Cortland County, New York","48123","*****"
"0500000US36045","Jefferson County, New York","114448","*****"
"0500000US36065","Oneida County, New York","230782","*****"
"0500000US36103","Suffolk County, New York","1487901","*****"
"0500000US36121","Wyoming County, New York","40565","*****"
"0500000US36015","Chemung County, New York","85740","*****"
"0500000US36075","Oswego County, New York","119104","*****"
"0500000US36077","Otsego County, New York","60244","*****"
"0500000US36117","Wayne County, New York","90856","*****"
"0500000US36001","Albany County, New York","307426","*****"
"0500000US36007","Broome County, New York","194402","*****"
"0500000US36029","Erie County, New York","919866","*****"
"0500000US36053","Madison County, New York","71359","*****"
"0500000US36105","Sullivan County, New York","75211","*****"
"0500000US36037","Genesee County, New York","58112","*****"
"0500000US36071","Orange County, New York","378227","*****"
"0500000US36005","Bronx County, New York","1437872","*****"
"0500000US36035","Fulton County, New York","53743","*****"
"0500000US36083","Rensselaer County, New York","159431","*****"
"0500000US36027","Dutchess County, New York","293894","*****"
"0500000US36043","Herkimer County, New York","62505","*****"
"0500000US36089","St. Lawrence County, New York","109558","*****"
"0500000US36113","Warren County, New York","64480","*****"
"0500000US36055","Monroe County, New York","744248","*****"
"0500000US36111","Ulster County, New York","179303","*****"
"0500000US36051","Livingston County, New York","63907","*****"
"0500000US36039","Greene County, New York","47617","*****"
"0500000US36003","Allegany County, New York","47025","*****"
"0500000US36009","Cattaraugus County, New York","77686","*****"
"0500000US36093","Schenectady County, New York","154883","*****"
"0500000US36123","Yates County, New York","25009","*****"
