"GEO_ID","NAME","B08522_001E","B08522_001M","B08522_002E","B08522_002M","B08522_003E","B08522_003M","B08522_004E","B08522_004M","B08522_005E","B08522_005M","B08522_006E","B08522_006M","B08522_007E","B08522_007M","B08522_008E","B08522_008M","B08522_009E","B08522_009M","B08522_010E","B08522_010M","B08522_011E","B08522_011M","B08522_012E","B08522_012M","B08522_013E","B08522_013M","B08522_014E","B08522_014M","B08522_015E","B08522_015M","B08522_016E","B08522_016M","B08522_017E","B08522_017M","B08522_018E","B08522_018M","B08522_019E","B08522_019M","B08522_020E","B08522_020M","B08522_021E","B08522_021M","B08522_022E","B08522_022M","B08522_023E","B08522_023M","B08522_024E","B08522_024M","B08522_025E","B08522_025M","B08522_026E","B08522_026M","B08522_027E","B08522_027M","B08522_028E","B08522_028M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Below 100 percent of the poverty level","Margin of Error!!Total!!Below 100 percent of the poverty level","Estimate!!Total!!100 to 149 percent of the poverty level","Margin of Error!!Total!!100 to 149 percent of the poverty level","Estimate!!Total!!At or above 150 percent of the poverty level","Margin of Error!!Total!!At or above 150 percent of the poverty level","Estimate!!Total!!Car, truck, or van - drove alone","Margin of Error!!Total!!Car, truck, or van - drove alone","Estimate!!Total!!Car, truck, or van - drove alone!!Below 100 percent of the poverty level","Margin of Error!!Total!!Car, truck, or van - drove alone!!Below 100 percent of the poverty level","Estimate!!Total!!Car, truck, or van - drove alone!!100 to 149 percent of the poverty level","Margin of Error!!Total!!Car, truck, or van - drove alone!!100 to 149 percent of the poverty level","Estimate!!Total!!Car, truck, or van - drove alone!!At or above 150 percent of the poverty level","Margin of Error!!Total!!Car, truck, or van - drove alone!!At or above 150 percent of the poverty level","Estimate!!Total!!Car, truck, or van - carpooled","Margin of Error!!Total!!Car, truck, or van - carpooled","Estimate!!Total!!Car, truck, or van - carpooled!!Below 100 percent of the poverty level","Margin of Error!!Total!!Car, truck, or van - carpooled!!Below 100 percent of the poverty level","Estimate!!Total!!Car, truck, or van - carpooled!!100 to 149 percent of the poverty level","Margin of Error!!Total!!Car, truck, or van - carpooled!!100 to 149 percent of the poverty level","Estimate!!Total!!Car, truck, or van - carpooled!!At or above 150 percent of the poverty level","Margin of Error!!Total!!Car, truck, or van - carpooled!!At or above 150 percent of the poverty level","Estimate!!Total!!Public transportation (excluding taxicab)","Margin of Error!!Total!!Public transportation (excluding taxicab)","Estimate!!Total!!Public transportation (excluding taxicab)!!Below 100 percent of the poverty level","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Below 100 percent of the poverty level","Estimate!!Total!!Public transportation (excluding taxicab)!!100 to 149 percent of the poverty level","Margin of Error!!Total!!Public transportation (excluding taxicab)!!100 to 149 percent of the poverty level","Estimate!!Total!!Public transportation (excluding taxicab)!!At or above 150 percent of the poverty level","Margin of Error!!Total!!Public transportation (excluding taxicab)!!At or above 150 percent of the poverty level","Estimate!!Total!!Walked","Margin of Error!!Total!!Walked","Estimate!!Total!!Walked!!Below 100 percent of the poverty level","Margin of Error!!Total!!Walked!!Below 100 percent of the poverty level","Estimate!!Total!!Walked!!100 to 149 percent of the poverty level","Margin of Error!!Total!!Walked!!100 to 149 percent of the poverty level","Estimate!!Total!!Walked!!At or above 150 percent of the poverty level","Margin of Error!!Total!!Walked!!At or above 150 percent of the poverty level","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means","Margin of Error!!Total!!Taxicab, motorcycle, bicycle, or other means","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means!!Below 100 percent of the poverty level","Margin of Error!!Total!!Taxicab, motorcycle, bicycle, or other means!!Below 100 percent of the poverty level","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means!!100 to 149 percent of the poverty level","Margin of Error!!Total!!Taxicab, motorcycle, bicycle, or other means!!100 to 149 percent of the poverty level","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means!!At or above 150 percent of the poverty level","Margin of Error!!Total!!Taxicab, motorcycle, bicycle, or other means!!At or above 150 percent of the poverty level","Estimate!!Total!!Worked at home","Margin of Error!!Total!!Worked at home","Estimate!!Total!!Worked at home!!Below 100 percent of the poverty level","Margin of Error!!Total!!Worked at home!!Below 100 percent of the poverty level","Estimate!!Total!!Worked at home!!100 to 149 percent of the poverty level","Margin of Error!!Total!!Worked at home!!100 to 149 percent of the poverty level","Estimate!!Total!!Worked at home!!At or above 150 percent of the poverty level","Margin of Error!!Total!!Worked at home!!At or above 150 percent of the poverty level"
"0500000US36095","Schoharie County, New York","10581","497","851","169","642","129","9088","494","8218","476","477","109","478","124","7263","476","932","175","129","92","69","35","734","156","37","18","3","4","1","2","33","20","659","165","139","63","44","32","476","145","103","55","27","40","8","8","68","40","632","147","76","49","42","30","514","125"
"0500000US36067","Onondaga County, New York","243744","2131","13578","684","11483","652","218683","2258","199870","2273","8304","654","7971","535","183595","2291","19373","1033","1473","219","1409","299","16491","952","6412","529","1379","253","888","180","4145","454","6903","595","1392","249","614","135","4897","478","2474","341","469","179","350","122","1655","271","8712","570","561","154","251","87","7900","537"
"0500000US36019","Clinton County, New York","34461","929","2803","389","1670","316","29988","981","28035","936","1628","306","1255","272","25152","963","3175","472","358","138","168","82","2649","419","243","142","32","48","4","8","207","138","1078","281","379","202","152","99","547","170","1012","267","278","166","82","52","652","185","918","186","128","63","9","14","781","180"
"0500000US36099","Seneca County, New York","14187","658","978","161","768","186","12441","650","11382","592","571","125","522","150","10289","576","1123","176","156","70","77","46","890","167","66","35","36","28","9","11","21","18","533","120","98","68","31","26","404","100","439","149","76","62","46","38","317","151","644","108","41","25","83","40","520","100"
"0500000US36079","Putnam County, New York","28137","1156","1042","226","1349","336","25746","1104","21741","910","609","143","1147","322","19985","836","2549","391","121","71","61","50","2367","390","522","188","107","77","39","32","376","172","450","163","56","78","27","32","367","140","316","129","9","11","8","13","299","126","2559","411","140","102","67","60","2352","403"
"0500000US36033","Franklin County, New York","19454","782","1248","201","1132","178","17074","746","15217","689","855","168","851","158","13511","653","2188","391","188","80","169","82","1831","377","64","51","0","27","10","15","54","46","733","154","95","73","33","28","605","146","222","132","33","28","25","21","164","130","1030","192","77","33","44","28","909","185"
"0500000US36069","Ontario County, New York","52595","1182","2365","355","2879","396","47351","1156","43681","1065","1557","253","2095","333","40029","1062","4376","480","456","182","426","159","3494","365","366","107","65","47","33","42","268","84","1320","251","215","108","207","144","898","177","399","118","22","27","23","27","354","116","2453","325","50","31","95","54","2308","327"
"0500000US36081","Queens County, New York","732091","5492","44348","1696","51889","1635","635854","5479","325759","3709","11051","759","14327","819","300381","3544","53819","1927","2883","395","3761","449","47175","1861","249736","3895","20178","1167","23392","1118","206166","3565","59113","1810","6731","698","6980","690","45402","1545","15558","904","1299","257","1372","248","12887","829","28106","1332","2206","313","2057","311","23843","1225"
"0500000US36101","Steuben County, New York","41400","873","2726","311","2962","311","35712","730","33636","879","1680","233","1933","236","30023","802","3856","345","389","97","449","123","3018","303","160","68","12","9","55","50","93","51","1625","243","275","98","267","89","1083","187","656","156","184","79","125","57","347","107","1467","243","186","95","133","57","1148","199"
