"GEO_ID","NAME","B19001F_001E","B19001F_001M","B19001F_002E","B19001F_002M","B19001F_003E","B19001F_003M","B19001F_004E","B19001F_004M","B19001F_005E","B19001F_005M","B19001F_006E","B19001F_006M","B19001F_007E","B19001F_007M","B19001F_008E","B19001F_008M","B19001F_009E","B19001F_009M","B19001F_010E","B19001F_010M","B19001F_011E","B19001F_011M","B19001F_012E","B19001F_012M","B19001F_013E","B19001F_013M","B19001F_014E","B19001F_014M","B19001F_015E","B19001F_015M","B19001F_016E","B19001F_016M","B19001F_017E","B19001F_017M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $44,999","Margin of Error!!Total!!$40,000 to $44,999","Estimate!!Total!!$45,000 to $49,999","Margin of Error!!Total!!$45,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $74,999","Margin of Error!!Total!!$60,000 to $74,999","Estimate!!Total!!$75,000 to $99,999","Margin of Error!!Total!!$75,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $199,999","Margin of Error!!Total!!$150,000 to $199,999","Estimate!!Total!!$200,000 or more","Margin of Error!!Total!!$200,000 or more"
"0500000US36095","Schoharie County, New York","19","13","0","25","0","25","0","25","3","5","0","25","0","25","0","25","0","25","0","25","5","8","8","7","0","25","0","25","3","5","0","25","0","25"
"0500000US36067","Onondaga County, New York","1528","220","398","115","149","68","118","59","93","56","52","45","55","46","47","44","13","19","93","57","118","62","141","80","131","78","43","29","41","35","36","27","0","28"
"0500000US36019","Clinton County, New York","150","72","43","45","0","28","9","13","9","16","2","3","0","28","0","28","36","34","10","17","0","28","4","7","27","35","0","28","1","3","9","16","0","28"
"0500000US36099","Seneca County, New York","68","53","0","25","25","34","0","25","0","25","0","25","0","25","30","39","0","25","3","4","0","25","0","25","9","15","1","2","0","25","0","25","0","25"
"0500000US36079","Putnam County, New York","1282","212","46","48","28","30","70","70","113","106","40","51","12","14","89","74","29","35","19","23","160","88","52","44","174","96","158","103","109","76","116","69","67","40"
"0500000US36033","Franklin County, New York","55","36","0","28","0","28","0","28","0","28","0","28","11","18","0","28","0","28","0","28","33","35","0","28","5","11","3","4","1","3","2","3","0","28"
"0500000US36069","Ontario County, New York","494","131","39","43","50","31","3","6","70","64","69","59","20","24","19","22","25","30","29","25","39","35","33","34","67","51","31","30","0","28","0","28","0","28"
"0500000US36081","Queens County, New York","86963","2175","4796","542","3851","448","4497","480","4476","500","4669","489","4514","561","5221","558","4291","442","3831","512","8100","791","9107","683","10806","786","7490","649","4279","475","4529","552","2506","338"
"0500000US36101","Steuben County, New York","65","36","6","6","10","13","0","28","0","28","9","15","10","17","0","28","4","8","0","28","10","15","0","28","5","5","3","6","4","5","4","7","0","28"
