"GEO_ID","NAME","B19001G_001E","B19001G_001M","B19001G_002E","B19001G_002M","B19001G_003E","B19001G_003M","B19001G_004E","B19001G_004M","B19001G_005E","B19001G_005M","B19001G_006E","B19001G_006M","B19001G_007E","B19001G_007M","B19001G_008E","B19001G_008M","B19001G_009E","B19001G_009M","B19001G_010E","B19001G_010M","B19001G_011E","B19001G_011M","B19001G_012E","B19001G_012M","B19001G_013E","B19001G_013M","B19001G_014E","B19001G_014M","B19001G_015E","B19001G_015M","B19001G_016E","B19001G_016M","B19001G_017E","B19001G_017M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $44,999","Margin of Error!!Total!!$40,000 to $44,999","Estimate!!Total!!$45,000 to $49,999","Margin of Error!!Total!!$45,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $74,999","Margin of Error!!Total!!$60,000 to $74,999","Estimate!!Total!!$75,000 to $99,999","Margin of Error!!Total!!$75,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $199,999","Margin of Error!!Total!!$150,000 to $199,999","Estimate!!Total!!$200,000 or more","Margin of Error!!Total!!$200,000 or more"
"0500000US36095","Schoharie County, New York","59","20","0","25","0","25","22","14","4","6","0","25","12","15","0","25","5","9","4","6","0","25","0","25","5","8","7","9","0","25","0","25","0","25"
"0500000US36067","Onondaga County, New York","3075","301","328","99","206","89","144","67","206","81","169","93","174","78","107","66","108","81","106","65","280","98","289","104","254","97","230","78","188","96","103","54","183","73"
"0500000US36019","Clinton County, New York","253","93","32","28","20","21","14","22","2","4","0","28","5","9","40","50","0","28","19","37","17","28","49","51","24","27","10","17","7","10","2","4","12","20"
"0500000US36099","Seneca County, New York","199","75","73","65","0","25","16","18","11","16","19","16","30","39","6","10","0","25","0","25","19","19","17","17","8","8","0","25","0","25","0","25","0","25"
"0500000US36079","Putnam County, New York","430","134","6","11","0","28","9","13","13","22","8","14","54","54","0","28","22","29","0","28","6","9","44","42","60","38","46","41","72","64","46","38","44","42"
"0500000US36033","Franklin County, New York","153","68","33","45","11","17","19","20","2","3","2","3","2","3","15","21","3","5","9","11","11","16","20","24","5","6","20","24","0","28","1","2","0","28"
"0500000US36069","Ontario County, New York","332","111","52","54","18","17","15","16","3","6","42","36","16","17","39","49","15","19","9","11","0","28","22","25","29","37","31","29","21","26","4","7","16","28"
"0500000US36081","Queens County, New York","21338","921","1397","288","750","190","905","170","904","234","888","206","706","190","545","150","1039","224","661","157","1538","264","1793","271","2789","329","2151","287","1768","290","1776","369","1728","271"
"0500000US36101","Steuben County, New York","318","82","44","28","27","29","14","14","1","2","9","14","29","27","27","20","8","10","20","22","43","44","21","18","29","28","7","7","22","19","17","20","0","28"
"0500000US36041","Hamilton County, New York","4","6","2","3","0","12","0","12","0","12","0","12","2","4","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"0500000US36115","Washington County, New York","207","80","18","20","7","9","13","13","24","35","15","17","0","28","5","8","0","28","0","28","6","9","69","65","13","21","18","24","14","20","5","6","0","28"
"0500000US36013","Chautauqua County, New York","382","108","57","42","18","24","22","25","54","35","5","8","58","49","13","18","18","17","0","28","40","35","69","50","0","28","14","15","8","12","6","11","0","28"
"0500000US36047","Kings County, New York","22692","1036","2275","320","1225","235","1115","247","1082","212","924","179","770","189","920","233","987","211","537","132","1449","243","1834","304","2273","327","1994","302","1240","220","1650","244","2417","314"
"0500000US36061","New York County, New York","26374","1267","2689","448","1878","399","1223","332","1239","351","987","259","1067","253","1070","331","973","269","620","223","1767","330","2016","403","2601","536","2305","371","1744","421","1432","309","2763","383"
"0500000US36107","Tioga County, New York","241","133","6","10","0","25","19","26","0","25","0","25","13","19","0","25","11","16","0","25","134","112","37","35","0","25","16","24","0","25","0","25","5","8"
"0500000US36011","Cayuga County, New York","215","77","3","5","2","3","13","21","3","5","10","11","47","52","20","27","4","5","0","28","14","16","51","39","25","23","23","23","0","28","0","28","0","28"
"0500000US36073","Orleans County, New York","118","53","23","35","15","18","0","25","12","18","0","25","7","11","0","25","0","25","0","25","23","28","15","19","13","18","6","9","4","7","0","25","0","25"
"0500000US36091","Saratoga County, New York","979","174","86","68","24","24","7","13","67","67","17","21","33","37","0","28","14","21","72","70","63","61","37","34","141","85","76","78","54","48","160","87","128","78"
"0500000US36087","Rockland County, New York","1941","330","77","54","33","30","80","69","53","44","74","70","38","40","70","54","38","45","213","181","66","52","115","59","306","116","205","115","104","65","226","92","243","93"
"0500000US36021","Columbia County, New York","453","137","41","26","10","13","45","31","16","27","40","55","55","65","0","28","0","28","71","76","24","24","15","16","58","52","62","51","9","14","7","7","0","28"
"0500000US36049","Lewis County, New York","68","29","8","13","33","22","5","7","0","22","0","22","1","3","0","22","0","22","3","4","0","22","11","11","2","5","5","8","0","22","0","22","0","22"
"0500000US36063","Niagara County, New York","985","172","184","115","15","15","52","45","105","61","68","48","55","43","83","50","31","31","26","24","81","53","36","36","126","63","95","48","28","26","0","28","0","28"
"0500000US36119","Westchester County, New York","5976","616","381","153","202","100","236","113","247","100","157","90","71","61","317","155","178","119","119","100","309","143","490","141","531","197","581","147","434","142","751","190","972","213"
"0500000US36025","Delaware County, New York","181","64","11","13","13","15","16","11","19","17","0","25","19","18","0","25","0","25","0","25","13","13","14","13","42","40","7","8","19","28","8","12","0","25"
"0500000US36031","Essex County, New York","161","70","18","19","14","11","4","5","18","26","10","11","11","11","0","25","2","3","5","6","41","35","27","23","2","4","4","5","1","2","3","5","1","2"
"0500000US36057","Montgomery County, New York","291","107","62","56","63","56","11","17","0","25","19","20","0","25","7","10","28","39","0","25","4","6","16","19","56","41","6","9","0","25","19","25","0","25"
"0500000US36059","Nassau County, New York","8808","685","343","132","214","115","173","119","334","123","281","143","236","108","313","128","423","159","207","100","561","147","757","207","982","224","1053","231","927","233","1169","235","835","154"
"0500000US36085","Richmond County, New York","2306","343","338","213","28","26","159","71","104","61","119","82","102","73","28","43","51","35","109","67","45","31","148","77","299","113","185","98","250","98","215","85","126","75"
"0500000US36097","Schuyler County, New York","34","23","2","4","0","19","0","19","6","8","0","19","2","3","0","19","3","6","0","19","9","9","0","19","0","19","4","7","0","19","0","19","8","16"
"0500000US36109","Tompkins County, New York","859","165","201","95","10","15","52","47","46","43","27","29","51","52","36","31","26","35","94","74","65","62","77","46","99","71","49","61","10","15","0","28","16","26"
"0500000US36017","Chenango County, New York","268","63","17","19","5","7","60","44","8","9","19","20","23","19","10","10","7","8","4","6","18","17","46","32","10","12","19","21","0","25","12","18","10","11"
"0500000US36023","Cortland County, New York","256","85","12","13","61","58","17","18","0","25","0","25","0","25","0","25","0","25","60","59","5","7","29","20","14","20","37","55","0","25","21","17","0","25"
"0500000US36045","Jefferson County, New York","999","181","109","64","97","66","46","34","16","27","120","80","1","2","59","42","125","104","30","31","52","39","96","60","137","84","30","28","34","41","24","25","23","24"
"0500000US36065","Oneida County, New York","1042","228","187","101","144","110","76","52","60","76","11","14","45","29","24","19","32","24","17","21","89","66","69","49","98","70","129","115","21","33","22","21","18","21"
