"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_002E","B19001_002M","B19001_003E","B19001_003M","B19001_004E","B19001_004M","B19001_005E","B19001_005M","B19001_006E","B19001_006M","B19001_007E","B19001_007M","B19001_008E","B19001_008M","B19001_009E","B19001_009M","B19001_010E","B19001_010M","B19001_011E","B19001_011M","B19001_012E","B19001_012M","B19001_013E","B19001_013M","B19001_014E","B19001_014M","B19001_015E","B19001_015M","B19001_016E","B19001_016M","B19001_017E","B19001_017M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $44,999","Margin of Error!!Total!!$40,000 to $44,999","Estimate!!Total!!$45,000 to $49,999","Margin of Error!!Total!!$45,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $74,999","Margin of Error!!Total!!$60,000 to $74,999","Estimate!!Total!!$75,000 to $99,999","Margin of Error!!Total!!$75,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $199,999","Margin of Error!!Total!!$150,000 to $199,999","Estimate!!Total!!$200,000 or more","Margin of Error!!Total!!$200,000 or more"
"0500000US36095","Schoharie County, New York","12559","308","619","125","768","137","575","93","690","155","565","120","739","136","702","127","682","163","467","79","1014","132","1326","149","1722","185","1143","160","610","134","565","95","372","93"
"0500000US36067","Onondaga County, New York","185624","979","12558","565","9080","601","8940","550","8207","556","8731","490","8231","565","8054","493","7438","493","7754","503","14893","687","18152","703","23948","907","16886","628","11980","569","11293","590","9479","509"
"0500000US36019","Clinton County, New York","31395","530","2100","302","1576","278","1503","262","1566","207","1624","319","1511","228","1465","253","1473","278","1277","188","2633","325","3673","389","4239","386","2976","355","1419","246","1603","266","757","172"
"0500000US36099","Seneca County, New York","13522","345","688","148","622","141","770","154","759","153","690","122","835","172","555","127","557","128","674","125","1189","175","1631","211","1961","222","1133","146","593","130","484","100","381","87"
"0500000US36079","Putnam County, New York","34847","481","654","169","741","190","917","237","927","217","893","203","942","168","1072","230","685","167","830","206","1860","296","3056","344","4412","404","4102","444","3513","365","4529","409","5714","403"
"0500000US36033","Franklin County, New York","19088","393","1478","250","1505","275","987","183","956","174","962","151","784","159","832","150","985","207","840","158","1602","220","2081","260","2581","239","1481","178","806","119","711","167","497","109"
"0500000US36069","Ontario County, New York","44286","555","1802","227","1633","254","1904","240","2126","320","1983","273","2068","279","2067","269","2236","298","1874","291","3344","383","4568","363","6321","467","4315","412","3154","448","2354","277","2537","291"
"0500000US36081","Queens County, New York","779234","1993","45630","1708","33236","1154","33213","1322","34493","1269","33502","1360","33572","1157","31367","1091","32065","1132","27211","1081","56827","1805","77265","1817","101438","1850","74312","1574","52971","1403","61120","1594","51012","1300"
"0500000US36101","Steuben County, New York","40183","452","2398","281","2366","246","2147","222","2260","263","2206","229","2357","232","1880","200","2033","211","1867","192","3600","268","4285","287","5076","313","3182","245","1886","224","1471","170","1169","160"
