"GEO_ID","NAME","B19013A_001E","B19013A_001M"
"id","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)"
"0500000US36095","Schoharie County, New York","53869","2319"
"0500000US36067","Onondaga County, New York","64876","912"
"0500000US36019","Clinton County, New York","55641","2581"
"0500000US36099","Seneca County, New York","55747","1838"
"0500000US36079","Putnam County, New York","103885","3008"
"0500000US36033","Franklin County, New York","52500","1951"
"0500000US36069","Ontario County, New York","64845","1733"
"0500000US36081","Queens County, New York","69790","927"
"0500000US36101","Steuben County, New York","51471","1393"
"0500000US36041","Hamilton County, New York","57760","2646"
"0500000US36115","Washington County, New York","54082","2500"
"0500000US36013","Chautauqua County, New York","46340","1220"
"0500000US36047","Kings County, New York","71188","894"
"0500000US36061","New York County, New York","110824","1921"
"0500000US36107","Tioga County, New York","61171","1647"
"0500000US36011","Cayuga County, New York","57340","1785"
"0500000US36073","Orleans County, New York","52620","2063"
"0500000US36091","Saratoga County, New York","80007","1812"
"0500000US36087","Rockland County, New York","94524","2387"
"0500000US36021","Columbia County, New York","64985","2612"
"0500000US36049","Lewis County, New York","52827","1861"
"0500000US36063","Niagara County, New York","57305","1321"
"0500000US36119","Westchester County, New York","107588","1714"
"0500000US36025","Delaware County, New York","49128","1789"
"0500000US36031","Essex County, New York","56578","2136"
"0500000US36057","Montgomery County, New York","48528","2232"
"0500000US36059","Nassau County, New York","116227","1226"
"0500000US36085","Richmond County, New York","85218","1833"
"0500000US36097","Schuyler County, New York","51531","3175"
"0500000US36109","Tompkins County, New York","64222","2279"
"0500000US36017","Chenango County, New York","50413","1412"
"0500000US36023","Cortland County, New York","54972","2115"
"0500000US36045","Jefferson County, New York","53216","1783"
"0500000US36065","Oneida County, New York","56357","1104"
"0500000US36103","Suffolk County, New York","99171","1025"
"0500000US36121","Wyoming County, New York","58065","1834"
"0500000US36015","Chemung County, New York","54467","1375"
"0500000US36075","Oswego County, New York","54034","1396"
"0500000US36077","Otsego County, New York","53408","1272"
"0500000US36117","Wayne County, New York","56192","1650"
"0500000US36001","Albany County, New York","72096","1283"
"0500000US36007","Broome County, New York","53327","1178"
"0500000US36029","Erie County, New York","62893","680"
"0500000US36053","Madison County, New York","60023","1684"
"0500000US36105","Sullivan County, New York","59001","2582"
"0500000US36037","Genesee County, New York","62317","2931"
"0500000US36071","Orange County, New York","82187","1874"
"0500000US36005","Bronx County, New York","46452","1518"
"0500000US36035","Fulton County, New York","50445","1545"
"0500000US36083","Rensselaer County, New York","69097","1276"
"0500000US36027","Dutchess County, New York","81130","1602"
"0500000US36043","Herkimer County, New York","52377","1914"
"0500000US36089","St. Lawrence County, New York","49367","1585"
"0500000US36113","Warren County, New York","60240","2117"
"0500000US36055","Monroe County, New York","64468","743"
"0500000US36111","Ulster County, New York","65549","1602"
"0500000US36051","Livingston County, New York","56873","1875"
"0500000US36039","Greene County, New York","52931","3033"
"0500000US36003","Allegany County, New York","47220","1412"
"0500000US36009","Cattaraugus County, New York","48147","1324"
"0500000US36093","Schenectady County, New York","69074","2106"
"0500000US36123","Yates County, New York","54747","3197"
