ID,Region,population,number on program,percent of the county,percent of state
0500000US36NYS,New York State,19453561,"1,441,350",,7.41
0500000US36NYC,New York City,8336817,"775,759",,3.99
0500000US36005,Bronx County,1418207,"187,293",13,0.96
0500000US36047,Kings County,2559903,"238,173",9,1.22
0500000US36061,New York County,1628706,"110,472",7,0.57
0500000US36081,Queens County,2253858,"204,916",9,1.05
0500000US36085,Richmond County,476143,"34,905",7,0.18
0500000US36NYR,Rest of State,11116744,"665,591",,3.42
0500000US36001,Albany County,305506,"16,272",5,0.08
0500000US36003,Allegany County,46091,"3,248",7,0.02
0500000US36007,Broome County,190488,"13,710",7,0.07
0500000US36009,Cattaraugus County,76117,"6,675",9,0.03
0500000US36011,Cayuga County,76576,"4,168",5,0.02
0500000US36013,Chautauqua County,126903,"9,719",8,0.05
0500000US36015,Chemung County,83456,"5,614",7,0.03
0500000US36017,Chenango County,47207,"4,057",9,0.02
0500000US36019,Clinton County,80485,"4,776",6,0.02
0500000US36021,Columbia County,59461,"3,388",6,0.02
0500000US36023,Cortland County,47581,"3,030",6,0.02
0500000US36025,Delaware County,44135,"2,678",6,0.01
0500000US36027,Dutchess County,294218,"13,182",4,0.07
0500000US36029,Erie County,918702,"59,619",6,0.31
0500000US36031,Essex County,36885,"1,679",5,0.01
0500000US36033,Franklin County,50022,"4,040",8,0.02
0500000US36035,Fulton County,53383,"3,732",7,0.02
0500000US36037,Genesee County,57280,"3,538",6,0.02
0500000US36039,Greene County,47188,"2,555",5,0.01
0500000US36041,Hamilton County,4416,182,4,0
0500000US36043,Herkimer County,61319,"4,796",8,0.02
0500000US36045,Jefferson County,109834,"9,051",8,0.05
0500000US36049,Lewis County,26296,"2,066",8,0.01
0500000US36051,Livingston County,62914,"3,127",5,0.02
0500000US36053,Madison County,70941,"4,048",6,0.02
0500000US36055,Monroe County,741770,"52,486",7,0.27
0500000US36057,Montgomery County,49221,"4,236",9,0.02
0500000US36059,Nassau County,1356924,"59,657",4,0.31
0500000US36063,Niagara County,209281,"13,233",6,0.07
0500000US36065,Oneida County,228671,"18,232",8,0.09
0500000US36067,Onondaga County,460528,"32,590",7,0.17
0500000US36069,Ontario County,109777,"5,700",5,0.03
0500000US36071,Orange County,384940,"24,698",6,0.13
0500000US36073,Orleans County,40352,"3,044",8,0.02
0500000US36075,Oswego County,117124,"10,013",9,0.05
0500000US36077,Otsego County,59493,"3,010",5,0.02
0500000US36079,Putnam County,98320,"3,001",3,0.02
0500000US36083,Rensselaer County,158714,"9,009",6,0.05
0500000US36087,Rockland County,325789,"16,940",5,0.09
0500000US36089,St. Lawrence County,107740,"7,648",7,0.04
0500000US36091,Saratoga County,229863,"7,870",3,0.04
0500000US36093,Schenectady County,155299,"10,538",7,0.05
0500000US36095,Schoharie County,30999,"2,075",7,0.01
0500000US36097,Schuyler County,17807,885,5,0
0500000US36099,Seneca County,34016,"2,049",6,0.01
0500000US36101,Steuben County,95379,"7,139",7,0.04
0500000US36103,Suffolk County,1476601,"88,401",6,0.45
0500000US36105,Sullivan County,75432,"5,377",7,0.03
0500000US36107,Tioga County,48203,"3,684",8,0.02
0500000US36109,Tompkins County,102180,"4,244",4,0.02
0500000US36111,Ulster County,177573,"10,162",6,0.05
0500000US36113,Warren County,63944,"3,479",5,0.02
0500000US36115,Washington County,61204,"3,957",6,0.02
0500000US36117,Wayne County,89918,"6,474",7,0.03
0500000US36119,Westchester County,967506,"54,009",6,0.28
0500000US36121,Wyoming County,39859,"1,649",4,0.01
0500000US36123,Yates County,24913,"1,152",5,0.01
