id,County,asian,black,hispanic_latino,mixed_race,native_american,other,pacific_islander,white,white_non_hispanic,tablereferenceid,censusnotes
0500000US36001,Albany County,81778,32005,38522,38833,46902,36309,NULL,72096,73077,B19013D,median income
0500000US36003,Allegany County,NULL,41406,19141,35313,34239,NULL,NULL,47220,47271,B19013D,median income
0500000US36005,Bronx County,52028,40681,32257,41255,30884,30790,NULL,46452,62230,B19013D,median income
0500000US36007,Broome County,40927,22036,29909,33388,18534,20128,NULL,53327,53621,B19013D,median income
0500000US36009,Cattaraugus County,66316,NULL,34375,32941,28625,32450,NULL,48147,48269,B19013D,median income
0500000US36011,Cayuga County,94464,29821,33125,56406,41875,24231,NULL,57340,57605,B19013D,median income
0500000US36013,Chautauqua County,NULL,19898,22873,32431,NULL,23441,NULL,46340,47213,B19013D,median income
0500000US36015,Chemung County,120729,29871,23167,37391,NULL,57821,NULL,54467,54541,B19013D,median income
0500000US36017,Chenango County,NULL,71613,69375,38000,86034,54000,NULL,50413,50290,B19013D,median income
0500000US36019,Clinton County,40729,50208,57019,46985,NULL,41579,NULL,55641,55525,B19013D,median income
0500000US36021,Columbia County,52426,36029,56250,48187,103750,26810,NULL,64985,64987,B19013D,median income
0500000US36023,Cortland County,NULL,NULL,32841,46900,NULL,21455,NULL,54972,55240,B19013D,median income
0500000US36025,Delaware County,55469,25658,39732,56875,31375,23561,NULL,49128,49285,B19013D,median income
0500000US36027,Dutchess County,123918,50765,63255,51348,68977,46866,NULL,81130,81752,B19013D,median income
0500000US36029,Erie County,50505,30686,28629,37561,24135,20377,39464,62893,63342,B19013D,median income
0500000US36031,Essex County,51250,NULL,NULL,48750,NULL,NULL,NULL,56578,56676,B19013D,median income
0500000US36033,Franklin County,175313,NULL,46354,36250,46747,54375,NULL,52500,52509,B19013D,median income
0500000US36035,Fulton County,77500,NULL,26373,NULL,NULL,19737,NULL,50445,50449,B19013D,median income
0500000US36037,Genesee County,159196,28750,31926,31449,43971,32028,NULL,62317,62709,B19013D,median income
0500000US36039,Greene County,98462,64026,41641,NULL,NULL,61333,NULL,52931,53579,B19013D,median income
0500000US36041,Hamilton County,NULL,NULL,NULL,NULL,NULL,NULL,NULL,57760,57786,B19013D,median income
0500000US36043,Herkimer County,NULL,NULL,58005,32667,NULL,81094,NULL,52377,52386,B19013D,median income
0500000US36045,Jefferson County,45509,50945,45430,41301,43977,43590,44112,53216,53460,B19013D,median income
0500000US36047,Kings County,60756,45326,40539,60390,43401,36614,72941,71188,77250,B19013D,median income
0500000US36049,Lewis County,35583,NULL,38929,NULL,73500,27829,NULL,52827,52791,B19013D,median income
0500000US36051,Livingston County,59583,21333,44531,NULL,41471,36210,NULL,56873,57130,B19013D,median income
0500000US36053,Madison County,110625,63500,75208,69844,48152,NULL,NULL,60023,60005,B19013D,median income
0500000US36055,Monroe County,62159,30034,31331,41198,26174,31164,NULL,64468,66410,B19013D,median income
0500000US36057,Montgomery County,35982,35517,26819,NULL,NULL,27156,NULL,48528,49543,B19013D,median income
0500000US36059,Nassau County,134979,94498,85256,88963,64260,68377,NULL,116227,117594,B19013D,median income
