id,County,Hispanic or Latino,TableReferenceId,CensusNotes 
0500000US36095,Schoharie County,63438,B19013I,median income
0500000US36067,Onondaga County,36629,B19013I,median income
0500000US36019,Clinton County,57019,B19013I,median income
0500000US36099,Seneca County,35172,B19013I,median income
0500000US36079,Putnam County,77240,B19013I,median income
0500000US36033,Franklin County,46354,B19013I,median income
0500000US36069,Ontario County,35773,B19013I,median income
0500000US36081,Queens County,57281,B19013I,median income
0500000US36101,Steuben County,58125,B19013I,median income
0500000US36041,Hamilton County,,B19013I,median income
0500000US36115,Washington County,42679,B19013I,median income
0500000US36013,Chautauqua County,22873,B19013I,median income
0500000US36047,Kings County,40539,B19013I,median income
0500000US36061,New York County,37966,B19013I,median income
0500000US36107,Tioga County,65556,B19013I,median income
0500000US36011,Cayuga County,33125,B19013I,median income
0500000US36073,Orleans County,22475,B19013I,median income
0500000US36091,Saratoga County,87311,B19013I,median income
0500000US36087,Rockland County,67301,B19013I,median income
0500000US36021,Columbia County,56250,B19013I,median income
0500000US36049,Lewis County,38929,B19013I,median income
0500000US36063,Niagara County,31758,B19013I,median income
0500000US36119,Westchester County,59511,B19013I,median income
0500000US36025,Delaware County,39732,B19013I,median income
0500000US36031,Essex County,,B19013I,median income
0500000US36057,Montgomery County,26819,B19013I,median income
0500000US36059,Nassau County,85256,B19013I,median income
0500000US36085,Richmond County,58677,B19013I,median income
0500000US36097,Schuyler County,,B19013I,median income
0500000US36109,Tompkins County,40216,B19013I,median income
0500000US36017,Chenango County,69375,B19013I,median income
0500000US36023,Cortland County,32841,B19013I,median income
0500000US36045,Jefferson County,45430,B19013I,median income
0500000US36065,Oneida County,27135,B19013I,median income
0500000US36103,Suffolk County,81481,B19013I,median income
0500000US36121,Wyoming County,36250,B19013I,median income
0500000US36015,Chemung County,23167,B19013I,median income
0500000US36075,Oswego County,24792,B19013I,median income
0500000US36077,Otsego County,51146,B19013I,median income
0500000US36117,Wayne County,50195,B19013I,median income
0500000US36001,Albany County,38522,B19013I,median income
0500000US36007,Broome County,29909,B19013I,median income
0500000US36029,Erie County,28629,B19013I,median income
0500000US36053,Madison County,75208,B19013I,median income
0500000US36105,Sullivan County,41589,B19013I,median income
0500000US36037,Genesee County,31926,B19013I,median income
0500000US36071,Orange County,64366,B19013I,median income
0500000US36005,Bronx County,32257,B19013I,median income
0500000US36035,Fulton County,26373,B19013I,median income
0500000US36083,Rensselaer County,36953,B19013I,median income
0500000US36027,Dutchess County,63255,B19013I,median income
0500000US36043,Herkimer County,58005,B19013I,median income
0500000US36089,St. Lawrence County,56042,B19013I,median income
0500000US36113,Warren County,,B19013I,median income
0500000US36055,Monroe County,31331,B19013I,median income
0500000US36111,Ulster County,47837,B19013I,median income
0500000US36051,Livingston County,44531,B19013I,median income
0500000US36039,Greene County,41641,B19013I,median income
0500000US36003,Allegany County,19141,B19013I,median income
0500000US36009,Cattaraugus County,34375,B19013I,median income
0500000US36093,Schenectady County,40604,B19013I,median income
0500000US36123,Yates County,,B19013I,median income
