id,County,NativeAmer,TableReferenceId,CensusNotes 
0500000US36095,Schoharie County,-,B19013C,median income
0500000US36067,Onondaga County,39747,B19013C,median income
0500000US36019,Clinton County,-,B19013C,median income
0500000US36099,Seneca County,-,B19013C,median income
0500000US36079,Putnam County,55739,B19013C,median income
0500000US36033,Franklin County,46747,B19013C,median income
0500000US36069,Ontario County,75850,B19013C,median income
0500000US36081,Queens County,52410,B19013C,median income
0500000US36101,Steuben County,37813,B19013C,median income
0500000US36041,Hamilton County,-,B19013C,median income
0500000US36115,Washington County,-,B19013C,median income
0500000US36013,Chautauqua County,-,B19013C,median income
0500000US36047,Kings County,43401,B19013C,median income
0500000US36061,New York County,41650,B19013C,median income
0500000US36107,Tioga County,90265,B19013C,median income
0500000US36011,Cayuga County,41875,B19013C,median income
0500000US36073,Orleans County,-,B19013C,median income
0500000US36091,Saratoga County,108125,B19013C,median income
0500000US36087,Rockland County,150341,B19013C,median income
0500000US36021,Columbia County,103750,B19013C,median income
0500000US36049,Lewis County,73500,B19013C,median income
0500000US36063,Niagara County,38456,B19013C,median income
0500000US36119,Westchester County,56745,B19013C,median income
0500000US36025,Delaware County,31375,B19013C,median income
0500000US36031,Essex County,-,B19013C,median income
0500000US36057,Montgomery County,-,B19013C,median income
0500000US36059,Nassau County,64260,B19013C,median income
0500000US36085,Richmond County,70294,B19013C,median income
0500000US36097,Schuyler County,44643,B19013C,median income
0500000US36109,Tompkins County,90313,B19013C,median income
0500000US36017,Chenango County,86034,B19013C,median income
0500000US36023,Cortland County,-,B19013C,median income
0500000US36045,Jefferson County,43977,B19013C,median income
0500000US36065,Oneida County,36576,B19013C,median income
0500000US36103,Suffolk County,77232,B19013C,median income
0500000US36121,Wyoming County,-,B19013C,median income
0500000US36015,Chemung County,-,B19013C,median income
0500000US36075,Oswego County,-,B19013C,median income
0500000US36077,Otsego County,53125,B19013C,median income
0500000US36117,Wayne County,52159,B19013C,median income
0500000US36001,Albany County,46902,B19013C,median income
0500000US36007,Broome County,18534,B19013C,median income
0500000US36029,Erie County,24135,B19013C,median income
0500000US36053,Madison County,48152,B19013C,median income
0500000US36105,Sullivan County,63300,B19013C,median income
0500000US36037,Genesee County,43971,B19013C,median income
0500000US36071,Orange County,67917,B19013C,median income
0500000US36005,Bronx County,30884,B19013C,median income
0500000US36035,Fulton County,-,B19013C,median income
0500000US36083,Rensselaer County,33450,B19013C,median income
0500000US36027,Dutchess County,68977,B19013C,median income
0500000US36043,Herkimer County,-,B19013C,median income
0500000US36089,St. Lawrence County,-,B19013C,median income
0500000US36113,Warren County,45476,B19013C,median income
0500000US36055,Monroe County,26174,B19013C,median income
0500000US36111,Ulster County,-,B19013C,median income
0500000US36051,Livingston County,41471,B19013C,median income
0500000US36039,Greene County,-,B19013C,median income
0500000US36003,Allegany County,34239,B19013C,median income
0500000US36009,Cattaraugus County,28625,B19013C,median income
0500000US36093,Schenectady County,54135,B19013C,median income
0500000US36123,Yates County,-,B19013C,median income
