id,County,White Non-Hispanic,TableReferenceId,CensusNotes 
0500000US36095,Schoharie County,53701,B19013H,median
0500000US36067,Onondaga County,65511,B19013H,median
0500000US36019,Clinton County,55525,B19013H,median
0500000US36099,Seneca County,55968,B19013H,median
0500000US36079,Putnam County,105244,B19013H,median
0500000US36033,Franklin County,52509,B19013H,median
0500000US36069,Ontario County,65262,B19013H,median
0500000US36081,Queens County,74157,B19013H,median
0500000US36101,Steuben County,51375,B19013H,median
0500000US36041,Hamilton County,57786,B19013H,median
0500000US36115,Washington County,54032,B19013H,median
0500000US36013,Chautauqua County,47213,B19013H,median
0500000US36047,Kings County,77250,B19013H,median
0500000US36061,New York County,122852,B19013H,median
0500000US36107,Tioga County,61033,B19013H,median
0500000US36011,Cayuga County,57605,B19013H,median
0500000US36073,Orleans County,52935,B19013H,median
0500000US36091,Saratoga County,79828,B19013H,median
0500000US36087,Rockland County,95630,B19013H,median
0500000US36021,Columbia County,64987,B19013H,median
0500000US36049,Lewis County,52791,B19013H,median
0500000US36063,Niagara County,57741,B19013H,median
0500000US36119,Westchester County,115687,B19013H,median
0500000US36025,Delaware County,49285,B19013H,median
0500000US36031,Essex County,56676,B19013H,median
0500000US36057,Montgomery County,49543,B19013H,median
0500000US36059,Nassau County,117594,B19013H,median
0500000US36085,Richmond County,88906,B19013H,median
0500000US36097,Schuyler County,51444,B19013H,median
0500000US36109,Tompkins County,64672,B19013H,median
0500000US36017,Chenango County,50290,B19013H,median
0500000US36023,Cortland County,55240,B19013H,median
0500000US36045,Jefferson County,53460,B19013H,median
0500000US36065,Oneida County,56959,B19013H,median
0500000US36103,Suffolk County,101100,B19013H,median
0500000US36121,Wyoming County,58194,B19013H,median
0500000US36015,Chemung County,54541,B19013H,median
0500000US36075,Oswego County,54257,B19013H,median
0500000US36077,Otsego County,53310,B19013H,median
0500000US36117,Wayne County,56222,B19013H,median
0500000US36001,Albany County,73077,B19013H,median
0500000US36007,Broome County,53621,B19013H,median
0500000US36029,Erie County,63342,B19013H,median
0500000US36053,Madison County,60005,B19013H,median
0500000US36105,Sullivan County,60099,B19013H,median
0500000US36037,Genesee County,62709,B19013H,median
0500000US36071,Orange County,81929,B19013H,median
0500000US36005,Bronx County,62230,B19013H,median
0500000US36035,Fulton County,50449,B19013H,median
0500000US36083,Rensselaer County,69445,B19013H,median
0500000US36027,Dutchess County,81752,B19013H,median
0500000US36043,Herkimer County,52386,B19013H,median
0500000US36089,St. Lawrence County,49317,B19013H,median
0500000US36113,Warren County,60239,B19013H,median
0500000US36055,Monroe County,66410,B19013H,median
0500000US36111,Ulster County,66386,B19013H,median
0500000US36051,Livingston County,57130,B19013H,median
0500000US36039,Greene County,53579,B19013H,median
0500000US36003,Allegany County,47271,B19013H,median
0500000US36009,Cattaraugus County,48269,B19013H,median
0500000US36093,Schenectady County,69733,B19013H,median
0500000US36123,Yates County,55069,B19013H,median
