Region,population,number on program,percent of the county,percent of state
New York State,19453561,"1,441,350",N/A,7.41
New York City,8336817,"775,759",N/A,3.99
Bronx County,1418207,"187,293",13,0.96
Kings County,2559903,"238,173",9,1.22
New York County,1628706,"110,472",7,0.57
Queens County,2253858,"204,916",9,1.05
Richmond County,476143,"34,905",7,0.18
Rest of State,11116744,"665,591",N/A,3.42
Albany County,305506,"16,272",5,0.08
Allegany County,46091,"3,248",7,0.02
Broome County,190488,"13,710",7,0.07
Cattaraugus County,76117,"6,675",9,0.03
Cayuga County,76576,"4,168",5,0.02
Chautauqua County,126903,"9,719",8,0.05
Chemung County,83456,"5,614",7,0.03
Chenango County,47207,"4,057",9,0.02
Clinton County,80485,"4,776",6,0.02
Columbia County,59461,"3,388",6,0.02
Cortland County,47581,"3,030",6,0.02
Delaware County,44135,"2,678",6,0.01
Dutchess County,294218,"13,182",4,0.07
Erie County,918702,"59,619",6,0.31
Essex County,36885,"1,679",5,0.01
Franklin County,50022,"4,040",8,0.02
Fulton County,53383,"3,732",7,0.02
Genesee County,57280,"3,538",6,0.02
Greene County,47188,"2,555",5,0.01
Hamilton County,4416,182,4,0
Herkimer County,61319,"4,796",8,0.02
Jefferson County,109834,"9,051",8,0.05
Lewis County,26296,"2,066",8,0.01
Livingston County,62914,"3,127",5,0.02
Madison County,70941,"4,048",6,0.02
Monroe County,741770,"52,486",7,0.27
Montgomery County,49221,"4,236",9,0.02
Nassau County,1356924,"59,657",4,0.31
Niagara County,209281,"13,233",6,0.07
Oneida County,228671,"18,232",8,0.09
Onondaga County,460528,"32,590",7,0.17
Ontario County,109777,"5,700",5,0.03
Orange County,384940,"24,698",6,0.13
Orleans County,40352,"3,044",8,0.02
Oswego County,117124,"10,013",9,0.05
Otsego County,59493,"3,010",5,0.02
Putnam County,98320,"3,001",3,0.02
Rensselaer County,158714,"9,009",6,0.05
Rockland County,325789,"16,940",5,0.09
St. Lawrence County,107740,"7,648",7,0.04
Saratoga County,229863,"7,870",3,0.04
Schenectady County,155299,"10,538",7,0.05
Schoharie County,30999,"2,075",7,0.01
Schuyler County,17807,885,5,0
Seneca County,34016,"2,049",6,0.01
Steuben County,95379,"7,139",7,0.04
Suffolk County,1476601,"88,401",6,0.45
Sullivan County,75432,"5,377",7,0.03
Tioga County,48203,"3,684",8,0.02
Tompkins County,102180,"4,244",4,0.02
Ulster County,177573,"10,162",6,0.05
Warren County,63944,"3,479",5,0.02
Washington County,61204,"3,957",6,0.02
Wayne County,89918,"6,474",7,0.03
Westchester County,967506,"54,009",6,0.28
Wyoming County,39859,"1,649",4,0.01
Yates County,24913,"1,152",5,0.01
