"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races"
"0500000US36095","Schoharie County, New York","31364","*****","30007","72","541","57","49","30","280","35","13","19","128","50","346","77","36","29","310","75"
"0500000US36067","Onondaga County, New York","464242","*****","370976","824","52888","896","2389","242","17130","466","116","53","4765","690","15978","1066","1329","294","14649","1078"
"0500000US36019","Clinton County, New York","80794","*****","73391","178","3475","137","208","77","1183","119","26","21","1474","191","1037","199","110","68","927","185"
"0500000US36099","Seneca County, New York","34612","*****","31669","119","1707","127","135","51","242","41","0","25","234","102","625","139","28","26","597","131"
"0500000US36079","Putnam County, New York","99070","*****","86904","821","2881","373","205","122","2019","144","24","27","4834","752","2203","434","434","169","1769","399"
"0500000US36033","Franklin County, New York","50692","*****","41778","139","2965","83","3618","181","255","60","94","94","1099","124","883","191","213","91","670","157"
"0500000US36069","Ontario County, New York","109472","*****","101467","332","2770","239","487","229","1455","178","37","48","1480","331","1776","352","331","191","1445","270"
"0500000US36081","Queens County, New York","2298513","*****","896722","6835","421038","3039","9977","980","580709","2446","1100","293","309236","7891","79731","3228","30729","1798","49002","2307"
"0500000US36101","Steuben County, New York","96927","*****","92017","128","1553","198","102","49","1484","87","15","10","374","120","1382","199","81","38","1301","199"
