"GEO_ID","id",
"NAME","Geographic Area Name",
"B08128_001E","Estimate!!Total",
"B08128_001M","Margin of Error!!Total",
"B08128_002E","Estimate!!Total!!Private for-profit wage and salary workers",
"B08128_002M","Margin of Error!!Total!!Private for-profit wage and salary workers",
"B08128_003E","Estimate!!Total!!Private for-profit wage and salary workers!!Employee of private company workers",
"B08128_003M","Margin of Error!!Total!!Private for-profit wage and salary workers!!Employee of private company workers",
"B08128_004E","Estimate!!Total!!Private for-profit wage and salary workers!!Self-employed in own incorporated business workers",
"B08128_004M","Margin of Error!!Total!!Private for-profit wage and salary workers!!Self-employed in own incorporated business workers",
"B08128_005E","Estimate!!Total!!Private not-for-profit wage and salary workers",
"B08128_005M","Margin of Error!!Total!!Private not-for-profit wage and salary workers",
"B08128_006E","Estimate!!Total!!Local government workers",
"B08128_006M","Margin of Error!!Total!!Local government workers",
"B08128_007E","Estimate!!Total!!State government workers",
"B08128_007M","Margin of Error!!Total!!State government workers",
"B08128_008E","Estimate!!Total!!Federal government workers",
"B08128_008M","Margin of Error!!Total!!Federal government workers",
"B08128_009E","Estimate!!Total!!Self-employed in own not incorporated business workers",
"B08128_009M","Margin of Error!!Total!!Self-employed in own not incorporated business workers",
"B08128_010E","Estimate!!Total!!Unpaid family workers",
"B08128_010M","Margin of Error!!Total!!Unpaid family workers",
"B08128_011E","Estimate!!Total!!Car, truck, or van - drove alone",
"B08128_011M","Margin of Error!!Total!!Car, truck, or van - drove alone",
"B08128_012E","Estimate!!Total!!Car, truck, or van - drove alone!!Private for-profit wage and salary workers",
"B08128_012M","Margin of Error!!Total!!Car, truck, or van - drove alone!!Private for-profit wage and salary workers",
"B08128_013E","Estimate!!Total!!Car, truck, or van - drove alone!!Private for-profit wage and salary workers!!Employee of private company workers",
"B08128_013M","Margin of Error!!Total!!Car, truck, or van - drove alone!!Private for-profit wage and salary workers!!Employee of private company workers",
"B08128_014E","Estimate!!Total!!Car, truck, or van - drove alone!!Private for-profit wage and salary workers!!Self-employed in own incorporated business workers",
"B08128_014M","Margin of Error!!Total!!Car, truck, or van - drove alone!!Private for-profit wage and salary workers!!Self-employed in own incorporated business workers",
"B08128_015E","Estimate!!Total!!Car, truck, or van - drove alone!!Private not-for-profit wage and salary workers",
"B08128_015M","Margin of Error!!Total!!Car, truck, or van - drove alone!!Private not-for-profit wage and salary workers",
"B08128_016E","Estimate!!Total!!Car, truck, or van - drove alone!!Local government workers",
"B08128_016M","Margin of Error!!Total!!Car, truck, or van - drove alone!!Local government workers",
"B08128_017E","Estimate!!Total!!Car, truck, or van - drove alone!!State government workers",
"B08128_017M","Margin of Error!!Total!!Car, truck, or van - drove alone!!State government workers",
"B08128_018E","Estimate!!Total!!Car, truck, or van - drove alone!!Federal government workers",
"B08128_018M","Margin of Error!!Total!!Car, truck, or van - drove alone!!Federal government workers",
"B08128_019E","Estimate!!Total!!Car, truck, or van - drove alone!!Self-employed in own not incorporated business workers",
"B08128_019M","Margin of Error!!Total!!Car, truck, or van - drove alone!!Self-employed in own not incorporated business workers",
"B08128_020E","Estimate!!Total!!Car, truck, or van - drove alone!!Unpaid family workers",
"B08128_020M","Margin of Error!!Total!!Car, truck, or van - drove alone!!Unpaid family workers",
"B08128_021E","Estimate!!Total!!Car, truck, or van - carpooled",
"B08128_021M","Margin of Error!!Total!!Car, truck, or van - carpooled",
"B08128_022E","Estimate!!Total!!Car, truck, or van - carpooled!!Private for-profit wage and salary workers",
"B08128_022M","Margin of Error!!Total!!Car, truck, or van - carpooled!!Private for-profit wage and salary workers",
"B08128_023E","Estimate!!Total!!Car, truck, or van - carpooled!!Private for-profit wage and salary workers!!Employee of private company workers",
"B08128_023M","Margin of Error!!Total!!Car, truck, or van - carpooled!!Private for-profit wage and salary workers!!Employee of private company workers",
"B08128_024E","Estimate!!Total!!Car, truck, or van - carpooled!!Private for-profit wage and salary workers!!Self-employed in own incorporated business workers",
"B08128_024M","Margin of Error!!Total!!Car, truck, or van - carpooled!!Private for-profit wage and salary workers!!Self-employed in own incorporated business workers",
"B08128_025E","Estimate!!Total!!Car, truck, or van - carpooled!!Private not-for-profit wage and salary workers",
"B08128_025M","Margin of Error!!Total!!Car, truck, or van - carpooled!!Private not-for-profit wage and salary workers",
"B08128_026E","Estimate!!Total!!Car, truck, or van - carpooled!!Local government workers",
"B08128_026M","Margin of Error!!Total!!Car, truck, or van - carpooled!!Local government workers",
"B08128_027E","Estimate!!Total!!Car, truck, or van - carpooled!!State government workers",
"B08128_027M","Margin of Error!!Total!!Car, truck, or van - carpooled!!State government workers",
"B08128_028E","Estimate!!Total!!Car, truck, or van - carpooled!!Federal government workers",
"B08128_028M","Margin of Error!!Total!!Car, truck, or van - carpooled!!Federal government workers",
"B08128_029E","Estimate!!Total!!Car, truck, or van - carpooled!!Self-employed in own not incorporated business workers",
"B08128_029M","Margin of Error!!Total!!Car, truck, or van - carpooled!!Self-employed in own not incorporated business workers",
"B08128_030E","Estimate!!Total!!Car, truck, or van - carpooled!!Unpaid family workers",
"B08128_030M","Margin of Error!!Total!!Car, truck, or van - carpooled!!Unpaid family workers",
"B08128_031E","Estimate!!Total!!Public transportation (excluding taxicab)",
"B08128_031M","Margin of Error!!Total!!Public transportation (excluding taxicab)",
"B08128_032E","Estimate!!Total!!Public transportation (excluding taxicab)!!Private for-profit wage and salary workers",
"B08128_032M","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Private for-profit wage and salary workers",
"B08128_033E","Estimate!!Total!!Public transportation (excluding taxicab)!!Private for-profit wage and salary workers!!Employee of private company workers",
"B08128_033M","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Private for-profit wage and salary workers!!Employee of private company workers",
"B08128_034E","Estimate!!Total!!Public transportation (excluding taxicab)!!Private for-profit wage and salary workers!!Self-employed in own incorporated business workers",
"B08128_034M","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Private for-profit wage and salary workers!!Self-employed in own incorporated business workers",
"B08128_035E","Estimate!!Total!!Public transportation (excluding taxicab)!!Private not-for-profit wage and salary workers",
"B08128_035M","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Private not-for-profit wage and salary workers",
"B08128_036E","Estimate!!Total!!Public transportation (excluding taxicab)!!Local government workers",
"B08128_036M","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Local government workers",
"B08128_037E","Estimate!!Total!!Public transportation (excluding taxicab)!!State government workers",
"B08128_037M","Margin of Error!!Total!!Public transportation (excluding taxicab)!!State government workers",
"B08128_038E","Estimate!!Total!!Public transportation (excluding taxicab)!!Federal government workers",
"B08128_038M","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Federal government workers",
"B08128_039E","Estimate!!Total!!Public transportation (excluding taxicab)!!Self-employed in own not incorporated business workers",
"B08128_039M","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Self-employed in own not incorporated business workers",
"B08128_040E","Estimate!!Total!!Public transportation (excluding taxicab)!!Unpaid family workers",
"B08128_040M","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Unpaid family workers",
"B08128_041E","Estimate!!Total!!Walked",
"B08128_041M","Margin of Error!!Total!!Walked",
"B08128_042E","Estimate!!Total!!Walked!!Private for-profit wage and salary workers",
"B08128_042M","Margin of Error!!Total!!Walked!!Private for-profit wage and salary workers",
"B08128_043E","Estimate!!Total!!Walked!!Private for-profit wage and salary workers!!Employee of private company workers",
"B08128_043M","Margin of Error!!Total!!Walked!!Private for-profit wage and salary workers!!Employee of private company workers",
"B08128_044E","Estimate!!Total!!Walked!!Private for-profit wage and salary workers!!Self-employed in own incorporated business workers",
"B08128_044M","Margin of Error!!Total!!Walked!!Private for-profit wage and salary workers!!Self-employed in own incorporated business workers",
"B08128_045E","Estimate!!Total!!Walked!!Private not-for-profit wage and salary workers",
"B08128_045M","Margin of Error!!Total!!Walked!!Private not-for-profit wage and salary workers",
"B08128_046E","Estimate!!Total!!Walked!!Local government workers",
"B08128_046M","Margin of Error!!Total!!Walked!!Local government workers",
"B08128_047E","Estimate!!Total!!Walked!!State government workers",
"B08128_047M","Margin of Error!!Total!!Walked!!State government workers",
"B08128_048E","Estimate!!Total!!Walked!!Federal government workers",
"B08128_048M","Margin of Error!!Total!!Walked!!Federal government workers",
"B08128_049E","Estimate!!Total!!Walked!!Self-employed in own not incorporated business workers",
"B08128_049M","Margin of Error!!Total!!Walked!!Self-employed in own not incorporated business workers",
"B08128_050E","Estimate!!Total!!Walked!!Unpaid family workers",
"B08128_050M","Margin of Error!!Total!!Walked!!Unpaid family workers",
"B08128_051E","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means",
"B08128_051M","Margin of Error!!Total!!Taxicab, motorcycle, bicycle, or other means",
"B08128_052E","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means!!Private for-profit wage and salary workers",
"B08128_052M","Margin of Error!!Total!!Taxicab, motorcycle, bicycle, or other means!!Private for-profit wage and salary workers",
"B08128_053E","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means!!Private for-profit wage and salary workers!!Employee of private company workers",
"B08128_053M","Margin of Error!!Total!!Taxicab, motorcycle, bicycle, or other means!!Private for-profit wage and salary workers!!Employee of private company workers",
"B08128_054E","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means!!Private for-profit wage and salary workers!!Self-employed in own incorporated business workers",
"B08128_054M","Margin of Error!!Total!!Taxicab, motorcycle, bicycle, or other means!!Private for-profit wage and salary workers!!Self-employed in own incorporated business workers",
"B08128_055E","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means!!Private not-for-profit wage and salary workers",
"B08128_055M","Margin of Error!!Total!!Taxicab, motorcycle, bicycle, or other means!!Private not-for-profit wage and salary workers",
"B08128_056E","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means!!Local government workers",
"B08128_056M","Margin of Error!!Total!!Taxicab, motorcycle, bicycle, or other means!!Local government workers",
"B08128_057E","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means!!State government workers",
"B08128_057M","Margin of Error!!Total!!Taxicab, motorcycle, bicycle, or other means!!State government workers",
"B08128_058E","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means!!Federal government workers",
"B08128_058M","Margin of Error!!Total!!Taxicab, motorcycle, bicycle, or other means!!Federal government workers",
"B08128_059E","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means!!Self-employed in own not incorporated business workers",
"B08128_059M","Margin of Error!!Total!!Taxicab, motorcycle, bicycle, or other means!!Self-employed in own not incorporated business workers",
"B08128_060E","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means!!Unpaid family workers",
"B08128_060M","Margin of Error!!Total!!Taxicab, motorcycle, bicycle, or other means!!Unpaid family workers",
"B08128_061E","Estimate!!Total!!Worked at home",
"B08128_061M","Margin of Error!!Total!!Worked at home",
"B08128_062E","Estimate!!Total!!Worked at home!!Private for-profit wage and salary workers",
"B08128_062M","Margin of Error!!Total!!Worked at home!!Private for-profit wage and salary workers",
"B08128_063E","Estimate!!Total!!Worked at home!!Private for-profit wage and salary workers!!Employee of private company workers",
"B08128_063M","Margin of Error!!Total!!Worked at home!!Private for-profit wage and salary workers!!Employee of private company workers",
"B08128_064E","Estimate!!Total!!Worked at home!!Private for-profit wage and salary workers!!Self-employed in own incorporated business workers",
"B08128_064M","Margin of Error!!Total!!Worked at home!!Private for-profit wage and salary workers!!Self-employed in own incorporated business workers",
"B08128_065E","Estimate!!Total!!Worked at home!!Private not-for-profit wage and salary workers",
"B08128_065M","Margin of Error!!Total!!Worked at home!!Private not-for-profit wage and salary workers",
"B08128_066E","Estimate!!Total!!Worked at home!!Local government workers",
"B08128_066M","Margin of Error!!Total!!Worked at home!!Local government workers",
"B08128_067E","Estimate!!Total!!Worked at home!!State government workers",
"B08128_067M","Margin of Error!!Total!!Worked at home!!State government workers",
"B08128_068E","Estimate!!Total!!Worked at home!!Federal government workers",
"B08128_068M","Margin of Error!!Total!!Worked at home!!Federal government workers",
"B08128_069E","Estimate!!Total!!Worked at home!!Self-employed in own not incorporated business workers",
"B08128_069M","Margin of Error!!Total!!Worked at home!!Self-employed in own not incorporated business workers",
"B08128_070E","Estimate!!Total!!Worked at home!!Unpaid family workers",
"B08128_070M","Margin of Error!!Total!!Worked at home!!Unpaid family workers",
