"GEO_ID","id",
"NAME","Geographic Area Name",
"B08526_001E","Estimate!!Total",
"B08526_001M","Margin of Error!!Total",
"B08526_002E","Estimate!!Total!!Agriculture, forestry, fishing and hunting, and mining",
"B08526_002M","Margin of Error!!Total!!Agriculture, forestry, fishing and hunting, and mining",
"B08526_003E","Estimate!!Total!!Construction",
"B08526_003M","Margin of Error!!Total!!Construction",
"B08526_004E","Estimate!!Total!!Manufacturing",
"B08526_004M","Margin of Error!!Total!!Manufacturing",
"B08526_005E","Estimate!!Total!!Wholesale trade",
"B08526_005M","Margin of Error!!Total!!Wholesale trade",
"B08526_006E","Estimate!!Total!!Retail trade",
"B08526_006M","Margin of Error!!Total!!Retail trade",
"B08526_007E","Estimate!!Total!!Transportation and warehousing, and utilities",
"B08526_007M","Margin of Error!!Total!!Transportation and warehousing, and utilities",
"B08526_008E","Estimate!!Total!!Information",
"B08526_008M","Margin of Error!!Total!!Information",
"B08526_009E","Estimate!!Total!!Finance and insurance, and real estate and rental and leasing",
"B08526_009M","Margin of Error!!Total!!Finance and insurance, and real estate and rental and leasing",
"B08526_010E","Estimate!!Total!!Professional, scientific, and management, and administrative and waste management services",
"B08526_010M","Margin of Error!!Total!!Professional, scientific, and management, and administrative and waste management services",
"B08526_011E","Estimate!!Total!!Educational services, and health care and social assistance",
"B08526_011M","Margin of Error!!Total!!Educational services, and health care and social assistance",
"B08526_012E","Estimate!!Total!!Arts, entertainment, and recreation, and accommodation and food services",
"B08526_012M","Margin of Error!!Total!!Arts, entertainment, and recreation, and accommodation and food services",
"B08526_013E","Estimate!!Total!!Other services (except public administration)",
"B08526_013M","Margin of Error!!Total!!Other services (except public administration)",
"B08526_014E","Estimate!!Total!!Public administration",
"B08526_014M","Margin of Error!!Total!!Public administration",
"B08526_015E","Estimate!!Total!!Armed forces",
"B08526_015M","Margin of Error!!Total!!Armed forces",
"B08526_016E","Estimate!!Total!!Car, truck, or van - drove alone",
"B08526_016M","Margin of Error!!Total!!Car, truck, or van - drove alone",
"B08526_017E","Estimate!!Total!!Car, truck, or van - drove alone!!Agriculture, forestry, fishing and hunting, and mining",
"B08526_017M","Margin of Error!!Total!!Car, truck, or van - drove alone!!Agriculture, forestry, fishing and hunting, and mining",
"B08526_018E","Estimate!!Total!!Car, truck, or van - drove alone!!Construction",
"B08526_018M","Margin of Error!!Total!!Car, truck, or van - drove alone!!Construction",
"B08526_019E","Estimate!!Total!!Car, truck, or van - drove alone!!Manufacturing",
"B08526_019M","Margin of Error!!Total!!Car, truck, or van - drove alone!!Manufacturing",
"B08526_020E","Estimate!!Total!!Car, truck, or van - drove alone!!Wholesale trade",
"B08526_020M","Margin of Error!!Total!!Car, truck, or van - drove alone!!Wholesale trade",
"B08526_021E","Estimate!!Total!!Car, truck, or van - drove alone!!Retail trade",
"B08526_021M","Margin of Error!!Total!!Car, truck, or van - drove alone!!Retail trade",
"B08526_022E","Estimate!!Total!!Car, truck, or van - drove alone!!Transportation and warehousing, and utilities",
"B08526_022M","Margin of Error!!Total!!Car, truck, or van - drove alone!!Transportation and warehousing, and utilities",
"B08526_023E","Estimate!!Total!!Car, truck, or van - drove alone!!Information",
"B08526_023M","Margin of Error!!Total!!Car, truck, or van - drove alone!!Information",
"B08526_024E","Estimate!!Total!!Car, truck, or van - drove alone!!Finance and insurance, and real estate and rental and leasing",
"B08526_024M","Margin of Error!!Total!!Car, truck, or van - drove alone!!Finance and insurance, and real estate and rental and leasing",
"B08526_025E","Estimate!!Total!!Car, truck, or van - drove alone!!Professional, scientific, and management, and administrative and waste management services",
"B08526_025M","Margin of Error!!Total!!Car, truck, or van - drove alone!!Professional, scientific, and management, and administrative and waste management services",
"B08526_026E","Estimate!!Total!!Car, truck, or van - drove alone!!Educational services, and health care and social assistance",
"B08526_026M","Margin of Error!!Total!!Car, truck, or van - drove alone!!Educational services, and health care and social assistance",
"B08526_027E","Estimate!!Total!!Car, truck, or van - drove alone!!Arts, entertainment, and recreation, and accommodation and food services",
"B08526_027M","Margin of Error!!Total!!Car, truck, or van - drove alone!!Arts, entertainment, and recreation, and accommodation and food services",
"B08526_028E","Estimate!!Total!!Car, truck, or van - drove alone!!Other services (except public administration)",
