"GEO_ID","NAME","B08528_001E","B08528_001M","B08528_002E","B08528_002M","B08528_003E","B08528_003M","B08528_004E","B08528_004M","B08528_005E","B08528_005M","B08528_006E","B08528_006M","B08528_007E","B08528_007M","B08528_008E","B08528_008M","B08528_009E","B08528_009M","B08528_010E","B08528_010M","B08528_011E","B08528_011M","B08528_012E","B08528_012M","B08528_013E","B08528_013M","B08528_014E","B08528_014M","B08528_015E","B08528_015M","B08528_016E","B08528_016M","B08528_017E","B08528_017M","B08528_018E","B08528_018M","B08528_019E","B08528_019M","B08528_020E","B08528_020M","B08528_021E","B08528_021M","B08528_022E","B08528_022M","B08528_023E","B08528_023M","B08528_024E","B08528_024M","B08528_025E","B08528_025M","B08528_026E","B08528_026M","B08528_027E","B08528_027M","B08528_028E","B08528_028M","B08528_029E","B08528_029M","B08528_030E","B08528_030M","B08528_031E","B08528_031M","B08528_032E","B08528_032M","B08528_033E","B08528_033M","B08528_034E","B08528_034M","B08528_035E","B08528_035M","B08528_036E","B08528_036M","B08528_037E","B08528_037M","B08528_038E","B08528_038M","B08528_039E","B08528_039M","B08528_040E","B08528_040M","B08528_041E","B08528_041M","B08528_042E","B08528_042M","B08528_043E","B08528_043M","B08528_044E","B08528_044M","B08528_045E","B08528_045M","B08528_046E","B08528_046M","B08528_047E","B08528_047M","B08528_048E","B08528_048M","B08528_049E","B08528_049M","B08528_050E","B08528_050M","B08528_051E","B08528_051M","B08528_052E","B08528_052M","B08528_053E","B08528_053M","B08528_054E","B08528_054M","B08528_055E","B08528_055M","B08528_056E","B08528_056M","B08528_057E","B08528_057M","B08528_058E","B08528_058M","B08528_059E","B08528_059M","B08528_060E","B08528_060M","B08528_061E","B08528_061M","B08528_062E","B08528_062M","B08528_063E","B08528_063M","B08528_064E","B08528_064M","B08528_065E","B08528_065M","B08528_066E","B08528_066M","B08528_067E","B08528_067M","B08528_068E","B08528_068M","B08528_069E","B08528_069M","B08528_070E","B08528_070M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Private for-profit wage and salary workers","Margin of Error!!Total!!Private for-profit wage and salary workers","Estimate!!Total!!Private for-profit wage and salary workers!!Employee of private company workers","Margin of Error!!Total!!Private for-profit wage and salary workers!!Employee of private company workers","Estimate!!Total!!Private for-profit wage and salary workers!!Self-employed in own incorporated business workers","Margin of Error!!Total!!Private for-profit wage and salary workers!!Self-employed in own incorporated business workers","Estimate!!Total!!Private not-for-profit wage and salary workers","Margin of Error!!Total!!Private not-for-profit wage and salary workers","Estimate!!Total!!Local government workers","Margin of Error!!Total!!Local government workers","Estimate!!Total!!State government workers","Margin of Error!!Total!!State government workers","Estimate!!Total!!Federal government workers","Margin of Error!!Total!!Federal government workers","Estimate!!Total!!Self-employed in own not incorporated business workers","Margin of Error!!Total!!Self-employed in own not incorporated business workers","Estimate!!Total!!Unpaid family workers","Margin of Error!!Total!!Unpaid family workers","Estimate!!Total!!Car, truck, or van - drove alone","Margin of Error!!Total!!Car, truck, or van - drove alone","Estimate!!Total!!Car, truck, or van - drove alone!!Private for-profit wage and salary workers","Margin of Error!!Total!!Car, truck, or van - drove alone!!Private for-profit wage and salary workers","Estimate!!Total!!Car, truck, or van - drove alone!!Private for-profit wage and salary workers!!Employee of private company workers","Margin of Error!!Total!!Car, truck, or van - drove alone!!Private for-profit wage and salary workers!!Employee of private company workers","Estimate!!Total!!Car, truck, or van - drove alone!!Private for-profit wage and salary workers!!Self-employed in own incorporated business workers","Margin of Error!!Total!!Car, truck, or van - drove alone!!Private for-profit wage and salary workers!!Self-employed in own incorporated business workers","Estimate!!Total!!Car, truck, or van - drove alone!!Private not-for-profit wage and salary workers","Margin of Error!!Total!!Car, truck, or van - drove alone!!Private not-for-profit wage and salary workers","Estimate!!Total!!Car, truck, or van - drove alone!!Local government workers","Margin of Error!!Total!!Car, truck, or van - drove alone!!Local government workers","Estimate!!Total!!Car, truck, or van - drove alone!!State government workers","Margin of Error!!Total!!Car, truck, or van - drove alone!!State government workers","Estimate!!Total!!Car, truck, or van - drove alone!!Federal government workers","Margin of Error!!Total!!Car, truck, or van - drove alone!!Federal government workers","Estimate!!Total!!Car, truck, or van - drove alone!!Self-employed in own not incorporated business workers","Margin of Error!!Total!!Car, truck, or van - drove alone!!Self-employed in own not incorporated business workers","Estimate!!Total!!Car, truck, or van - drove alone!!Unpaid family workers","Margin of Error!!Total!!Car, truck, or van - drove alone!!Unpaid family workers","Estimate!!Total!!Car, truck, or van - carpooled","Margin of Error!!Total!!Car, truck, or van - carpooled","Estimate!!Total!!Car, truck, or van - carpooled!!Private for-profit wage and salary workers","Margin of Error!!Total!!Car, truck, or van - carpooled!!Private for-profit wage and salary workers","Estimate!!Total!!Car, truck, or van - carpooled!!Private for-profit wage and salary workers!!Employee of private company workers","Margin of Error!!Total!!Car, truck, or van - carpooled!!Private for-profit wage and salary workers!!Employee of private company workers","Estimate!!Total!!Car, truck, or van - carpooled!!Private for-profit wage and salary workers!!Self-employed in own incorporated business workers","Margin of Error!!Total!!Car, truck, or van - carpooled!!Private for-profit wage and salary workers!!Self-employed in own incorporated business workers","Estimate!!Total!!Car, truck, or van - carpooled!!Private not-for-profit wage and salary workers","Margin of Error!!Total!!Car, truck, or van - carpooled!!Private not-for-profit wage and salary workers","Estimate!!Total!!Car, truck, or van - carpooled!!Local government workers","Margin of Error!!Total!!Car, truck, or van - carpooled!!Local government workers","Estimate!!Total!!Car, truck, or van - carpooled!!State government workers","Margin of Error!!Total!!Car, truck, or van - carpooled!!State government workers","Estimate!!Total!!Car, truck, or van - carpooled!!Federal government workers","Margin of Error!!Total!!Car, truck, or van - carpooled!!Federal government workers","Estimate!!Total!!Car, truck, or van - carpooled!!Self-employed in own not incorporated business workers","Margin of Error!!Total!!Car, truck, or van - carpooled!!Self-employed in own not incorporated business workers","Estimate!!Total!!Car, truck, or van - carpooled!!Unpaid family workers","Margin of Error!!Total!!Car, truck, or van - carpooled!!Unpaid family workers","Estimate!!Total!!Public transportation (excluding taxicab)","Margin of Error!!Total!!Public transportation (excluding taxicab)","Estimate!!Total!!Public transportation (excluding taxicab)!!Private for-profit wage and salary workers","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Private for-profit wage and salary workers","Estimate!!Total!!Public transportation (excluding taxicab)!!Private for-profit wage and salary workers!!Employee of private company workers","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Private for-profit wage and salary workers!!Employee of private company workers","Estimate!!Total!!Public transportation (excluding taxicab)!!Private for-profit wage and salary workers!!Self-employed in own incorporated business workers","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Private for-profit wage and salary workers!!Self-employed in own incorporated business workers","Estimate!!Total!!Public transportation (excluding taxicab)!!Private not-for-profit wage and salary workers","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Private not-for-profit wage and salary workers","Estimate!!Total!!Public transportation (excluding taxicab)!!Local government workers","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Local government workers","Estimate!!Total!!Public transportation (excluding taxicab)!!State government workers","Margin of Error!!Total!!Public transportation (excluding taxicab)!!State government workers","Estimate!!Total!!Public transportation (excluding taxicab)!!Federal government workers","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Federal government workers","Estimate!!Total!!Public transportation (excluding taxicab)!!Self-employed in own not incorporated business workers","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Self-employed in own not incorporated business workers","Estimate!!Total!!Public transportation (excluding taxicab)!!Unpaid family workers","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Unpaid family workers","Estimate!!Total!!Walked","Margin of Error!!Total!!Walked","Estimate!!Total!!Walked!!Private for-profit wage and salary workers","Margin of Error!!Total!!Walked!!Private for-profit wage and salary workers","Estimate!!Total!!Walked!!Private for-profit wage and salary workers!!Employee of private company workers","Margin of Error!!Total!!Walked!!Private for-profit wage and salary workers!!Employee of private company workers","Estimate!!Total!!Walked!!Private for-profit wage and salary workers!!Self-employed in own incorporated business workers","Margin of Error!!Total!!Walked!!Private for-profit wage and salary workers!!Self-employed in own incorporated business workers","Estimate!!Total!!Walked!!Private not-for-profit wage and salary workers","Margin of Error!!Total!!Walked!!Private not-for-profit wage and salary workers","Estimate!!Total!!Walked!!Local government workers","Margin of Error!!Total!!Walked!!Local government workers","Estimate!!Total!!Walked!!State government workers","Margin of Error!!Total!!Walked!!State government workers","Estimate!!Total!!Walked!!Federal government workers","Margin of Error!!Total!!Walked!!Federal government workers","Estimate!!Total!!Walked!!Self-employed in own not incorporated business workers","Margin of Error!!Total!!Walked!!Self-employed in own not incorporated business workers","Estimate!!Total!!Walked!!Unpaid family workers","Margin of Error!!Total!!Walked!!Unpaid family workers","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means","Margin of Error!!Total!!Taxicab, motorcycle, bicycle, or other means","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means!!Private for-profit wage and salary workers","Margin of Error!!Total!!Taxicab, motorcycle, bicycle, or other means!!Private for-profit wage and salary workers","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means!!Private for-profit wage and salary workers!!Employee of private company workers","Margin of Error!!Total!!Taxicab, motorcycle, bicycle, or other means!!Private for-profit wage and salary workers!!Employee of private company workers","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means!!Private for-profit wage and salary workers!!Self-employed in own incorporated business workers","Margin of Error!!Total!!Taxicab, motorcycle, bicycle, or other means!!Private for-profit wage and salary workers!!Self-employed in own incorporated business workers","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means!!Private not-for-profit wage and salary workers","Margin of Error!!Total!!Taxicab, motorcycle, bicycle, or other means!!Private not-for-profit wage and salary workers","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means!!Local government workers","Margin of Error!!Total!!Taxicab, motorcycle, bicycle, or other means!!Local government workers","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means!!State government workers","Margin of Error!!Total!!Taxicab, motorcycle, bicycle, or other means!!State government workers","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means!!Federal government workers","Margin of Error!!Total!!Taxicab, motorcycle, bicycle, or other means!!Federal government workers","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means!!Self-employed in own not incorporated business workers","Margin of Error!!Total!!Taxicab, motorcycle, bicycle, or other means!!Self-employed in own not incorporated business workers","Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means!!Unpaid family workers","Margin of Error!!Total!!Taxicab, motorcycle, bicycle, or other means!!Unpaid family workers","Estimate!!Total!!Worked at home","Margin of Error!!Total!!Worked at home","Estimate!!Total!!Worked at home!!Private for-profit wage and salary workers","Margin of Error!!Total!!Worked at home!!Private for-profit wage and salary workers","Estimate!!Total!!Worked at home!!Private for-profit wage and salary workers!!Employee of private company workers","Margin of Error!!Total!!Worked at home!!Private for-profit wage and salary workers!!Employee of private company workers","Estimate!!Total!!Worked at home!!Private for-profit wage and salary workers!!Self-employed in own incorporated business workers","Margin of Error!!Total!!Worked at home!!Private for-profit wage and salary workers!!Self-employed in own incorporated business workers","Estimate!!Total!!Worked at home!!Private not-for-profit wage and salary workers","Margin of Error!!Total!!Worked at home!!Private not-for-profit wage and salary workers","Estimate!!Total!!Worked at home!!Local government workers","Margin of Error!!Total!!Worked at home!!Local government workers","Estimate!!Total!!Worked at home!!State government workers","Margin of Error!!Total!!Worked at home!!State government workers","Estimate!!Total!!Worked at home!!Federal government workers","Margin of Error!!Total!!Worked at home!!Federal government workers","Estimate!!Total!!Worked at home!!Self-employed in own not incorporated business workers","Margin of Error!!Total!!Worked at home!!Self-employed in own not incorporated business workers","Estimate!!Total!!Worked at home!!Unpaid family workers","Margin of Error!!Total!!Worked at home!!Unpaid family workers"
"0500000US36095","Schoharie County, New York","10796","491","5932","372","5568","376","364","93","921","144","1549","216","1236","188","109","42","996","152","53","40","8255","478","4676","358","4465","347","211","69","694","132","1216","178","1043","171","100","40","509","110","17","22","932","175","420","109","402","109","18","13","125","62","210","92","89","53","6","6","76","31","6","10","37","18","19","12","19","12","0","24","15","17","3","4","0","24","0","24","0","24","0","24","806","178","507","137","474","133","33","24","60","53","46","37","84","46","0","24","102","57","7","6","103","55","41","37","41","37","0","24","6","7","4","6","0","24","0","24","45","42","7","10","663","147","269","70","167","48","102","52","21","19","70","59","20","18","3","4","264","73","16","26"
"0500000US36067","Onondaga County, New York","247319","2125","170284","2098","163855","1996","6429","490","27636","953","17211","806","15757","746","5196","392","11036","612","199","96","200523","2312","138680","2000","133803","1960","4877","420","21832","887","15007","696","13528","762","4512","371","6861","515","103","71","19490","1035","13829","865","13423","835","406","123","2074","301","1165","221","1235","204","382","110","768","207","37","29","7001","546","5118","501","5058","492","60","72","1096","230","325","112","233","81","106","82","123","54","0","27","8789","655","5809","584","5670","576","139","59","1445","185","458","135","523","140","73","54","470","129","11","18","2476","342","2005","324","1923","326","82","57","247","93","74","45","72","40","11","13","58","33","9","15","9040","593","4843","466","3978","407","865","180","942","200","182","81","166","75","112","67","2756","320","39","38"
"0500000US36019","Clinton County, New York","34981","933","22008","835","21044","807","964","233","3106","396","3038","329","4038","370","903","224","1847","242","41","35","28139","938","17737","753","17045","735","692","191","2534","332","2530","280","3175","332","870","225","1260","216","33","33","3189","473","2063","390","2016","385","47","39","368","137","283","110","321","104","18","26","129","75","7","10","268","146","202","138","202","138","0","27","0","27","10","14","56","67","0","27","0","27","0","27","1343","292","714","222","642","213","72","86","43","38","130","79","363","152","0","27","92","53","1","3","1087","267","801","239","801","239","0","27","137","98","49","38","60","58","3","7","37","41","0","27","955","188","491","136","338","102","153","93","24","30","36","34","63","56","12","15","329","107","0","27"
"0500000US36099","Seneca County, New York","14247","663","8970","573","8566","568","404","102","1280","163","1092","199","1678","245","166","73","1028","141","33","21","11411","596","7195","532","6961","523","234","77","1059","146","972","175","1529","242","141","68","495","87","20","18","1123","176","801","170","782","168","19","17","84","37","53","31","105","43","2","4","72","38","6","8","71","36","25","20","25","20","0","24","46","31","0","24","0","24","0","24","0","24","0","24","554","124","333","100","294","96","39","28","36","28","28","20","3","7","8","10","146","55","0","24","439","149","353","137","353","137","0","24","9","14","32","60","15","21","0","24","30","33","0","24","649","108","263","73","151","51","112","48","46","23","7","13","26","23","15","17","285","64","7","8"
"0500000US36079","Putnam County, New York","28155","1155","19186","990","17444","943","1742","310","2824","390","3074","394","852","161","260","95","1897","289","62","45","21759","910","14437","785","13261","769","1176","224","2316","330","2846","374","798","160","228","91","1109","215","25","24","2549","391","2001","359","1908","351","93","54","221","121","127","59","20","25","5","9","175","87","0","27","522","188","439","194","391","184","48","50","42","33","10","19","2","4","0","27","29","33","0","27","450","163","368","146","339","143","29","25","52","50","0","27","24","24","0","27","0","27","6","12","316","129","250","122","250","122","0","27","34","29","14","12","0","27","0","27","18","21","0","27","2559","411","1691","319","1295","268","396","141","159","76","77","53","8","13","27","30","566","148","31","35"
"0500000US36033","Franklin County, New York","19704","793","8735","516","8221","506","514","127","3180","315","2409","283","3298","391","380","132","1555","204","147","106","15281","694","6855","455","6539","460","316","91","2498","282","2013","252","2741","339","341","122","789","168","44","49","2188","391","905","196","879","182","26","28","325","121","289","133","442","176","26","19","148","53","53","80","64","51","25","26","25","26","0","27","15","22","3","8","21","26","0","27","0","27","0","27","858","171","469","118","403","114","66","36","200","99","43","27","42","34","1","3","71","27","32","57","222","132","160","121","110","60","50","73","16","15","34","30","0","27","0","27","10","9","2","3","1091","193","321","82","265","80","56","32","126","70","27","15","52","33","12","13","537","147","16","13"
"0500000US36069","Ontario County, New York","53393","1191","36611","1077","35107","1077","1504","255","6486","537","3963","324","1945","266","1481","273","2815","294","92","47","43895","1063","30067","1011","28966","992","1101","231","5335","456","3615","332","1755","251","1409","277","1677","224","37","26","4477","481","3476","423","3359","405","117","79","421","115","212","65","116","49","42","29","201","83","9","14","376","108","227","87","227","87","0","27","94","59","32","32","0","27","0","27","23","31","0","27","1764","257","1192","230","1150","227","42","35","291","94","65","54","45","45","18","18","141","61","12","15","402","118","282","91","271","91","11","17","68","57","9","12","0","27","8","7","35","46","0","27","2479","326","1367","263","1134","253","233","91","277","115","30","23","29","31","4","9","738","179","34","33"
"0500000US36081","Queens County, New York","733136","5445","498537","5324","467143","5193","31394","1349","56421","1610","94138","2376","20493","904","16943","939","45603","1403","1001","210","325854","3700","207588","3238","192040","3066","15548","876","24179","1078","53927","1721","11487","698","10101","719","18305","977","267","93","53867","1925","37493","1588","33752","1382","3741","428","4365","435","6886","575","1167","214","903","206","2858","386","195","91","249905","3886","180103","3141","175604","3020","4499","450","20031","962","26808","1345","6283","560","4758","474","11684","768","238","118","59529","1800","44499","1605","42457","1627","2042","323","5272","538","4339","466","960","168","633","197","3746","462","80","37","15558","904","11343","704","10659","689","684","160","960","186","1230","227","350","111","228","111","1390","266","57","43","28423","1341","17511","1070","12631","907","4880","613","1614","238","948","182","246","121","320","88","7620","573","164","89"
"0500000US36101","Steuben County, New York","41451","877","27354","763","26400","749","954","132","4795","353","3433","340","2186","223","745","123","2857","298","81","35","33669","886","22832","742","22195","728","637","85","3862","313","2874","281","1888","205","687","118","1509","194","17","11","3873","344","2429","262","2353","259","76","40","527","142","384","179","266","70","30","19","231","80","6","10","160","68","67","43","67","43","0","27","67","48","24","28","0","27","0","27","2","3","0","27","1626","243","986","216","916","214","70","35","180","95","124","57","11","9","6","7","308","103","11","12","656","156","446","125","401","108","45","42","69","42","14","18","3","4","4","6","92","60","28","22","1467","243","594","136","468","126","126","62","90","41","13","10","18","17","18","21","715","163","19","22"
"0500000US36041","Hamilton County, New York","1580","154","636","105","588","104","48","22","186","61","374","84","260","82","6","7","115","40","3","4","1246","130","480","93","445","94","35","18","146","54","304","76","242","79","5","7","69","29","0","11","107","40","60","26","60","26","0","11","1","2","23","26","18","19","1","2","4","5","0","11","3","6","0","11","0","11","0","11","2","6","1","2","0","11","0","11","0","11","0","11","80","47","45","42","38","41","7","6","27","22","7","7","0","11","0","11","1","3","0","11","80","60","38","36","34","35","4","5","0","11","39","35","0","11","0","11","3","3","0","11","64","27","13","7","11","6","2","3","10","13","0","11","0","11","0","11","38","26","3","4"
"0500000US36115","Washington County, New York","17999","851","10221","564","9441","530","780","185","1304","199","2418","318","1987","257","185","69","1827","263","57","42","14431","756","8264","519","7778","529","486","125","1150","200","2118","302","1787","227","140","63","960","168","12","14","1190","234","666","164","566","142","100","79","64","32","203","100","91","47","21","25","137","78","8","10","250","121","182","117","174","115","8","12","6","8","0","27","16","25","11","17","35","41","0","27","776","155","351","106","320","100","31","27","58","35","82","37","57","73","3","7","203","85","22","33","165","63","135","62","120","59","15","14","14","22","0","27","13","14","0","27","3","4","0","27","1187","227","623","181","483","140","140","114","12","12","15","12","23","22","10","12","489","135","15","17"
"0500000US36013","Chautauqua County, New York","54411","906","34610","940","33200","953","1410","238","6131","436","5533","460","3840","338","385","109","3797","359","115","45","44157","975","28445","869","27299","868","1146","231","5120","414","4901","428","3165","315","313","93","2147","266","66","35","4903","453","3261","366","3211","369","50","33","469","126","439","138","314","101","50","41","368","110","2","4","197","76","67","36","63","35","4","5","73","47","0","27","29","22","0","27","28","31","0","27","2385","319","1638","290","1553","288","85","60","232","87","97","42","183","70","18","19","206","58","11","9","691","149","430","127","392","127","38","36","32","23","25","24","97","44","0","27","96","61","11","16","2078","281","769","188","682","177","87","39","205","83","71","45","52","30","4","8","952","216","25","24"
"0500000US36047","Kings County, New York","866790","4943","555908","4460","516186","4451","39722","1496","84513","2007","122343","2725","25742","1061","12854","834","64262","1936","1168","229","264603","3418","158602","2562","143446","2449","15156","828","22137","927","52853","1743","10130","590","5624","498","14855","777","402","143","52761","1728","33050","1367","29100","1258","3950","425","5145","540","9178","853","1484","242","801","174","2962","406","141","74","369606","3765","250802","3105","244065","3171","6737","587","35546","1590","47957","1585","11144","774","4854","534","19072","1103","231","99","100174","2507","66272","1995","62023","1934","4249","430","15621","931","8709","684","2094","327","974","217","6398","603","106","58","27528","1240","18974","1024","17280","916","1694","442","2497","334","2206","339","456","120","309","127","3044","419","42","25","52118","1449","28208","1150","20272","964","7936","693","3567","353","1440","281","434","120","292","132","17931","850","246","91"
"0500000US36061","New York County, New York","2567299","10799","1935939","9408","1852803","9463","83136","2273","251097","4538","153150","3066","49285","1618","42265","1442","133498","3104","2065","406","253015","4208","165779","3011","152301","2889","13478","877","21634","1074","33897","1500","8368","677","6012","445","17175","1145","150","97","58523","2011","40569","1752","36763","1608","3806","486","5699","502","5397","527","1523","306","1462","330","3815","464","58","46","1942280","9482","1511374","8662","1469853","8557","41521","1517","184479","3856","103938","2431","35991","1341","30761","1230","74435","2057","1302","303","186810","4019","135310","3234","125331","3074","9979","997","27427","1524","6414","755","2196","338","2626","456","12576","1107","261","179","66177","2517","48981","2198","44740","2154","4241","479","7060","740","2424","463","861","245","930","204","5884","695","37","30","60494","2129","33926","1602","23815","1406","10111","885","4798","515","1080","315","346","142","474","184","19613","1301","257","152"
"0500000US36107","Tioga County, New York","14756","552","10767","498","10466","484","301","110","1054","205","1095","165","568","111","261","102","989","192","22","21","12172","477","9056","420","8855","427","201","92","801","176","948","153","489","107","247","102","617","147","14","17","1351","200","961","183","947","188","14","21","139","82","132","53","45","28","6","8","60","43","8","12","31","23","28","23","28","23","0","24","0","24","0","24","0","24","0","24","3","4","0","24","386","101","290","98","281","98","9","13","51","35","2","3","9","13","2","3","32","21","0","24","181","72","127","66","110","62","17","18","13","17","8","12","13","21","0","24","20","23","0","24","635","142","305","108","245","88","60","61","50","25","5","9","12","16","6","10","257","94","0","24"
"0500000US36011","Cayuga County, New York","27769","778","17335","667","16455","676","880","149","3138","317","2640","242","2344","305","234","83","2028","220","50","31","22680","723","14033","604","13335","628","698","132","2567","274","2350","219","2190","283","210","79","1299","191","31","25","1851","238","1298","213","1277","209","21","17","194","66","174","53","107","58","7","11","71","34","0","27","191","93","122","79","122","79","0","27","8","7","52","47","9","15","0","27","0","27","0","27","1401","261","1000","217","948","211","52","32","223","110","21","14","10","16","8","10","128","63","11","17","423","124","327","115","303","107","24","29","39","30","10","10","11","18","0","27","36","23","0","27","1223","152","555","111","470","104","85","48","107","43","33","29","17","17","9","21","494","112","8","11"
"0500000US36073","Orleans County, New York","13750","755","8451","688","8120","693","331","108","1158","196","1460","234","1738","301","115","45","814","162","14","16","10926","732","6642","615","6414","601","228","89","905","181","1286","226","1524","295","88","42","481","134","0","24","1243","214","953","206","934","205","19","29","26","24","93","51","149","72","0","24","17","20","5","7","100","89","9","16","9","16","0","24","37","30","54","84","0","24","0","24","0","24","0","24","478","136","270","106","218","101","52","44","91","57","27","26","47","41","8","11","32","19","3","4","439","212","367","185","351","187","16","18","59","62","0","24","13","22","0","24","0","24","0","24","564","130","210","82","194","81","16","13","40","47","0","24","5","8","19","18","284","99","6","9"
"0500000US36091","Saratoga County, New York","95766","1868","68292","1793","64474","1735","3818","520","8370","567","6860","534","3503","391","2801","472","5864","567","76","45","77959","1752","55595","1582","53241","1518","2354","375","7114","534","6194","535","3171","365","2283","424","3581","444","21","21","7564","719","5672","590","5186","602","486","291","513","136","414","146","211","81","403","188","332","131","19","31","433","155","346","143","341","143","5","7","59","59","0","27","4","7","0","27","24","40","0","27","2005","347","1288","261","1178","243","110","66","312","122","179","74","31","25","72","69","118","80","5","8","751","193","579","184","513","167","66","84","6","9","16","22","24","28","0","27","110","89","16","25","7054","580","4812","519","4015","457","797","211","366","109","57","50","62","36","43","35","1699","311","15","16"
"0500000US36087","Rockland County, New York","117212","2150","77707","1651","71499","1657","6208","534","16223","985","9728","752","5591","528","771","203","7115","623","77","45","85364","1906","56879","1471","52807","1458","4072","440","10970","781","8251","639","4834","469","650","194","3740","362","40","29","12143","830","8294","679","7869","673","425","126","2044","363","790","268","488","153","70","41","457","175","0","27","5330","610","4265","589","4198","586","67","55","632","155","182","94","34","28","9","15","208","85","0","27","4714","421","2583","345","2470","335","113","71","1485","254","227","96","45","36","11","15","347","147","16","27","2431","365","1490","278","1428","270","62","53","516","182","63","41","100","60","0","27","262","128","0","27","7230","538","4196","396","2727","362","1469","229","576","156","215","107","90","53","31","30","2101","284","21","18"
"0500000US36021","Columbia County, New York","24070","858","14444","734","13181","681","1263","198","3056","336","2481","292","1503","289","147","65","2385","313","54","28","18693","785","11247","667","10526","642","721","138","2431","311","2282","284","1247","236","115","59","1337","220","34","25","1738","277","963","176","929","174","34","24","278","106","106","54","183","144","8","9","200","89","0","27","178","102","94","65","91","65","3","4","52","59","0","27","5","9","0","27","27","44","0","27","1200","187","819","161","720","154","99","38","119","63","62","30","6","8","10","15","181","71","3","3","283","109","215","92","215","92","0","27","28","40","8","14","32","33","0","27","0","27","0","27","1978","281","1106","221","700","170","406","131","148","68","23","21","30","23","14","17","640","129","17","17"
"0500000US36049","Lewis County, New York","8619","356","4480","257","4205","251","275","73","918","156","1394","154","547","127","89","43","1134","159","57","29","6545","364","3531","262","3367","257","164","50","774","135","1202","151","446","114","76","41","511","100","5","5","794","152","414","118","391","119","23","23","56","39","159","59","87","54","0","21","78","49","0","21","77","59","63","57","63","57","0","21","6","7","8","12","0","21","0","21","0","21","0","21","553","162","204","66","144","65","60","25","61","46","9","10","0","21","10","14","232","135","37","25","86","30","51","24","50","24","1","2","0","21","10","8","0","21","0","21","25","18","0","21","564","144","217","97","190","94","27","29","21","16","6","5","14","13","3","5","288","81","15","11"
