"GEO_ID","NAME","B19001A_001E","B19001A_001M","B19001A_002E","B19001A_002M","B19001A_003E","B19001A_003M","B19001A_004E","B19001A_004M","B19001A_005E","B19001A_005M","B19001A_006E","B19001A_006M","B19001A_007E","B19001A_007M","B19001A_008E","B19001A_008M","B19001A_009E","B19001A_009M","B19001A_010E","B19001A_010M","B19001A_011E","B19001A_011M","B19001A_012E","B19001A_012M","B19001A_013E","B19001A_013M","B19001A_014E","B19001A_014M","B19001A_015E","B19001A_015M","B19001A_016E","B19001A_016M","B19001A_017E","B19001A_017M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $44,999","Margin of Error!!Total!!$40,000 to $44,999","Estimate!!Total!!$45,000 to $49,999","Margin of Error!!Total!!$45,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $74,999","Margin of Error!!Total!!$60,000 to $74,999","Estimate!!Total!!$75,000 to $99,999","Margin of Error!!Total!!$75,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $199,999","Margin of Error!!Total!!$150,000 to $199,999","Estimate!!Total!!$200,000 or more","Margin of Error!!Total!!$200,000 or more"
"0500000US36095","Schoharie County, New York","12340","303","599","124","763","138","547","90","683","155","563","120","722","136","702","127","677","164","463","78","1000","132","1297","148","1675","183","1118","156","599","134","565","95","367","92"
"0500000US36067","Onondaga County, New York","156330","873","7911","408","6333","506","6873","472","6544","493","6944","443","6417","507","6481","452","6233","459","6308","432","12807","613","16253","646","21578","892","15548","605","11085","564","10350","594","8665","472"
"0500000US36019","Clinton County, New York","30290","509","1910","301","1517","278","1451","266","1546","205","1622","319","1458","225","1376","247","1375","268","1212","177","2545","319","3557","393","4080","380","2939","353","1396","247","1561","265","745","171"
"0500000US36099","Seneca County, New York","12987","250","554","132","593","138","738","152","710","113","666","124","784","157","507","117","554","127","654","126","1158","176","1596","205","1922","220","1103","146","593","130","483","100","372","85"
"0500000US36079","Putnam County, New York","31626","477","556","149","709","186","828","222","770","191","720","183","856","163","983","218","607","151","752","183","1604","281","2821","340","3973","385","3723","425","3250","335","4247","413","5227","384"
"0500000US36033","Franklin County, New York","17364","394","1274","206","1299","194","887","157","867","149","923","154","771","158","763","136","863","142","727","146","1451","190","1931","240","2316","201","1409","180","802","118","587","125","494","109"
"0500000US36069","Ontario County, New York","42048","563","1578","203","1429","236","1761","216","1945","296","1814","262","2005","275","1905","254","2124","285","1706","272","3270","377","4366","355","6027","434","4218","417","3126","449","2315","278","2459","283"
"0500000US36081","Queens County, New York","351000","2400","18108","1076","14547","798","14630","853","14965","827","13664","912","14426","821","12514","667","13380","647","11545","723","24645","1179","35171","1262","46779","1369","34030","944","25423","1017","30491","931","26682","993"
"0500000US36101","Steuben County, New York","38766","450","2294","278","2259","237","2100","217","2239","259","2163","226","2300","229","1780","201","1981","211","1801","183","3532","264","4166","283","4878","304","3049","233","1734","210","1425","163","1065","141"
