"GEO_ID","NAME","B19001B_001E","B19001B_001M","B19001B_002E","B19001B_002M","B19001B_003E","B19001B_003M","B19001B_004E","B19001B_004M","B19001B_005E","B19001B_005M","B19001B_006E","B19001B_006M","B19001B_007E","B19001B_007M","B19001B_008E","B19001B_008M","B19001B_009E","B19001B_009M","B19001B_010E","B19001B_010M","B19001B_011E","B19001B_011M","B19001B_012E","B19001B_012M","B19001B_013E","B19001B_013M","B19001B_014E","B19001B_014M","B19001B_015E","B19001B_015M","B19001B_016E","B19001B_016M","B19001B_017E","B19001B_017M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $44,999","Margin of Error!!Total!!$40,000 to $44,999","Estimate!!Total!!$45,000 to $49,999","Margin of Error!!Total!!$45,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $74,999","Margin of Error!!Total!!$60,000 to $74,999","Estimate!!Total!!$75,000 to $99,999","Margin of Error!!Total!!$75,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $199,999","Margin of Error!!Total!!$150,000 to $199,999","Estimate!!Total!!$200,000 or more","Margin of Error!!Total!!$200,000 or more"
"0500000US36095","Schoharie County, New York","74","23","13","18","5","7","0","25","0","25","2","3","4","7","0","25","0","25","0","25","0","25","16","14","14","14","18","18","2","5","0","25","0","25"
"0500000US36067","Onondaga County, New York","18814","472","2980","324","2075","295","1516","269","1040","202","1304","238","1367","228","1096","206","834","176","1043","226","1208","215","1041","199","1459","224","810","176","443","133","410","132","188","79"
"0500000US36019","Clinton County, New York","221","95","6","11","12","15","0","28","0","28","0","28","27","39","18","21","18","17","29","30","20","19","41","46","10","20","12","18","15","24","13","15","0","28"
"0500000US36099","Seneca County, New York","137","189","0","25","4","8","0","25","35","99","5","14","21","59","12","16","3","8","17","26","5","8","0","25","18","18","14","37","0","25","0","25","3","5"
"0500000US36079","Putnam County, New York","831","143","30","46","0","28","0","28","0","28","95","66","0","28","0","28","27","32","42","64","26","42","85","57","115","57","97","69","47","40","68","57","199","83"
"0500000US36033","Franklin County, New York","171","96","48","41","50","71","0","28","0","28","0","28","0","28","0","28","19","31","0","28","9","15","10","16","13","21","22","37","0","28","0","28","0","28"
"0500000US36069","Ontario County, New York","938","165","92","56","97","59","92","58","108","65","58","63","27","36","82","58","62","50","107","95","28","28","92","64","46","53","12","14","0","28","35","32","0","28"
"0500000US36081","Queens County, New York","137307","1669","8414","602","6526","574","5269","502","5531","438","4916","501","5249","520","5524","565","5820","462","5215","490","9946","660","13750","755","19851","1037","13395","693","9910","653","10971","678","7020","508"
"0500000US36101","Steuben County, New York","471","75","40","39","65","39","27","27","20","22","23","24","3","4","52","48","5","7","28","22","5","7","42","32","24","21","88","55","25","26","23","32","1","3"
