"GEO_ID","NAME","B19001C_001E","B19001C_001M","B19001C_002E","B19001C_002M","B19001C_003E","B19001C_003M","B19001C_004E","B19001C_004M","B19001C_005E","B19001C_005M","B19001C_006E","B19001C_006M","B19001C_007E","B19001C_007M","B19001C_008E","B19001C_008M","B19001C_009E","B19001C_009M","B19001C_010E","B19001C_010M","B19001C_011E","B19001C_011M","B19001C_012E","B19001C_012M","B19001C_013E","B19001C_013M","B19001C_014E","B19001C_014M","B19001C_015E","B19001C_015M","B19001C_016E","B19001C_016M","B19001C_017E","B19001C_017M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $44,999","Margin of Error!!Total!!$40,000 to $44,999","Estimate!!Total!!$45,000 to $49,999","Margin of Error!!Total!!$45,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $74,999","Margin of Error!!Total!!$60,000 to $74,999","Estimate!!Total!!$75,000 to $99,999","Margin of Error!!Total!!$75,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $199,999","Margin of Error!!Total!!$150,000 to $199,999","Estimate!!Total!!$200,000 or more","Margin of Error!!Total!!$200,000 or more"
"0500000US36095","Schoharie County, New York","5","7","5","7","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25"
"0500000US36067","Onondaga County, New York","1172","152","141","75","163","77","80","62","22","25","38","35","23","26","129","47","47","54","11","17","130","102","101","54","78","60","91","57","28","34","25","39","65","50"
"0500000US36019","Clinton County, New York","123","56","25","27","0","28","29","43","0","28","0","28","0","28","0","28","0","28","7","11","10","15","8","14","44","48","0","28","0","28","0","28","0","28"
"0500000US36099","Seneca County, New York","42","19","10","14","0","25","8","11","3","5","0","25","0","25","0","25","0","25","0","25","3","7","13","14","4","5","1","2","0","25","0","25","0","25"
"0500000US36079","Putnam County, New York","94","74","0","28","4","7","0","28","12","20","8","14","10","15","0","28","0","28","0","28","44","60","0","28","16","24","0","28","0","28","0","28","0","28"
"0500000US36033","Franklin County, New York","1237","174","121","139","145","118","81","82","87","86","37","43","0","28","52","72","41","62","104","85","98","83","117","122","242","129","10","11","3","5","96","86","3","5"
"0500000US36069","Ontario County, New York","165","96","28","27","0","28","33","44","0","28","0","28","0","28","0","28","10","15","0","28","0","28","3","5","91","74","0","28","0","28","0","28","0","28"
"0500000US36081","Queens County, New York","3237","361","102","58","250","120","200","112","125","79","300","168","230","111","92","62","105","67","94","76","309","132","340","166","460","118","251","106","80","44","202","112","97","51"
"0500000US36101","Steuben County, New York","28","18","0","28","2","3","6","10","0","28","2","3","0","28","11","13","0","28","0","28","0","28","4","7","3","5","0","28","0","28","0","28","0","28"
