"GEO_ID","NAME","B19001H_001E","B19001H_001M","B19001H_002E","B19001H_002M","B19001H_003E","B19001H_003M","B19001H_004E","B19001H_004M","B19001H_005E","B19001H_005M","B19001H_006E","B19001H_006M","B19001H_007E","B19001H_007M","B19001H_008E","B19001H_008M","B19001H_009E","B19001H_009M","B19001H_010E","B19001H_010M","B19001H_011E","B19001H_011M","B19001H_012E","B19001H_012M","B19001H_013E","B19001H_013M","B19001H_014E","B19001H_014M","B19001H_015E","B19001H_015M","B19001H_016E","B19001H_016M","B19001H_017E","B19001H_017M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $44,999","Margin of Error!!Total!!$40,000 to $44,999","Estimate!!Total!!$45,000 to $49,999","Margin of Error!!Total!!$45,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $74,999","Margin of Error!!Total!!$60,000 to $74,999","Estimate!!Total!!$75,000 to $99,999","Margin of Error!!Total!!$75,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $199,999","Margin of Error!!Total!!$150,000 to $199,999","Estimate!!Total!!$200,000 or more","Margin of Error!!Total!!$200,000 or more"
"0500000US36095","Schoharie County, New York","12154","295","596","124","746","137","543","91","679","154","551","117","712","136","687","127","677","164","463","78","977","134","1268","153","1632","177","1108","154","595","134","553","94","367","92"
"0500000US36067","Onondaga County, New York","152300","873","7347","406","5938","484","6676","465","6280","487","6675","444","6309","496","6324","446","6170","457","6157","441","12437","586","15775","623","21195","881","15383","595","10861","545","10188","591","8585","470"
"0500000US36019","Clinton County, New York","30154","498","1910","301","1507","278","1442","264","1546","205","1609","322","1456","225","1376","247","1369","269","1212","177","2516","316","3539","391","4054","380","2928","354","1390","248","1555","265","745","171"
"0500000US36099","Seneca County, New York","12825","234","516","119","593","138","724","149","688","112","666","124","774","156","486","115","550","128","650","126","1157","176","1579","200","1894","217","1103","146","593","130","483","100","369","83"
"0500000US36079","Putnam County, New York","29501","425","519","151","702","184","716","194","651","169","663","172","758","147","888","203","574","145","718","182","1425","265","2669","335","3667","395","3485","415","3035","322","4019","398","5012","376"
"0500000US36033","Franklin County, New York","17289","391","1272","206","1299","194","875","158","851","148","921","153","771","158","762","137","863","142","721","146","1437","189","1931","240","2302","198","1409","180","794","118","587","125","494","109"
"0500000US36069","Ontario County, New York","41341","565","1513","206","1419","235","1660","210","1933","297","1768","263","1902","258","1859","247","2115","284","1680","273","3224","375","4283","353","5998","439","4155","414","3084","447","2298","276","2450","284"
"0500000US36081","Queens County, New York","254607","1597","12711","839","10278","669","10563","651","10306","590","9122","665","9371","635","8442","504","9028","544","7712","573","16600","873","24723","1034","33811","1045","26270","875","19151","816","23761","823","22758","898"
"0500000US36101","Steuben County, New York","38417","442","2232","280","2257","237","2094","216","2189","248","2157","227","2295","230","1777","201","1971","208","1801","183","3493","264","4137","285","4798","298","3037","234","1722","208","1425","163","1032","142"
"0500000US36041","Hamilton County, New York","1113","87","58","25","42","20","53","26","68","31","38","15","72","27","52","21","60","31","40","15","116","36","153","35","150","32","91","23","45","20","42","15","33","14"
"0500000US36115","Washington County, New York","23329","457","1127","254","1291","223","1238","238","1207","168","1342","251","909","158","979","187","1212","206","1449","231","2013","245","2567","332","3299","352","1946","259","1106","179","1074","159","570","116"
"0500000US36013","Chautauqua County, New York","48384","647","3124","312","3211","371","3247","284","3083","311","2785","319","2716","273","2493","309","2494","244","2322","234","4135","348","4638","332","6263","366","3851","323","1875","257","1289","192","858","134"
