"GEO_ID","NAME","B19001I_001E","B19001I_001M","B19001I_002E","B19001I_002M","B19001I_003E","B19001I_003M","B19001I_004E","B19001I_004M","B19001I_005E","B19001I_005M","B19001I_006E","B19001I_006M","B19001I_007E","B19001I_007M","B19001I_008E","B19001I_008M","B19001I_009E","B19001I_009M","B19001I_010E","B19001I_010M","B19001I_011E","B19001I_011M","B19001I_012E","B19001I_012M","B19001I_013E","B19001I_013M","B19001I_014E","B19001I_014M","B19001I_015E","B19001I_015M","B19001I_016E","B19001I_016M","B19001I_017E","B19001I_017M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $44,999","Margin of Error!!Total!!$40,000 to $44,999","Estimate!!Total!!$45,000 to $49,999","Margin of Error!!Total!!$45,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $74,999","Margin of Error!!Total!!$60,000 to $74,999","Estimate!!Total!!$75,000 to $99,999","Margin of Error!!Total!!$75,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $199,999","Margin of Error!!Total!!$150,000 to $199,999","Estimate!!Total!!$200,000 or more","Margin of Error!!Total!!$200,000 or more"
"0500000US36095","Schoharie County, New York","222","43","3","5","17","14","4","5","7","7","12","15","13","10","15","18","0","25","0","25","28","20","37","22","43","26","24","15","7","6","12","12","0","25"
"0500000US36067","Onondaga County, New York","6320","288","1098","175","623","154","353","89","401","137","356","116","228","92","270","81","109","68","250","105","557","132","661","196","549","148","243","68","304","117","203","79","115","49"
"0500000US36019","Clinton County, New York","225","59","0","28","17","19","18","21","11","18","15","20","2","4","0","28","25","26","12","18","29","29","22","21","32","28","11","12","14","13","17","17","0","28"
"0500000US36099","Seneca County, New York","237","91","44","52","25","34","14","23","22","20","0","25","10","17","51","43","4","11","7","7","1","4","17","22","37","33","2","5","0","25","0","25","3","6"
"0500000US36079","Putnam County, New York","3729","273","91","58","35","32","191","129","244","151","125","82","149","74","184","104","84","54","53","51","345","132","256","103","533","146","396","155","356","108","380","109","307","104"
"0500000US36033","Franklin County, New York","161","80","32","48","0","28","12","19","16","24","2","4","11","18","1","4","0","28","12","14","36","33","0","28","19","24","11","18","9","12","0","28","0","28"
"0500000US36069","Ontario County, New York","1364","132","135","69","65","37","139","78","88","69","115","74","123","80","129","78","57","38","47","30","64","44","138","57","116","63","80","51","42","32","17","25","9","15"
"0500000US36081","Queens County, New York","188480","1629","11063","802","8422","664","8455","785","9026","717","9497","728","9648","798","9340","630","9029","615","7860","664","16469","1067","19884","1028","24689","1191","15584","916","11283","634","11539","825","6692","493"
"0500000US36101","Steuben County, New York","426","91","62","61","36","27","6","6","50","51","6","10","15","19","9","14","10","11","0","28","49","39","29","32","85","45","15","14","21","19","0","28","33","34"
