"GEO_ID","NAME","B19013C_001E","B19013C_001M"
"id","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)"
"0500000US36095","Schoharie County, New York","-","**"
"0500000US36067","Onondaga County, New York","39747","6191"
"0500000US36019","Clinton County, New York","-","**"
"0500000US36099","Seneca County, New York","-","**"
"0500000US36079","Putnam County, New York","55739","26999"
"0500000US36033","Franklin County, New York","46747","13027"
"0500000US36069","Ontario County, New York","75850","59360"
"0500000US36081","Queens County, New York","52410","7098"
"0500000US36101","Steuben County, New York","37813","10754"
"0500000US36041","Hamilton County, New York","-","**"
"0500000US36115","Washington County, New York","-","**"
"0500000US36013","Chautauqua County, New York","-","**"
"0500000US36047","Kings County, New York","43401","6822"
"0500000US36061","New York County, New York","41650","13817"
"0500000US36107","Tioga County, New York","90265","71566"
"0500000US36011","Cayuga County, New York","41875","16594"
"0500000US36073","Orleans County, New York","-","**"
"0500000US36091","Saratoga County, New York","108125","50470"
"0500000US36087","Rockland County, New York","150341","49777"
"0500000US36021","Columbia County, New York","103750","68936"
"0500000US36049","Lewis County, New York","73500","18410"
"0500000US36063","Niagara County, New York","38456","6870"
"0500000US36119","Westchester County, New York","56745","15938"
"0500000US36025","Delaware County, New York","31375","25228"
"0500000US36031","Essex County, New York","-","**"
"0500000US36057","Montgomery County, New York","-","**"
"0500000US36059","Nassau County, New York","64260","27027"
"0500000US36085","Richmond County, New York","70294","14342"
"0500000US36097","Schuyler County, New York","44643","31743"
"0500000US36109","Tompkins County, New York","90313","81908"
"0500000US36017","Chenango County, New York","86034","3005"
"0500000US36023","Cortland County, New York","-","**"
"0500000US36045","Jefferson County, New York","43977","18502"
"0500000US36065","Oneida County, New York","36576","18297"
"0500000US36103","Suffolk County, New York","77232","30181"
"0500000US36121","Wyoming County, New York","-","**"
"0500000US36015","Chemung County, New York","-","**"
"0500000US36075","Oswego County, New York","-","**"
"0500000US36077","Otsego County, New York","53125","30664"
"0500000US36117","Wayne County, New York","52159","26218"
"0500000US36001","Albany County, New York","46902","17525"
"0500000US36007","Broome County, New York","18534","7260"
"0500000US36029","Erie County, New York","24135","4940"
"0500000US36053","Madison County, New York","48152","29137"
"0500000US36105","Sullivan County, New York","63300","33971"
"0500000US36037","Genesee County, New York","43971","11951"
"0500000US36071","Orange County, New York","67917","27929"
"0500000US36005","Bronx County, New York","30884","6806"
"0500000US36035","Fulton County, New York","-","**"
"0500000US36083","Rensselaer County, New York","33450","4192"
"0500000US36027","Dutchess County, New York","68977","64803"
"0500000US36043","Herkimer County, New York","-","**"
"0500000US36089","St. Lawrence County, New York","-","**"
"0500000US36113","Warren County, New York","45476","16092"
"0500000US36055","Monroe County, New York","26174","2397"
"0500000US36111","Ulster County, New York","-","**"
"0500000US36051","Livingston County, New York","41471","39818"
"0500000US36039","Greene County, New York","-","**"
"0500000US36003","Allegany County, New York","34239","19763"
"0500000US36009","Cattaraugus County, New York","28625","5616"
"0500000US36093","Schenectady County, New York","54135","30084"
"0500000US36123","Yates County, New York","-","**"
