"GEO_ID","NAME","B19013D_001E","B19013D_001M"
"id","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)"
"0500000US36095","Schoharie County, New York","96429","23063"
"0500000US36067","Onondaga County, New York","46613","4887"
"0500000US36019","Clinton County, New York","40729","9694"
"0500000US36099","Seneca County, New York","-","**"
"0500000US36079","Putnam County, New York","122083","21637"
"0500000US36033","Franklin County, New York","175313","122677"
"0500000US36069","Ontario County, New York","85905","24206"
"0500000US36081","Queens County, New York","62230","1158"
"0500000US36101","Steuben County, New York","95446","22246"
"0500000US36041","Hamilton County, New York","-","**"
"0500000US36115","Washington County, New York","83224","14850"
"0500000US36013","Chautauqua County, New York","-","**"
"0500000US36047","Kings County, New York","60756","1946"
"0500000US36061","New York County, New York","79838","4195"
"0500000US36107","Tioga County, New York","37629","3568"
"0500000US36011","Cayuga County, New York","94464","17539"
"0500000US36073","Orleans County, New York","108000","33436"
"0500000US36091","Saratoga County, New York","104057","3687"
"0500000US36087","Rockland County, New York","119367","5048"
"0500000US36021","Columbia County, New York","52426","15273"
"0500000US36049","Lewis County, New York","35583","13605"
"0500000US36063","Niagara County, New York","39044","16823"
"0500000US36119","Westchester County, New York","127005","4340"
"0500000US36025","Delaware County, New York","55469","29388"
"0500000US36031","Essex County, New York","51250","20762"
"0500000US36057","Montgomery County, New York","35982","13695"
"0500000US36059","Nassau County, New York","134979","3059"
"0500000US36085","Richmond County, New York","80016","4650"
"0500000US36097","Schuyler County, New York","-","**"
"0500000US36109","Tompkins County, New York","31236","5540"
"0500000US36017","Chenango County, New York","-","**"
"0500000US36023","Cortland County, New York","-","**"
"0500000US36045","Jefferson County, New York","45509","25056"
"0500000US36065","Oneida County, New York","35767","6462"
"0500000US36103","Suffolk County, New York","106250","4529"
"0500000US36121","Wyoming County, New York","-","**"
"0500000US36015","Chemung County, New York","120729","17838"
"0500000US36075","Oswego County, New York","63875","11381"
"0500000US36077","Otsego County, New York","53750","11594"
"0500000US36117","Wayne County, New York","89205","38772"
"0500000US36001","Albany County, New York","81778","7126"
"0500000US36007","Broome County, New York","40927","9444"
"0500000US36029","Erie County, New York","50505","2247"
"0500000US36053","Madison County, New York","110625","23786"
"0500000US36105","Sullivan County, New York","95625","33345"
"0500000US36037","Genesee County, New York","159196","107206"
"0500000US36071","Orange County, New York","95757","22778"
"0500000US36005","Bronx County, New York","52028","2343"
"0500000US36035","Fulton County, New York","77500","33105"
"0500000US36083","Rensselaer County, New York","65538","24741"
"0500000US36027","Dutchess County, New York","123918","8278"
"0500000US36043","Herkimer County, New York","-","**"
"0500000US36089","St. Lawrence County, New York","48583","22035"
"0500000US36113","Warren County, New York","61653","30956"
"0500000US36055","Monroe County, New York","62159","4736"
"0500000US36111","Ulster County, New York","64554","24102"
"0500000US36051","Livingston County, New York","59583","42574"
"0500000US36039","Greene County, New York","98462","58690"
"0500000US36003","Allegany County, New York","-","**"
"0500000US36009","Cattaraugus County, New York","66316","51438"
"0500000US36093","Schenectady County, New York","66726","13993"
"0500000US36123","Yates County, New York","33438","20508"
