"GEO_ID","NAME","B19013G_001E","B19013G_001M"
"id","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2018 inflation-adjusted dollars)"
"0500000US36095","Schoharie County, New York","30729","14856"
"0500000US36067","Onondaga County, New York","47813","10348"
"0500000US36019","Clinton County, New York","46985","27776"
"0500000US36099","Seneca County, New York","24886","15464"
"0500000US36079","Putnam County, New York","93056","41423"
"0500000US36033","Franklin County, New York","36250","26767"
"0500000US36069","Ontario County, New York","36724","8986"
"0500000US36081","Queens County, New York","70921","3948"
"0500000US36101","Steuben County, New York","45000","14311"
"0500000US36041","Hamilton County, New York","-","**"
"0500000US36115","Washington County, New York","68044","26138"
"0500000US36013","Chautauqua County, New York","32431","6553"
"0500000US36047","Kings County, New York","60390","3108"
"0500000US36061","New York County, New York","57767","4593"
"0500000US36107","Tioga County, New York","51453","659"
"0500000US36011","Cayuga County, New York","56406","35129"
"0500000US36073","Orleans County, New York","-","**"
"0500000US36091","Saratoga County, New York","87950","25262"
"0500000US36087","Rockland County, New York","82668","14739"
"0500000US36021","Columbia County, New York","48187","22555"
"0500000US36049","Lewis County, New York","-","**"
"0500000US36063","Niagara County, New York","35527","7316"
"0500000US36119","Westchester County, New York","87823","12423"
"0500000US36025","Delaware County, New York","56875","40807"
"0500000US36031","Essex County, New York","48750","36176"
"0500000US36057","Montgomery County, New York","-","**"
"0500000US36059","Nassau County, New York","88963","6893"
"0500000US36085","Richmond County, New York","68472","16573"
"0500000US36097","Schuyler County, New York","53750","41870"
"0500000US36109","Tompkins County, New York","40813","13198"
"0500000US36017","Chenango County, New York","38000","18613"
"0500000US36023","Cortland County, New York","46900","19599"
"0500000US36045","Jefferson County, New York","41301","3208"
"0500000US36065","Oneida County, New York","34828","19340"
"0500000US36103","Suffolk County, New York","92237","8346"
"0500000US36121","Wyoming County, New York","66518","58796"
"0500000US36015","Chemung County, New York","37391","18456"
"0500000US36075","Oswego County, New York","31484","13189"
"0500000US36077","Otsego County, New York","51680","13444"
"0500000US36117","Wayne County, New York","58047","29671"
"0500000US36001","Albany County, New York","38833","4036"
"0500000US36007","Broome County, New York","33388","18216"
"0500000US36029","Erie County, New York","37561","5171"
"0500000US36053","Madison County, New York","69844","55787"
"0500000US36105","Sullivan County, New York","41200","19766"
"0500000US36037","Genesee County, New York","31449","1928"
"0500000US36071","Orange County, New York","66006","11141"
"0500000US36005","Bronx County, New York","41255","4502"
"0500000US36035","Fulton County, New York","-","**"
"0500000US36083","Rensselaer County, New York","44702","14229"
"0500000US36027","Dutchess County, New York","51348","8272"
"0500000US36043","Herkimer County, New York","32667","4623"
"0500000US36089","St. Lawrence County, New York","35990","21043"
"0500000US36113","Warren County, New York","35000","32570"
"0500000US36055","Monroe County, New York","41198","6230"
"0500000US36111","Ulster County, New York","52411","9303"
"0500000US36051","Livingston County, New York","-","**"
"0500000US36039","Greene County, New York","-","**"
"0500000US36003","Allegany County, New York","35313","29841"
"0500000US36009","Cattaraugus County, New York","32941","4673"
"0500000US36093","Schenectady County, New York","34848","9050"
"0500000US36123","Yates County, New York","44688","24977"
